0018380000000000 00000002020E0000 E0A0000000000000 0000003C04000000 004040C080000000 0000000000E0E000 0C04060000000000 0000000078100000 
0018380000000000 0000404070000000 0000000602060000 000000808080C000 000000380C000000 E0E0000000000000 0C04060000000000 0000000000782000 
0018380000000000 0040407000000000 E0A0000000000000 0000000878000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
0C1C000000000000 00000002020E0000 0000382800000000 000000808080C000 0000001010302000 E0E0000000000000 000006040C000000 0000404060400000 
0C1C000000000000 000004041C000000 00000000C080C000 0000020202060000 000070C000000000 E0E0000000000000 0000083820000000 0000000000782000 
0C1C000000000000 000000008080E000 E0A0000000000000 0000060202020000 0000380C00000000 000000001C1C0000 0000003020600000 004040C040000000 
0000000000C0E000 00000002020E0000 000000A0E0000000 0808081800000000 000000001C300000 E0E0000000000000 0010704000000000 0404060400000000 
00000000181C0000 000000008080E000 E0A0000000000000 0C04040400000000 0040602020000000 0018181800000000 000000C040600000 0000020206020000 
00000000181C0000 000000008080E000 0C040C0000000000 0000003C20000000 0018700000000000 E0E0000000000000 000000C040600000 0000020206020000 
0000000060700000 000000008080E000 0000000602060000 000000F010000000 0018700000000000 E0E0000000000000 0C04060000000000 000008080C080000 
000000181C000000 000000E080800000 0C040C0000000000 00000000003C2000 0018700000000000 E0E0000000000000 000000006040C000 0000020602020000 
000000000E060000 000000008080E000 00C040C000000000 0000021E00000000 E030000000000000 0C0C0C0000000000 0000302060000000 0000000010780000 
0000001C0C000000 000000008080E000 00C040C000000000 0000020202060000 E030000000000000 0C0C0C0000000000 0000302060000000 0000000010780000 
0000000000706000 00000000E0808000 0000000602060000 000000F010000000 0018700000000000 E0E0000000000000 0C04060000000000 000008080C080000 
0000001C18000000 000000E080800000 0C040C0000000000 00000000003C2000 0018700000000000 E0E0000000000000 000000006040C000 0000020206020000 
E0C0000000000000 0000080838000000 00000000C080C000 000010F000000000 0038600000000000 0000000606060000 0C04060000000000 0000000000782000 
E0C0000000000000 000000008080E000 0000000050700000 0000180808080000 0038600000000000 0000000606060000 0C04060000000000 000000F020000000 
