00000000060E0000 000000008080E000 00C080C000000000 0008780000000000 E030000000000000 0000000070700000 0C04060000000000 0000001E08000000 
00000000060E0000 0008080E00000000 0000705000000000 00C0808080000000 E030000000000000 0000000000E0E000 0C04060000000000 0000000078100000 
00000000060E0000 0008080E00000000 000000C080C00000 0010F00000000000 000000000030E000 E0E0000000000000 0C04060000000000 0000001078000000 
00000000060E0000 0008080E00000000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 0C04060000000000 0000101018100000 
00000000060E0000 E080800000000000 0038280000000000 0000101E00000000 004040C080000000 0000000000E0E000 0C04060000000000 0000000078100000 
0000001838000000 E080800000000000 00000000C080C000 0078080000000000 000070C000000000 0000000606060000 0C04060000000000 0000000000782000 
0018380000000000 000000008080E000 000000000A0E0000 C080808000000000 2060404000000000 0000000070700000 0C04060000000000 0000001E04000000 
0018380000000000 0000404070000000 000000000A0E0000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 0000001E04000000 
0C1C000000000000 00000002020E0000 E0A0000000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 0040F00000000000 
0C1C000000000000 00000002020E0000 E0A0000000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 0040F00000000000 
0C1C000000000000 000000008080E000 0000000602060000 808080C000000000 000000000C380000 6060600000000000 0000001070400000 00001E0800000000 
0C1C000000000000 000000008080E000 00000C080C000000 0000F01000000000 00000000301C0000 E0E0000000000000 000000C040600000 0000020602020000 
0C1C000000000000 00000008080E0000 E0A0000000000000 0040780000000000 000000000030E000 0000060606000000 0000001070400000 000080C080800000 
0C1C000000000000 00000008080E0000 E0A0000000000000 0040780000000000 0000001010302000 0000060606000000 000000006040C000 000080C080800000 
0C1C000000000000 00000008080E0000 E0A0000000000000 0000808080C00000 000000000030E000 0000060606000000 0000181030000000 0040604040000000 
0C1C000000000000 0000000070404000 E0A0000000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 0040F00000000000 
0C1C000000000000 00000E0808000000 E0A0000000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 0040F00000000000 
0C1C000000000000 0000E08080000000 0000000E0A000000 00001E1000000000 0000004040C08000 E0E0000000000000 0000000030206000 00000000041E0000 
0C1C000000000000 E080800000000000 0000060206000000 00000010F0000000 0000380C00000000 0000000000E0E000 006040C000000000 00000000081E0000 
0000000000C0E000 04041C0000000000 2838000000000000 0000020202060000 0000000060380000 0000001C1C000000 C040600000000000 008080C080000000 
0000000000C0E000 E020200000000000 0000000602060000 0018101010000000 00000000E0300000 00C0C0C000000000 0C04060000000000 000008080C080000 
0000000000C0E000 E080800000000000 0000705000000000 0878000000000000 04040C0800000000 000000001C1C0000 00000080E0200000 0000020602020000 
0000000000C0E000 E080800000000000 0000001808180000 0078080000000000 000070C000000000 0000000606060000 0C04060000000000 00000000F0200000 
00000000181C0000 0004041C00000000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 0C08180000000000 0000020206020000 
00000000181C0000 00008080E0000000 0018081800000000 0C04040400000000 80C0404000000000 0000000000E0E000 6020300000000000 0000020206020000 
000000181C000000 E080800000000000 0000000602060000 0040404060000000 0000000000386000 0038380000000000 0C04060000000000 0000008080C08000 
0060700000000000 E080800000000000 0000005070000000 0018080808000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
0060700000000000 E080800000000000 0018081800000000 0000004078000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
