000000000060E000 0808380000000000 0000000A0E000000 00000000101E0000 E030000000000000 00C0C0C000000000 00000020E0800000 0404060400000000 
000000000060E000 4040700000000000 2838000000000000 808080C000000000 04040C0800000000 000000001C1C0000 00000020E0800000 0000020602020000 
000000000060E000 0000000E02020000 6040600000000000 808080C000000000 0C38000000000000 000000001C1C0000 00000020E0800000 00041E0000000000 
000000000060E000 000000E080800000 E0A0000000000000 0018080808000000 0000000070180000 0000000606060000 0C04060000000000 0040F00000000000 
00000000060E0000 0008080E00000000 000000C080C00000 0010F00000000000 000000000030E000 E0E0000000000000 0C04060000000000 0000002078000000 
00000000060E0000 E080800000000000 0070500000000000 0808080C00000000 0404060200000000 0000000000E0E000 000020E080000000 0000000078100000 
000000000C1C0000 0000000E02020000 00C080C000000000 0008780000000000 E030000000000000 0000000000E0E000 0C04060000000000 00000020F0000000 
000000000C1C0000 0000000E02020000 00C080C000000000 0008780000000000 E030000000000000 00000000C0C0C000 0C04060000000000 0000002030202000 
000000000C1C0000 0000000E02020000 C080C00000000000 00000080F0000000 0000386000000000 0000000000E0E000 0C04060000000000 2078000000000000 
0000000C1C000000 00000002020E0000 00C080C000000000 0008780000000000 E030000000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
0000000C1C000000 E080800000000000 00000000C080C000 0000020202060000 0010302020000000 0C0C0C0000000000 006040C000000000 0000000000782000 
0018380000000000 0000000E02020000 00000000C080C000 C080808000000000 2060404000000000 000000001C1C0000 0C04060000000000 0000002020602000 
0018380000000000 E080800000000000 0000002838000000 0060404040000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
0018380000000000 E080800000000000 0060406000000000 0000000878000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
0C1C000000000000 000004041C000000 0000382800000000 0000020202060000 0000000000386000 E0E0000000000000 0000C04060000000 0000008080C08000 
0C1C000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000006038000000 E0E0000000000000 0000000C04060000 0000000000782000 
0C1C000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 E0E0000000000000 0000000C04060000 0000F02000000000 
0C1C000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 C0C0C00000000000 0000000C04060000 2020302000000000 
0C1C000000000000 E080800000000000 00000000C080C000 0000060202020000 0000380C00000000 000000001C1C0000 006040C000000000 0000002020602000 
0000000000C0E000 0000000808380000 00C080C000000000 0008780000000000 E030000000000000 0000000606060000 0C04060000000000 00000020F0000000 
0000000000C0E000 0000000808380000 C080C00000000000 00000080F0000000 0000386000000000 0000000606060000 0C04060000000000 2078000000000000 
0000006070000000 E080800000000000 0000000602060000 000808080C000000 0000000000386000 0070700000000000 0C04060000000000 0000008080C08000 
0060700000000000 E080800000000000 00000000C080C000 0018080808000000 000000E030000000 0000000606060000 0C04060000000000 0000000000782000 
000000000E060000 0008080E00000000 00000000C080C000 0010F00000000000 000000E030000000 E0E0000000000000 0C04060000000000 0000000000782000 
000000001C0C0000 0000000E02020000 00C080C000000000 0008780000000000 E030000000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
