00000000060E0000 E080800000000000 0070500000000000 0808081800000000 0404060200000000 0000000000E0E000 000020E080000000 0000000078100000 
0018380000000000 00000002020E0000 0000000000A0E000 0000407800000000 00008080C0400000 E0E0000000000000 0C04060000000000 000000003C100000 
0018380000000000 00000002020E0000 E0A0000000000000 0000007840000000 0040C08080000000 0000000000E0E000 0C04060000000000 000000003C100000 
0C1C000000000000 000000002020E000 E0A0000000000000 0000060202020000 000008080C040000 000000C0C0C00000 0000003010180000 0040F00000000000 
0C1C000000000000 0000701010000000 00000000C080C000 0000060202020000 000008080C040000 E0E0000000000000 000080E020000000 0000000000782000 
0C1C000000000000 E080800000000000 00000000C080C000 0000060202020000 000008080C040000 0000303030000000 006040C000000000 0000000000782000 
0000000000C0E000 E080800000000000 0060406000000000 0000301010100000 0404060200000000 000000000E0E0000 00000080E0200000 0818080800000000 
00000000181C0000 000000008080E000 2838000000000000 C080808000000000 04040C0800000000 0000006060600000 0040701000000000 0000020206020000 
000000181C000000 00000002020E0000 00C080C000000000 0008780000000000 E030000000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
000000181C000000 E080800000000000 00000000C080C000 0000020202060000 0010302020000000 0C0C0C0000000000 006040C000000000 0000000000782000 
0000381800000000 00000002020E0000 C080C00000000000 000000203C000000 000000000030E000 000000C0C0C00000 0C04060000000000 2078000000000000 
E060000000000000 008080E000000000 0C040C0000000000 00000000F0100000 0018700000000000 0000000000E0E000 00000018080C0000 0000020206020000 
0000000000706000 00000002020E0000 6020600000000000 000000203C000000 00000040C0808000 0018181800000000 0C04060000000000 80C0808000000000 
000000001C180000 04041C0000000000 2838000000000000 0000020202060000 0000003860000000 0000000000E0E000 C040600000000000 008080C080000000 
0000000070600000 000000008080E000 2838000000000000 00000000021E0000 0404060200000000 C0C0C00000000000 000018080C000000 000020F000000000 
0000383000000000 000000008080E000 2838000000000000 00000000021E0000 0404060200000000 C0C0C00000000000 000000C040600000 000000083C000000 
E0C0000000000000 00000002020E0000 0000000000A0E000 0000407800000000 00008080C0400000 0038380000000000 0C04060000000000 000000003C100000 
E0C0000000000000 00000002020E0000 0018081800000000 000000203C000000 000000000030E000 000000C0C0C00000 0C04060000000000 0020F00000000000 
E0C0000000000000 04041C0000000000 0000C080C0000000 0000007808000000 00000000301C0000 0000000000E0E000 0838200000000000 0000020206020000 
0000000206060000 000000002020E000 C080C00000000000 0000180808080000 0000203010100000 000000C0C0C00000 0C04060000000000 2078000000000000 
0000000206060000 0000000808380000 0000000060406000 000000C080808000 0008181010000000 C0C0C00000000000 0C04060000000000 2030202000000000 
0000000206060000 0000080838000000 00000000C080C000 000080F000000000 0018700000000000 E0E0000000000000 0C04060000000000 0000000000782000 
0000000206060000 000000008080E000 0018081800000000 0000000008780000 000000C070000000 E0E0000000000000 0C04060000000000 0000F02000000000 
0000000206060000 000000008080E000 0018081800000000 0000000008780000 000000C070000000 C0C0C00000000000 0C04060000000000 2020302000000000 
0000000206060000 000000008080E000 6020600000000000 0000000040780000 0000006038000000 0018181800000000 0C04060000000000 80C0808000000000 
0000000206060000 000000008080E000 0000302030000000 0000000040780000 E030000000000000 00C0C0C000000000 0C04060000000000 0008081808000000 
0000000206060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000383800000000 0C04060000000000 2078000000000000 
0000000206060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0018181800000000 0C04060000000000 2060202000000000 
