000000000060E000 4040700000000000 2838000000000000 808080C000000000 0000081810100000 000000000E0E0000 00000020E0800000 0404060400000000 
000000000060E000 0000001C10100000 6040600000000000 808080C000000000 0C38000000000000 000000000E0E0000 00000020E0800000 00041E0000000000 
00000000060E0000 000000008080E000 0000000050700000 808080C000000000 0010103020000000 6060600000000000 0C04060000000000 0008080C08000000 
00000000060E0000 000000008080E000 2838000000000000 C080808000000000 0000080818100000 0000006060600000 0040701000000000 0404060400000000 
00000000060E0000 000000008080E000 00C080C000000000 0008780000000000 E030000000000000 0000000070700000 0C04060000000000 0000003C08000000 
00000000060E0000 E080800000000000 0070500000000000 000000C080808000 0000203010100000 0000000060606000 0C04060000000000 0008080C08000000 
0000000030700000 000000008080E000 000000000A0E0000 0010F00000000000 0008080C04000000 E0E0000000000000 0C04060000000000 000000F040000000 
0018380000000000 0000001C10100000 00000000C080C000 C080808000000000 2060404000000000 000000000E0E0000 0C04060000000000 0000002020602000 
0018380000000000 E080800000000000 0060406000000000 00000080F0000000 0000001C06000000 0000000000E0E000 0C04060000000000 00000000081E0000 
0000000000C0E000 E080800000000000 000000000A0E0000 0040780000000000 0C38000000000000 000000E0E0000000 0000001810300000 0004060404000000 
0000000060700000 000000008080E000 000000000A0E0000 808080C000000000 0008080C04000000 6060600000000000 0C04060000000000 0010103010000000 
0000000060700000 000000008080E000 00C080C000000000 0008780000000000 E030000000000000 000000000E0E0000 0C04060000000000 0000003C10000000 
0000000060700000 000000008080E000 C080C00000000000 000000F010000000 0000380C00000000 000000000E0E0000 0C04060000000000 2078000000000000 
6070000000000000 000000008080E000 000000000A0E0000 808080C000000000 0000603800000000 0000000070700000 0C08180000000000 0004060404000000 
6070000000000000 000000008080E000 000000000A0E0000 0000301010100000 0008080C04000000 0000006060600000 0C04060000000000 8080C08000000000 
6070000000000000 8080E00000000000 000000000A0E0000 000000C080808000 0008080C04000000 0000000060606000 0C04060000000000 0000103010100000 
6070000000000000 0000701010000000 000000000A0E0000 808080C000000000 0008080C04000000 00000000C0C0C000 0C04060000000000 0000002020302000 
000000000E060000 E080800000000000 0070500000000000 0808081800000000 0000000070180000 0000000000E0E000 000020E080000000 0404060400000000 
0070300000000000 E080800000000000 000000000A0E0000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 000040F000000000 
0000000000706000 0000101070000000 000000000A0E0000 000000C080808000 0008080C04000000 C0C0C00000000000 0C04060000000000 2030202000000000 
0000000000706000 00000000E0808000 000000000A0E0000 808080C000000000 0008080C04000000 6060600000000000 0C04060000000000 0010103010000000 
0000000000706000 00000000E0808000 00C080C000000000 0008780000000000 E030000000000000 000000000E0E0000 0C04060000000000 0000003C10000000 
0000000000706000 00000000E0808000 C080C00000000000 000000F010000000 0000380C00000000 000000000E0E0000 0C04060000000000 2078000000000000 
0000000000706000 E080800000000000 000000000A0E0000 0010101030000000 0008080C04000000 0060606000000000 0C04060000000000 00000080C0808000 
0070600000000000 E080800000000000 000000000A0E0000 000000C080808000 0008080C04000000 0000000060606000 0C04060000000000 0000103010100000 
E0C0000000000000 0000404070000000 0038280000000000 0000808080C00000 000000000030E000 000000000E0E0000 0C04060000000000 0000103C00000000 
E0C0000000000000 0000E08080000000 000000000A0E0000 0000003C04000000 0C38000000000000 0000000000E0E000 0000004070100000 00041E0000000000 
0000000020606000 0000007010100000 000000000A0E0000 0010F00000000000 0008080C04000000 E0E0000000000000 0C04060000000000 00000080C0808000 
000040C0C0000000 E080800000000000 0000302030000000 0078080000000000 0000001C06000000 0000000000E0E000 0C04060000000000 00000000081E0000 
0000000080C0C000 0000001C10100000 00C080C000000000 0008780000000000 E030000000000000 000000000E0E0000 0C04060000000000 0000002060202000 
0000000406060000 000000002020E000 C080C00000000000 0000180808080000 0000203010100000 000000C0C0C00000 0C04060000000000 2078000000000000 
0000000406060000 0000000808380000 0000000060406000 000000C080808000 0008181010000000 C0C0C00000000000 0C04060000000000 2030202000000000 
0000000406060000 0000080838000000 00000000C080C000 000080F000000000 0018700000000000 E0E0000000000000 0C04060000000000 0000000000782000 
0000000406060000 000000008080E000 0018081800000000 0000000008780000 000000C070000000 E0E0000000000000 0C04060000000000 0000F02000000000 
0000000406060000 000000008080E000 0018081800000000 0000000008780000 000000C070000000 C0C0C00000000000 0C04060000000000 2020302000000000 
0000000406060000 000000008080E000 6020600000000000 0000000040780000 0000006038000000 0018181800000000 0C04060000000000 80C0808000000000 
0000000406060000 000000008080E000 0000302030000000 0000000040780000 E030000000000000 00C0C0C000000000 0C04060000000000 0008081808000000 
0000000406060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000383800000000 0C04060000000000 2078000000000000 
0000000406060000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0018181800000000 0C04060000000000 2060202000000000 
0000000406060000 0000202038000000 00000000C080C000 C080808000000000 2060404000000000 0018181800000000 0C04060000000000 0000000000782000 
0000000406060000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 2078000000000000 
0000000406060000 0038080800000000 6040600000000000 808080C000000000 0000101018080000 00000000C0C0C000 0C04060000000000 0000002020302000 
