000000000060E000 0000382020000000 0000001810180000 C080808000000000 00004040C0800000 0000000606060000 0C04060000000000 2078000000000000 
00000000060E0000 0008080E00000000 00000000C080C000 0000301010100000 E030000000000000 00C0C0C000000000 0C04060000000000 0000002020602000 
00000000060E0000 0008080E00000000 0000604060000000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 0010103010000000 
00000000060E0000 0008080E00000000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 0C04060000000000 0000103010100000 
00000000060E0000 0008080E00000000 C080C00000000000 0010101030000000 000000000030E000 000000C0C0C00000 0C04060000000000 2060202000000000 
00000000060E0000 0000382020000000 C080C00000000000 0000001E10000000 000000000030E000 000000C0C0C00000 0C04060000000000 2078000000000000 
00000000060E0000 E080800000000000 0C040C0000000000 0000021E00000000 000000000030E000 000000C0C0C00000 0000602030000000 0078100000000000 
00000000060E0000 E080800000000000 0000302030000000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000081E00000000 
0018380000000000 00000002020E0000 0000001C14000000 C080808000000000 2060404000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
0018380000000000 E080800000000000 0060406000000000 000000808080C000 0000001870000000 0000000606060000 0C04060000000000 0000000000782000 
0C1C000000000000 000000002020E000 E0A0000000000000 0000060202020000 0000080C04040000 000000C0C0C00000 0000003010180000 0040F00000000000 
0C1C000000000000 00008080E0000000 00000000141C0000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
0C1C000000000000 00008080E0000000 0000060206000000 00000000101E0000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
0C1C000000000000 00000E0202000000 E0A0000000000000 000000F080000000 0000000070180000 0000000000E0E000 0000000C04060000 0040F00000000000 
0C1C000000000000 00000E0202000000 00000000C080C000 0000F01000000000 000000E030000000 E0E0000000000000 0000000C04060000 0000000000782000 
0C1C000000000000 00000E0202000000 00000000C080C000 C080808000000000 2060404000000000 0000303030000000 0000000C04060000 0000000000782000 
