000000000060E000 000000E080800000 0000000604060000 0010F00000000000 0000000070180000 E0E0000000000000 0C04060000000000 0008081808000000 
000000000060E000 0000382020000000 0000000604060000 C080808000000000 00004040C0800000 0000001818180000 0C04060000000000 2078000000000000 
00000060E0000000 0000701010000000 0000000604060000 0000080808180000 6038000000000000 0000000000E0E000 0C04060000000000 80C0808000000000 
0000183800000000 000000008080E000 0000000604060000 0000604040400000 6038000000000000 0000000038380000 0C04060000000000 80C0808000000000 
000060E000000000 E080800000000000 0000000604060000 0000080808180000 0000001030202000 00000000C0C0C000 0C04060000000000 0078100000000000 
0018380000000000 E080800000000000 0000000604060000 0060404040000000 0000000000386000 0000003838000000 0C04060000000000 0000008080C08000 
0C1C000000000000 0000000070404000 0000000604060000 000000C080808000 00000E1800000000 E0E0000000000000 0000000008382000 0000F02000000000 
0C1C000000000000 0000000070404000 0000000604060000 000000C080808000 00000E1800000000 C0C0C00000000000 0000000008382000 2020302000000000 
0C1C000000000000 0000000070404000 0000000604060000 000000C080808000 0000E03000000000 E0E0000000000000 0000000008382000 00001E0800000000 
0C1C000000000000 00000E0808000000 0000000604060000 000000C080808000 0000000000386000 E0E0000000000000 0000001070400000 0000F02000000000 
0C1C000000000000 00000E0808000000 0000000604060000 000000C080808000 0000000000386000 C0C0C00000000000 0000001070400000 2020302000000000 
000000000C0E0000 0008080E00000000 00000000C080C000 0000301010100000 E030000000000000 00C0C0C000000000 0C04060000000000 0000002020602000 
000000000C0E0000 0008080E00000000 0000604060000000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 0010103010000000 
000000000C0E0000 0008080E00000000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 0C04060000000000 0000103010100000 
000000000C0E0000 0008080E00000000 C080C00000000000 0010101030000000 000000000030E000 000000C0C0C00000 0C04060000000000 2060202000000000 
000000000C0E0000 0000382020000000 C080C00000000000 0000001E10000000 000000000030E000 000000C0C0C00000 0C04060000000000 2078000000000000 
000000000C0E0000 E080800000000000 0C040C0000000000 0000021E00000000 000000000030E000 000000C0C0C00000 0000602030000000 0078100000000000 
000000000C0E0000 E080800000000000 0000302030000000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000081E00000000 
0000000060700000 000000008080E000 0000000604060000 000080F000000000 0018700000000000 E0E0000000000000 0C04060000000000 0000080818080000 
0000607000000000 000000008080E000 0000000604060000 0000180808080000 6038000000000000 0000000070700000 0C04060000000000 80C0808000000000 
0060700000000000 E080800000000000 0000000604060000 0018080808000000 0000000000386000 0000007070000000 0C04060000000000 0000008080C08000 
6070000000000000 8080E00000000000 0000000604060000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008180808000000 
0000000038180000 000000008080E000 0000000604060000 0000404040600000 6038000000000000 0000383800000000 0C04060000000000 80C0808000000000 
0000003818000000 E080800000000000 0000000604060000 0040404060000000 0000000000386000 0038380000000000 0C04060000000000 0000008080C08000 
000000E060000000 000000008080E000 0000000604060000 0018080808000000 2020301000000000 C0C0C00000000000 0C04060000000000 0000000010780000 
0000E06000000000 0000101070000000 0000000604060000 0018080808000000 0000000000386000 E0E0000000000000 0C04060000000000 0000008080C08000 
