000000000060E000 00008080E0000000 0000000C080C0000 0000301010100000 E030000000000000 0C0C0C0000000000 00C0406000000000 0000020206020000 
000000000060E000 0008080E00000000 0000604060000000 00C0808080000000 E030000000000000 000000000E0E0000 0C04060000000000 0000103010100000 
000000000060E000 008080E000000000 0000000C080C0000 00000000F0100000 E030000000000000 0C0C0C0000000000 0040701000000000 0000020206020000 
000000000060E000 008080E000000000 0000000C080C0000 00000000F0100000 2030101000000000 0C0C0C0000000000 C040600000000000 0000020206020000 
000000000060E000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000606060000 0C04060000000000 2078000000000000 
000000000060E000 E080800000000000 0000001808180000 0078080000000000 000070C000000000 0000000606060000 0C04060000000000 00000020F0000000 
000060E000000000 E080800000000000 00000000C040C000 0000080808180000 0000001030202000 0000000606060000 0C04060000000000 0078100000000000 
0018380000000000 00000002020E0000 E0A0000000000000 000000404040C000 0040C08080000000 0000001C1C000000 0C04060000000000 0000002020302000 
0018380000000000 00000002020E0000 00000000C040C000 C080808000000000 2060404000000000 0000001C1C000000 0C04060000000000 0000002020302000 
0C1C000000000000 00000E0202000000 00000000C040C000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002020302000 
0C1C000000000000 00000E0202000000 00000000C040C000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002020302000 
000000181C000000 E080800000000000 00000000C040C000 00000000003C2000 0010302020000000 0C0C0C0000000000 006040C000000000 0000020602020000 
0038180000000000 0000003808080000 6040600000000000 808080C000000000 000000000030E000 0000000606060000 0C04060000000000 00000000F0400000 
0000001C18000000 E080800000000000 00000000C040C000 00000000003C2000 0010302020000000 0C0C0C0000000000 006040C000000000 0000020206020000 
0000E0C000000000 00000002020E0000 00000000C040C000 0010101018000000 0008080C04000000 E0E0000000000000 0C04060000000000 0000002020302000 
E0C0000000000000 0010107000000000 00000000C040C000 00000000003C2000 0000000C38000000 0C0C0C0000000000 0020E08000000000 0000020206020000 
E0C0000000000000 0010101C00000000 00000000C040C000 00000000003C2000 0000006038000000 0C0C0C0000000000 0020E08000000000 0000020206020000 
0000000206060000 E080800000000000 00000000C040C000 0808081800000000 000000E030000000 0070700000000000 0000000008382000 0404060400000000 
0000020606000000 00000008080E0000 0C040C0000000000 808080C000000000 000000000030E000 6060600000000000 0018103000000000 00000000F0400000 
0010303000000000 E080800000000000 00000000C040C000 00000000003C2000 0000000C38000000 0C0C0C0000000000 006040C000000000 0000020206020000 
0000000606020000 0000080838000000 00000000C040C000 00000000003C2000 6038000000000000 0000707000000000 0C04060000000000 80C0808000000000 
0000000606020000 E080800000000000 00000000C040C000 00000000003C2000 000000E030000000 0070700000000000 0C04060000000000 0008081808000000 
0000001818080000 E080800000000000 00000000C040C000 0078080000000000 000070C000000000 0000000606060000 0C04060000000000 0000002020302000 
000000C0C0400000 000000002020E000 0018081800000000 00000000021E0000 000000061C000000 E0E0000000000000 0C04060000000000 0000F02000000000 
000000C0C0400000 000000002020E000 0018081800000000 00000000021E0000 000000061C000000 C0C0C00000000000 0C04060000000000 2020302000000000 
000000C0C0400000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 0000383800000000 0C04060000000000 2078000000000000 
000000C0C0400000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 0018181800000000 0C04060000000000 2060202000000000 
000000C0C0400000 000000002020E000 C080C00000000000 0000180808080000 0000203010100000 0000000606060000 0C04060000000000 2078000000000000 
000000C0C0400000 00000002020E0000 0018081800000000 000000043C000000 000000000030E000 E0E0000000000000 0C04060000000000 0000F02000000000 
000000C0C0400000 00000002020E0000 0018081800000000 000000043C000000 000000000030E000 C0C0C00000000000 0C04060000000000 2020302000000000 
000000C0C0400000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 0000383800000000 0C04060000000000 2078000000000000 
000000C0C0400000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 0018181800000000 0C04060000000000 2060202000000000 
000000C0C0400000 0008083800000000 0000000602060000 0010F00000000000 000000000030E000 E0E0000000000000 0C04060000000000 000000003C080000 
000000C0C0400000 0008080E00000000 C080C00000000000 0010101030000000 000000000030E000 000000000E0E0000 0C04060000000000 2060202000000000 
000000C0C0400000 0000E02020000000 0000000602060000 0018101010000000 000000000030E000 E0E0000000000000 0C04060000000000 000008080C080000 
000000C0C0400000 0000382020000000 C080C00000000000 0000001E10000000 000000000030E000 000000000E0E0000 0C04060000000000 2078000000000000 
000000C0C0400000 E080800000000000 0000000602060000 0078400000000000 000000000030E000 0000383800000000 0C04060000000000 000000003C080000 
000000C0C0400000 E080800000000000 0000000602060000 0078400000000000 000000000030E000 0000303030000000 0C04060000000000 000008080C080000 
000000C0C0400000 E080800000000000 0C040C0000000000 0000021E00000000 000000000030E000 000000000E0E0000 0000602030000000 0078100000000000 
000000C0C0400000 E080800000000000 0000302030000000 0078400000000000 000000000030E000 000000000E0E0000 0C04060000000000 0000081E00000000 
000000C0C0400000 E080800000000000 0000302030000000 0078400000000000 000000000030E000 0000000606060000 0C04060000000000 0000081808080000 
0000000030302000 0000003808080000 00000000C040C000 0000784000000000 6038000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000000030302000 E080800000000000 00000000C040C000 0078400000000000 000030E000000000 000000000E0E0000 0C04060000000000 0000081E00000000 
0000000030302000 E080800000000000 00000000C040C000 0078400000000000 000030E000000000 0000000606060000 0C04060000000000 0000081808080000 
0000000030302000 E080800000000000 00000000C040C000 0078400000000000 0000180E00000000 000000000E0E0000 0C04060000000000 000020F000000000 
0000000C0C080000 E020200000000000 0C040C0000000000 0000020202060000 000000000030E000 00C0C0C000000000 0018103000000000 00000000F0400000 
0000006060400000 0000E08080000000 0000000602060000 0018101010000000 000000000030E000 E0E0000000000000 0C04060000000000 000008080C080000 
0C0C080000000000 000000002020E000 00000000141C0000 0000060202020000 00008080C0400000 E0E0000000000000 0010704000000000 0000003C08000000 
0C0C080000000000 000000002020E000 0000060206000000 00000000101E0000 00008080C0400000 E0E0000000000000 0010704000000000 0000003C08000000 
