000000000C1C0000 0000000E02020000 0000000060406000 000000C080808000 0008181010000000 C0C0C00000000000 0C04060000000000 2030202000000000 
0C1C000000000000 00000002020E0000 0000000060406000 000000C080808000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
0C1C000000000000 00000002020E0000 0000000060406000 000000C080808000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
0C1C000000000000 00000002020E0000 0000000060406000 000000C080808000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
0C1C000000000000 00000002020E0000 0000000060406000 000000C080808000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
0C1C000000000000 00000002020E0000 0000000060406000 000000C080808000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
0C1C000000000000 000000008080E000 0000000E0A000000 00001E1000000000 000080C040400000 E0E0000000000000 0000602030000000 00000000041E0000 
0C1C000000000000 000000008080E000 0000382800000000 C080808000000000 2060404000000000 0000060606000000 0000001070400000 00000000081E0000 
0000000000C0E000 00008080E0000000 0000000C080C0000 0000301010100000 E030000000000000 0C0C0C0000000000 00C0406000000000 0000020206020000 
0000000000C0E000 0008080E00000000 0000604060000000 00C0808080000000 E030000000000000 000000000E0E0000 0C04060000000000 0000103010100000 
0000000000C0E000 008080E000000000 0000000C080C0000 00000000F0100000 E030000000000000 0C0C0C0000000000 0040701000000000 0000020206020000 
0000000000C0E000 008080E000000000 0000000C080C0000 00000000F0100000 2030101000000000 0C0C0C0000000000 C040600000000000 0000020206020000 
0000000000C0E000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000606060000 0C04060000000000 2078000000000000 
0000000000C0E000 E080800000000000 0000001808180000 0078080000000000 000070C000000000 0000000606060000 0C04060000000000 00000020F0000000 
000000000C0E0000 0000001C10100000 0000000060406000 000000C080808000 0004060202000000 C0C0C00000000000 0C08180000000000 2030202000000000 
0000607000000000 000000008080E000 0000000070500000 0000180808080000 6038000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000607000000000 000000008080E000 0000000070500000 C080808000000000 0000180E00000000 000000000E0E0000 0C04060000000000 2078000000000000 
00C0E00000000000 0008080E00000000 0000000060406000 000000C080808000 E030000000000000 000000000E0E0000 0C04060000000000 0000103010100000 
E0C0000000000000 0008080E00000000 0000000060406000 000000C080808000 0030E00000000000 000000000E0E0000 0C04060000000000 0000103010100000 
0000000206060000 000000008080E000 2838000000000000 0000080808180000 000030E000000000 C0C0C00000000000 0000001070400000 0404060400000000 
0000000206060000 000000008080E000 0000000070500000 000080F000000000 0018700000000000 E0E0000000000000 0C04060000000000 0000080C08080000 
80C0C00000000000 000000008080E000 0000000070500000 0000180808080000 6038000000000000 0000000606060000 0C04060000000000 000020F000000000 
0000000606020000 000000008080E000 0000000070500000 00000808080C0000 6038000000000000 0000707000000000 0C04060000000000 80C0808000000000 
0C0C040000000000 E080800000000000 0000000060406000 000000C080808000 000008080C040000 0070700000000000 0000003010180000 0000020602020000 
0000006060400000 000000008080E000 2838000000000000 C080808000000000 04040C0800000000 000000001C1C0000 0040701000000000 0000020602020000 
0000006060400000 000000008080E000 6020600000000000 00000000021E0000 000000061C000000 0018181800000000 0C04060000000000 80C0808000000000 
