0000183800000000 000000008080E000 0000604060000000 C080808000000000 0000000018700000 0000000606060000 0C04060000000000 2078000000000000 
0000307000000000 E080800000000000 0000000060206000 0078400000000000 0000080818100000 0000000606060000 0C04060000000000 0000008080C08000 
0018380000000000 0000007040400000 0000000602060000 0000C08080800000 000000000030E000 E0E0000000000000 0C04060000000000 000000083C000000 
0C1C000000000000 000000002020E000 E0A0000000000000 0000020202060000 00000C3800000000 000000C0C0C00000 000000041C100000 0040F00000000000 
0C1C000000000000 000004041C000000 E0A0000000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000083820000000 0040F00000000000 
0C1C000000000000 00008080E0000000 000000001C140000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000083C00000000 
0C1C000000000000 00000E0202000000 0000705000000000 0000808080C00000 000000000030E000 E0E0000000000000 0000000C04060000 0000002078000000 
0C1C000000000000 00000E0202000000 000000C080C00000 0000F01000000000 000000000030E000 E0E0000000000000 0000000C04060000 0000002078000000 
0C1C000000000000 E020200000000000 0000000000A0E000 0000020202060000 00008080C0400000 00001C1C00000000 00C0406000000000 000000003C100000 
0C1C000000000000 E020200000000000 0000000000A0E000 0000020202060000 00008080C0400000 00000C0C0C000000 00C0406000000000 0000101030100000 
0C1C000000000000 000000E080800000 E0A0000000000000 0000020202060000 000000000030E000 00000C0C0C000000 0000001070400000 0040F00000000000 
0C1C000000000000 000000E080800000 E0A0000000000000 0000020202060000 0000001010302000 00000C0C0C000000 000000006040C000 0040F00000000000 
0C1C000000000000 0000E08080000000 00001C1400000000 0000020202060000 000000000030E000 E0E0000000000000 0000006040C00000 000000083C000000 
0C1C000000000000 0000E08080000000 0000000602060000 00001E1000000000 000000000030E000 E0E0000000000000 0000006040C00000 000000083C000000 
0000000000C0E000 0010107000000000 6020600000000000 0008080818000000 00000000E0300000 0000000606060000 0C04060000000000 80C0808000000000 
0000000000C0E000 0000380808000000 C080C00000000000 000000F010000000 00000000E0300000 0000000606060000 0C04060000000000 2078000000000000 
0000000000C0E000 E020200000000000 0000000602060000 000808080C000000 00000000E0300000 00C0C0C000000000 0C04060000000000 0010103010000000 
0000000000C0E000 E080800000000000 000000001C140000 0878000000000000 04040C0800000000 0000707000000000 00000080E0200000 0000020602020000 
0000000000C0E000 E080800000000000 0070500000000000 0008080818000000 00000000E0300000 0000000606060000 0C04060000000000 000020F000000000 
0000000000C0E000 E080800000000000 0000180818000000 0078400000000000 00000000E0300000 0000000606060000 0C04060000000000 000020F000000000 
000000181C000000 E080800000000000 0000000602060000 0078080000000000 000070C000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
000000C0E0000000 E080800000000000 0C040C0000000000 0000020202060000 0000603800000000 0000000000E0E000 000000041C100000 0078100000000000 
00C0E00000000000 000000002020E000 0000000602060000 000808080C000000 E030000000000000 000000C0C0C00000 0C04060000000000 0000103010100000 
6070000000000000 8080E00000000000 000000C080C00000 0000020202060000 000000000030E000 0C0C0C0000000000 0000101C04000000 0000002078000000 
000000000E060000 0008080E00000000 00000000C080C000 0000301010100000 E030000000000000 00C0C0C000000000 0C04060000000000 0000002020602000 
000000000E060000 0008080E00000000 0000604060000000 0000808080C00000 000000000030E000 E0E0000000000000 0C04060000000000 0010103010000000 
000000000E060000 0008080E00000000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 0C04060000000000 0000103010100000 
000000000E060000 0008080E00000000 C080C00000000000 0010101030000000 000000000030E000 000000C0C0C00000 0C04060000000000 2060202000000000 
000000000E060000 0000382020000000 C080C00000000000 0000001E10000000 000000000030E000 000000C0C0C00000 0C04060000000000 2078000000000000 
000000000E060000 E080800000000000 0C040C0000000000 0000021E00000000 000000000030E000 000000C0C0C00000 0000602030000000 0078100000000000 
000000000E060000 E080800000000000 0000302030000000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000081E00000000 
0000001C0C000000 E080800000000000 0C040C0000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000602030000000 0078100000000000 
0000381800000000 000000E080800000 C080C00000000000 0000000078400000 000000000030E000 0000000606060000 0C04060000000000 2078000000000000 
0000381800000000 E080800000000000 000000C080C00000 0078400000000000 000000000030E000 0000000606060000 0C04060000000000 0000002078000000 
0000703000000000 E080800000000000 0000000602060000 0078080000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000083C000000 
00000000E0C00000 0010107000000000 6020600000000000 0008080818000000 000000000030E000 0000000606060000 0C04060000000000 80C0808000000000 
00000000E0C00000 0000380808000000 C080C00000000000 000000F010000000 000000000030E000 0000000606060000 0C04060000000000 2078000000000000 
00000000E0C00000 E020200000000000 0000000602060000 000808080C000000 000000000030E000 00C0C0C000000000 0C04060000000000 0010103010000000 
00000000E0C00000 E080800000000000 0070500000000000 0008080818000000 000000000030E000 0000000606060000 0C04060000000000 000020F000000000 
00000000E0C00000 E080800000000000 0000180818000000 0078400000000000 000000000030E000 0000000606060000 0C04060000000000 000020F000000000 
000000E0C0000000 E080800000000000 0000000602060000 0078080000000000 0000701800000000 0000000000E0E000 0C04060000000000 000000003C100000 
0000383000000000 0000000E02020000 C080C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 0C04060000000000 2078000000000000 
0000383000000000 E080800000000000 0000000602060000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000083C000000 
0070600000000000 E080800000000000 000000C080C00000 0000020202060000 000000000030E000 0C0C0C0000000000 0000101C04000000 0000002078000000 
E0C0000000000000 000000002020E000 000000001C140000 0000C08080800000 0000206040400000 0C0C0C0000000000 0030101800000000 0000020602020000 
E0C0000000000000 000000002020E000 0000000602060000 000808080C000000 0030E00000000000 000000C0C0C00000 0C04060000000000 0000103010100000 
E0C0000000000000 000000008080E000 000000001C140000 0000602020200000 000080C040400000 0C0C0C0000000000 0030101800000000 0000020602020000 
E0C0000000000000 0000404070000000 0030203000000000 0000808080C00000 000000000030E000 0000000606060000 0C04060000000000 0008180808000000 
E0C0000000000000 00008080E0000000 0C040C0000000000 0000020202060000 0038600000000000 0000000000E0E000 000000041C100000 0000107800000000 
E0C0000000000000 0000E02020000000 000000001C140000 000000808080C000 0000004040602000 0C0C0C0000000000 0030101800000000 0000020602020000 
E0C0000000000000 0038080800000000 0000705000000000 0000808080C00000 000000000030E000 0000000606060000 0C04060000000000 0000002078000000 
E0C0000000000000 0038080800000000 0000000602060000 0000F08000000000 00000070C0000000 0000000000E0E000 0C04060000000000 000000003C100000 
E0C0000000000000 0038080800000000 000000C080C00000 0000F01000000000 000000000030E000 0000000606060000 0C04060000000000 0000002078000000 
E0C0000000000000 0000007040400000 0000000602060000 0000C08080800000 000000000030E000 0038380000000000 0C04060000000000 000000083C000000 
E0C0000000000000 000000E080800000 0018081800000000 0000000078400000 000000000030E000 0000000606060000 0C04060000000000 0020F00000000000 
E0C0000000000000 0000E08080000000 000000001C140000 0000002020206000 0000004040C08000 0C0C0C0000000000 0030101800000000 0000020602020000 
0000000206060000 000000008080E000 0000000050700000 808080C000000000 0010103020000000 6060600000000000 0C04060000000000 0008080C08000000 
0000000206060000 000000008080E000 2838000000000000 C080808000000000 0000080818100000 0000006060600000 0040701000000000 0404060400000000 
0000000206060000 000000008080E000 00C080C000000000 0008780000000000 E030000000000000 0000000070700000 0C04060000000000 0000003C08000000 
0000000206060000 E080800000000000 0070500000000000 000000C080808000 0000203010100000 0000000060606000 0C04060000000000 0008080C08000000 
0000002060600000 000000008080E000 0000705000000000 C080808000000000 0000080818100000 0000000606060000 0C04060000000000 2078000000000000 
0000000040606000 E080800000000000 000000001C140000 000000C080808000 0040602020000000 0C0C0C0000000000 0030101800000000 0000020602020000 
0000000040606000 E080800000000000 0070500000000000 000000C080808000 0000202030100000 0000000606060000 0C04060000000000 0008081808000000 
0000000080C0C000 04041C0000000000 2838000000000000 0000020202060000 008080C040000000 0000001C1C000000 C040600000000000 0000002020302000 
0000000406060000 E080800000000000 0070500000000000 0808081800000000 0404060200000000 0000000000E0E000 000020E080000000 0000000078100000 
00000080C0C00000 E080800000000000 0000000602060000 0078080000000000 000000000030E000 0000707000000000 0C04060000000000 000000083C000000 
2030300000000000 0008083800000000 0000000602060000 000000808080C000 0000004040602000 C0C0C00000000000 0C04060000000000 000000003C100000 
2030300000000000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 0000000606060000 0C04060000000000 0008081808000000 
0000000060602000 E080800000000000 0000507000000000 000000808080C000 0000080818100000 0000000606060000 0C04060000000000 0078200000000000 
0000003030100000 0000380808000000 C080C00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 2078000000000000 
0060602000000000 E080800000000000 0000000602060000 000000808080C000 0000004040602000 0018181800000000 0C04060000000000 000000003C100000 
0C0C040000000000 0000704040000000 000000001C140000 00C0808080000000 E030000000000000 0000000000E0E000 0000083820000000 0000020602020000 
0C0C040000000000 E080800000000000 000000001C140000 000000808080C000 0000004040602000 0070700000000000 0000083820000000 0000020602020000 
0000000030302000 E080800000000000 0070500000000000 000000808080C000 0000206040400000 0000000606060000 0C04060000000000 0008081808000000 
0000001818100000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 2078000000000000 
0000001818100000 E080800000000000 0000000060206000 0078400000000000 0000386000000000 0000000606060000 0C04060000000000 0000008080C08000 
0000001818100000 E080800000000000 00000000C080C000 0078080000000000 000070C000000000 0000000606060000 0C04060000000000 0000002020602000 
0000006060400000 0000380808000000 C080C00000000000 000000808080C000 0000001010302000 0000000606060000 0C04060000000000 2078000000000000 
0018181000000000 0000000E02020000 C080C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 0C04060000000000 2060202000000000 
6060400000000000 000000008080E000 0000000050700000 808080C000000000 0010302020000000 0000000606060000 0C04060000000000 0008081808000000 
C0C0800000000000 0000101070000000 000000C080C00000 0018080808000000 000000000030E000 0000000606060000 0C04060000000000 2020602000000000 
