000000000060E000 E020200000000000 0000000A0E000000 00000000101E0000 0818101000000000 00C0C0C000000000 00000020E0800000 0404060400000000 
00000000060E0000 0000202038000000 C080C00000000000 0000101E00000000 000000000030E000 000000C0C0C00000 0C04060000000000 2078000000000000 
00000000060E0000 E080800000000000 0000302030000000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000001E08000000 
000000000C1C0000 0000000E02020000 0000000000A0E000 000080F000000000 0018700000000000 E0E0000000000000 0C04060000000000 00000000F0400000 
000000000C1C0000 0000000E02020000 C080C00000000000 00000010F0000000 000030E000000000 0000000000E0E000 0C04060000000000 2078000000000000 
000000000C1C0000 0000000E02020000 C080C00000000000 000000808080C000 0000004040602000 0000303030000000 0C04060000000000 2078000000000000 
0000000018380000 E080800000000000 0000000060406000 000000C080808000 0000603800000000 0000000606060000 0C04060000000000 0078100000000000 
0000001838000000 000000008080E000 C080C00000000000 0000000040780000 000030E000000000 0000000606060000 0C04060000000000 2078000000000000 
0000001838000000 E080800000000000 00000000C080C000 0078400000000000 000030E000000000 0000000606060000 0C04060000000000 0000000000782000 
0C1C000000000000 000004041C000000 00000000C080C000 0000020202060000 0000701800000000 E0E0000000000000 000080E020000000 0000000000782000 
0C1C000000000000 00008080E0000000 00000000141C0000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000003C08000000 
0C1C000000000000 00008080E0000000 0000060206000000 00000000101E0000 80C0404000000000 0000000000E0E000 6020300000000000 0000003C08000000 
0C1C000000000000 0000001C04040000 E0A0000000000000 0000060202020000 000000000030E000 000000C0C0C00000 0000002038080000 0040F00000000000 
0C1C000000000000 0000001C04040000 E0A0000000000000 0000060202020000 000000E030000000 00000000C0C0C000 0000000008382000 0040F00000000000 
0C1C000000000000 E020200000000000 0000000000A0E000 0000060202020000 00008080C0400000 0000000C0C0C0000 00C0406000000000 0000101030100000 
0C1C000000000000 000000E080800000 E0A0000000000000 0000060202020000 000000000030E000 0000000C0C0C0000 0000001070400000 0040F00000000000 
0C1C000000000000 000000E080800000 E0A0000000000000 0000060202020000 0000001010302000 0000000C0C0C0000 000000006040C000 0040F00000000000 
0C1C000000000000 0000E08080000000 0000141C00000000 0000020202060000 000000000030E000 E0E0000000000000 0000006040C00000 000000003C080000 
0C1C000000000000 E080800000000000 00000000C080C000 0000060202020000 0000301C00000000 000000001C1C0000 006040C000000000 0000002020602000 
0000000000C0E000 0000000808380000 C080C00000000000 00000010F0000000 000030E000000000 0000000606060000 0C04060000000000 2078000000000000 
0000000000C0E000 E080800000000000 0000000A0E000000 00000000101E0000 0818101000000000 0060606000000000 00000080E0200000 0404060400000000 
0000000000C0E000 E080800000000000 0000001808180000 0078400000000000 000030E000000000 0000000606060000 0C04060000000000 00000000F0200000 
000000000C0E0000 000000008080E000 C080C00000000000 0000001E02000000 000030E000000000 0000000070700000 0C04060000000000 2078000000000000 
0000000060700000 000000008080E000 C080C00000000000 0000001E10000000 000030E000000000 000000000E0E0000 0C04060000000000 2078000000000000 
0000303800000000 000000002020E000 C080C00000000000 00000000021E0000 000000061C000000 000000C0C0C00000 0C04060000000000 2078000000000000 
0000303800000000 00000002020E0000 C080C00000000000 000000043C000000 000000000030E000 000000C0C0C00000 0C04060000000000 2078000000000000 
0000303800000000 000000008080E000 C080C00000000000 0000000008780000 000000C070000000 0000000606060000 0C04060000000000 2078000000000000 
0000303800000000 E080800000000000 0000000602060000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
0000000038180000 000000008080E000 0000006040600000 C080808000000000 0000701800000000 0000000606060000 0C04060000000000 2078000000000000 
0000000E06000000 000000002020E000 0000007050000000 0000808080C00000 0018700000000000 E0E0000000000000 0C04060000000000 00000000081E0000 
0000001C0C000000 00000002020E0000 C080C00000000000 00000000F0100000 000030E000000000 0000000000E0E000 0C04060000000000 2078000000000000 
E060000000000000 000000002020E000 0000000A0E000000 00000000101E0000 0818101000000000 000000C0C0C00000 0080E02000000000 0404060400000000 
E060000000000000 0000202038000000 0018101800000000 000000808080C000 0080C04040000000 0000000606060000 0C04060000000000 0000000000782000 
E060000000000000 008080E000000000 000000000A0E0000 00000000F0100000 0018700000000000 0000000000E0E000 0C04060000000000 0000001E04000000 
E060000000000000 008080E000000000 0000000E0A000000 00000010F0000000 0018700000000000 0000000000E0E000 0C04060000000000 00000000041E0000 
0000000000706000 00000000E0808000 C080C00000000000 0000001E10000000 000030E000000000 000000000E0E0000 0C04060000000000 2078000000000000 
000000001C180000 000000008080E000 0000000602060000 C080808000000000 0000701800000000 0000006060600000 0C04060000000000 2078000000000000 
000000001C180000 E080800000000000 0000000602060000 000000C080808000 0000603800000000 0000000060606000 0C04060000000000 0078100000000000 
0000000070600000 000000008080E000 0000000E0A000000 000080F000000000 0018700000000000 E0E0000000000000 0C04060000000000 00000000041E0000 
E0C0000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0818101000000000 0000006060600000 0020E08000000000 0404060400000000 
0000000020606000 E080800000000000 0018101800000000 00000000021E0000 000000061C000000 0060606000000000 0C04060000000000 00000080C0808000 
0000000206060000 008080E000000000 2838000000000000 00000000F0100000 0000101808080000 0000000000E0E000 C040600000000000 0404060400000000 
0000002060600000 000000008080E000 0000705000000000 00000000101E0000 6038000000000000 0000000E0E000000 0C04060000000000 80C0808000000000 
0000000080C0C000 E020200000000000 0018101800000000 00000000021E0000 000000061C000000 00C0C0C000000000 0C04060000000000 0000002060202000 
0000606020000000 000000008080E000 0000000050700000 0000101E00000000 6038000000000000 000000000E0E0000 0C04060000000000 80C0808000000000 
0000606020000000 000000008080E000 0000000050700000 C080808000000000 0000101808080000 0000000606060000 0C04060000000000 2078000000000000 
0060602000000000 E080800000000000 0018101800000000 0000004078000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
0C0C040000000000 0000202038000000 00000000C080C000 0000020202060000 E030000000000000 00C0C0C000000000 0000101C04000000 0000000000782000 
0C0C040000000000 00008080E0000000 0000000C080C0000 0000301010100000 E030000000000000 0000000000E0E000 00C0406000000000 0000020206020000 
0C0C040000000000 008080E000000000 0000000C080C0000 00000000F0100000 E030000000000000 0000000000E0E000 0040701000000000 0000020206020000 
0C0C040000000000 008080E000000000 0000000C080C0000 00000000F0100000 2030101000000000 0000000000E0E000 C040600000000000 0000020206020000 
0C0C040000000000 000000E080800000 0000000C080C0000 0010F00000000000 000000000030E000 E0E0000000000000 0000001070400000 0000020206020000 
0C0C040000000000 000000E080800000 0000000C080C0000 0010F00000000000 0000001010302000 E0E0000000000000 000000006040C000 0000020206020000 
0C0C040000000000 0000E08080000000 0000000C080C0000 0010101030000000 000000000030E000 E0E0000000000000 0000006040C00000 0000020206020000 
0C0C040000000000 E080800000000000 00000000C080C000 0000020202060000 0010302020000000 0000001C1C000000 006040C000000000 0000000000782000 
6060200000000000 000000008080E000 0018101800000000 00000000021E0000 000000061C000000 0000006060600000 0C04060000000000 8080C08000000000 
6060200000000000 000000008080E000 0018101800000000 0000000040780000 0000006038000000 0000000606060000 0C04060000000000 8080C08000000000 
0000000030302000 E080800000000000 000000000A0E0000 0078400000000000 000030E000000000 00000000C0C0C000 0C04060000000000 0000001E04000000 
00000000C0C08000 0000000E02020000 0000705000000000 0000002020206000 6038000000000000 000000001C1C0000 0C04060000000000 80C0808000000000 
0000303020000000 0000000E02020000 C080C00000000000 000000808080C000 0000004040602000 000000001C1C0000 0C04060000000000 2078000000000000 
C0C0800000000000 000000002020E000 0018101800000000 00000000021E0000 000000061C000000 000000C0C0C00000 0C04060000000000 2020602000000000 
C0C0800000000000 00000002020E0000 0018101800000000 000000043C000000 000000000030E000 000000C0C0C00000 0C04060000000000 2020602000000000 
C0C0800000000000 000000008080E000 0018101800000000 0000000008780000 000000C070000000 0000000606060000 0C04060000000000 2020602000000000 
