00000000060E0000 000000002020E000 0C040C0000000000 F080000000000000 0038600000000000 000000C0C0C00000 0000020E08000000 0000103010100000 
00000000060E0000 000000008080E000 0000003020300000 F080000000000000 0000000E18000000 0038380000000000 0C04060000000000 000040C040400000 
000000000C1C0000 000000008080E000 E0A0000000000000 0000060202020000 0000001C30000000 1C1C000000000000 000000C040600000 0000782000000000 
000000000C1C0000 1C04040000000000 E0A0000000000000 000000808080C000 0000004040602000 0018181800000000 0000602030000000 0000020602020000 
000060E000000000 000000008080E000 0000000C080C0000 F080000000000000 0C38000000000000 0000000070700000 00041C1000000000 0000020206020000 
0030700000000000 0008083800000000 0000000602060000 F080000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
0030700000000000 000000E080800000 0000000C080C0000 F080000000000000 000000000030E000 0C0C0C0000000000 0000001070400000 0000020206020000 
0030700000000000 000000E080800000 0000000C080C0000 F080000000000000 0000001010302000 0C0C0C0000000000 000000006040C000 0000020206020000 
0C1C000000000000 000000008080E000 0000003020300000 F080000000000000 00000000180E0000 0000060606000000 0020380800000000 000040C040400000 
0000000000C0E000 1C04040000000000 E0A0000000000000 0000087800000000 0018700000000000 000000001C1C0000 00000080E0200000 0000020602020000 
00000000181C0000 1C04040000000000 E0A0000000000000 0000003020202000 000070C000000000 00000000C0C0C000 0018080C00000000 0000020206020000 
0000000030380000 000000008080E000 0000000602060000 F080000000000000 000000380C000000 0038380000000000 0C04060000000000 000040C040400000 
0000003038000000 0038080800000000 00000000C080C000 F080000000000000 000070C000000000 0000000606060000 0C04060000000000 0000000000782000 
0000003038000000 1C04040000000000 E0A0000000000000 00000000003C2000 000070C000000000 00000000C0C0C000 0018080C00000000 0000020206020000 
0000003038000000 0000704040000000 E0A0000000000000 000000808080C000 1018080800000000 0000000606060000 0C04060000000000 0000000000782000 
0000000E06000000 000000008080E000 0000003020300000 F080000000000000 00000000180E0000 0038380000000000 0C04060000000000 000040C040400000 
0000001C0C000000 000000008080E000 E0A0000000000000 0000060202020000 00000000301C0000 1C1C000000000000 000000C040600000 0000782000000000 
00000E0600000000 0000704040000000 E0A0000000000000 00000000021E0000 000000380C000000 1C1C000000000000 0000000030206000 0000008080C08000 
0000703000000000 00000E0202000000 E0A0000000000000 0000004078000000 0000000000386000 1C1C000000000000 0000000C04060000 0000008080C08000 
0000703000000000 0038080800000000 0000000602060000 F080000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
0000703000000000 1C04040000000000 E0A0000000000000 0000020202060000 000000000030E000 000000C0C0C00000 0018080C00000000 000000003C080000 
1C0C000000000000 0000404070000000 E0A0000000000000 00101E0000000000 0000000000386000 0000000606060000 0000203808000000 0000008080C08000 
1C0C000000000000 0000000E02020000 E0A0000000000000 00101E0000000000 0000000000386000 0000606060000000 000000101C040000 0000008080C08000 
1C0C000000000000 0000001C04040000 E0A0000000000000 0000060202020000 000000000030E000 000000C0C0C00000 0000002038080000 0010780000000000 
1C0C000000000000 0000001C04040000 E0A0000000000000 0000060202020000 000000E030000000 00000000C0C0C000 0000000008382000 0010780000000000 
1C0C000000000000 00000E0202000000 E0A0000000000000 0010101018000000 0000000000386000 0000606060000000 0000000C04060000 0000008080C08000 
1C0C000000000000 000000E080800000 E0A0000000000000 0000060202020000 000000000030E000 0000000C0C0C0000 0000001070400000 0010780000000000 
1C0C000000000000 000000E080800000 E0A0000000000000 0000060202020000 0000001010302000 0000000C0C0C0000 000000006040C000 0010780000000000 
0000000000706000 00000002020E0000 E0A0000000000000 000000043C000000 1018080800000000 0000707000000000 0C04060000000000 00000080C0808000 
0000000000706000 00000002020E0000 E0A0000000000000 000000C080808000 0000001870000000 1C1C000000000000 000006040C000000 0000782000000000 
0000003830000000 000000008080E000 0000000602060000 F080000000000000 000000000C380000 0038380000000000 0C04060000000000 000040C040400000 
0000007060000000 1010700000000000 E0A0000000000000 0008080818000000 0000000000386000 0000000606060000 0C04060000000000 0000008080C08000 
1C18000000000000 00000002020E0000 E0A0000000000000 000000C080808000 0000603800000000 0000000060606000 000000041C100000 00041E0000000000 
1C18000000000000 0000000070404000 E0A0000000000000 000000C080808000 0000603800000000 0000000606060000 0000000008382000 00041E0000000000 
0000000206060000 1010700000000000 E0A0000000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008080C08000000 
0000000206060000 1010700000000000 E0A0000000000000 0808081800000000 000000000030E000 000000C0C0C00000 0000002038080000 0404060400000000 
0000000206060000 1010700000000000 E0A0000000000000 0808081800000000 000000E030000000 00000000C0C0C000 0000000008382000 0404060400000000 
0000000206060000 0000000070404000 E0A0000000000000 000000C080808000 0000061C00000000 1C1C000000000000 0000000008382000 0000782000000000 
0000000206060000 0000000070404000 E0A0000000000000 000000C080808000 0000603800000000 1C1C000000000000 0000000008382000 00001E0400000000 
0000000206060000 0000000070404000 E0A0000000000000 000000C080808000 0000603800000000 1818180000000000 0000000008382000 0404060400000000 
000000040C0C0000 000000008080E000 E0A0000000000000 0000060202020000 040C080800000000 0000000070700000 1810300000000000 000040F000000000 
000000040C0C0000 000000008080E000 E0A0000000000000 0000060202020000 040C080800000000 0000003030300000 1810300000000000 000040C040400000 
0000000818180000 000000008080E000 0038280000000000 F080000000000000 0000103020200000 0000000606060000 0C04060000000000 000040C040400000 
0000020606000000 1C04040000000000 E0A0000000000000 000000808080C000 0000004040602000 0018181800000000 0000602030000000 00000000081E0000 
000040C0C0000000 0008080E00000000 E0A0000000000000 00000000021E0000 1010302000000000 0000000000E0E000 0C04060000000000 000000103C000000 
0000000040606000 1C04040000000000 E0A0000000000000 000000C080808000 0018700000000000 000000001C1C0000 0000083820000000 0000020602020000 
0000000080C0C000 0000001C04040000 E0A0000000000000 0000060202020000 000000C070000000 1C1C000000000000 0000000008382000 0000782000000000 
0000000406060000 0000404070000000 E0A0000000000000 00001E0200000000 0000000000386000 1C1C000000000000 0000203808000000 0000008080C08000 
0000000406060000 0000404070000000 E0A0000000000000 000000808080C000 0404060200000000 1818180000000000 0000203808000000 0000000000782000 
0000001018180000 000000008080E000 E0A0000000000000 0000302020200000 1018080800000000 0000000606060000 0C04060000000000 000040C040400000 
0000001018180000 0038080800000000 00000000C080C000 F080000000000000 000070C000000000 0000000606060000 0C04060000000000 0000002020602000 
