000000000060E000 E080800000000000 1C14000000000000 00000000021E0000 000040C080800000 0000001C1C000000 00080E0200000000 0020302020000000 
00000000060E0000 000000002020E000 000000C080C00000 F080000000000000 0030E00000000000 0C0C0C0000000000 0000020E08000000 0000103010100000 
00000000060E0000 0008080E00000000 000000E0A0000000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0000101018100000 
000000000C1C0000 E080800000000000 000C080C00000000 0000060202020000 1C30000000000000 0000707000000000 0000000030206000 0000008080C08000 
0000000030700000 000000008080E000 1C14000000000000 C080808000000000 2020604000000000 000000000E0E0000 00080E0200000000 0000103C00000000 
0000000030700000 000000008080E000 3828000000000000 C080808000000000 0404060200000000 000000000E0E0000 0010704000000000 0000083C00000000 
0000000030700000 000000008080E000 0000000C080C0000 F080000000000000 0C38000000000000 0000E0E000000000 00041C1000000000 0000020206020000 
000000060E000000 000000008080E000 0000006020600000 00000000101E0000 00000E1800000000 1C1C000000000000 6020300000000000 8080C08000000000 
000000060E000000 8080E00000000000 000000E0A0000000 00000000101E0000 00000E1800000000 0000000000E0E000 041C100000000000 7820000000000000 
0C1C000000000000 00000002020E0000 000000E0A0000000 0080F00000000000 00000E1800000000 0000000000E0E000 000000041C100000 F020000000000000 
0C1C000000000000 00000002020E0000 000000E0A0000000 0080F00000000000 0000081810100000 0000000000E0E000 000006040C000000 F020000000000000 
0C1C000000000000 00000002020E0000 000000E0A0000000 F080000000000000 00000E1800000000 0000000000E0E000 000000041C100000 0020F00000000000 
0C1C000000000000 00000002020E0000 000000E0A0000000 F080000000000000 0000081810100000 0000000000E0E000 000006040C000000 0020F00000000000 
0000000000C0E000 000010101C000000 C080C00000000000 00000000203C0000 04040C0800000000 3838000000000000 000020E080000000 0000020602020000 
0000000000C0E000 8080E00000000000 000000E0A0000000 0000101010300000 0404060200000000 000000000E0E0000 0018080C00000000 7820000000000000 
0000000000C0E000 0038080800000000 C080C00000000000 3C04000000000000 0000101030200000 0000060606000000 000020E080000000 00000000081E0000 
0000000000C0E000 E020200000000000 1C14000000000000 0000060202020000 0008181010000000 0000000C0C0C0000 0000006020300000 0080C08080000000 
0000000000C0E000 E080800000000000 000000E0A0000000 0000020202060000 000000000C380000 1C1C000000000000 0000041C10000000 0020780000000000 
0000000000C0E000 E080800000000000 000000E0A0000000 0000020202060000 000004040C080000 1C1C000000000000 0000001810300000 0020780000000000 
