000000000060E000 00001C0404000000 E0A0000000000000 0000020202060000 0000000070180000 1C1C000000000000 0000203808000000 000080C080800000 
000000000060E000 0000001C10100000 0028380000000000 808080C000000000 0404060200000000 000000000E0E0000 00000020E0800000 7810000000000000 
00000000060E0000 000000008080E000 E0A0000000000000 000080F000000000 0404060200000000 0000000070700000 1810300000000000 0008080C08000000 
00000000060E0000 1C04040000000000 00000A0E00000000 808080C000000000 6038000000000000 00000000C0C0C000 0000301018000000 0000002020302000 
00000000060E0000 E080800000000000 0C040C0000000000 0020202030000000 000000000030E000 000000C0C0C00000 0000020E08000000 1018101000000000 
0000000018380000 000000008080E000 0018081800000000 F080000000000000 000080C040400000 0000000606060000 0C04060000000000 0020302020000000 
000C1C0000000000 E080800000000000 00000000141C0000 000000C080808000 1C30000000000000 0000000060606000 0000203808000000 0000020602020000 
0C1C000000000000 008080E000000000 0000301030000000 0000060202020000 0000080C04040000 00000000C0C0C000 0000000008382000 F020000000000000 
0C1C000000000000 00000E0808000000 00000000C080C000 F080000000000000 0020301010000000 0000000606060000 000080E020000000 0000000000782000 
0000000000C0E000 0008083800000000 0000000602060000 C080808000000000 000000000C380000 3030300000000000 0C04060000000000 00000040F0000000 
0000000000C0E000 00008080E0000000 0000000602060000 F080000000000000 000000000C380000 0038380000000000 0C04060000000000 0000007810000000 
0000000030380000 000000008080E000 0030203000000000 F080000000000000 000080C040400000 0000000606060000 0C04060000000000 0008180808000000 
0000000060700000 000000008080E000 0000283800000000 808080C000000000 00000000180E0000 0000060606000000 041C100000000000 7820000000000000 
0000000060700000 000000008080E000 0000060206000000 808080C000000000 00000000180E0000 1C1C000000000000 6020300000000000 0000083C00000000 
0000006070000000 0008080E00000000 E0A0000000000000 0000808080C00000 000000000030E000 000000000E0E0000 0C04060000000000 1010301000000000 
3038000000000000 000000008080E000 000000000A0E0000 C080808000000000 0000386000000000 0000000070700000 0C04060000000000 0000001E04000000 
0000000E06000000 008080E000000000 0028380000000000 F010000000000000 0000001030202000 00000000C0C0C000 0C04060000000000 00000000081E0000 
0000003818000000 000000008080E000 0028380000000000 F010000000000000 008080C040000000 0000000606060000 0C04060000000000 0000000020780000 
0038180000000000 000000008080E000 0000001808180000 F080000000000000 000080C040400000 0000000606060000 0C04060000000000 0000202030200000 
1C0C000000000000 E080800000000000 00000000141C0000 000000C080808000 00301C0000000000 0000000060606000 0000203808000000 0000020602020000 
1C0C000000000000 E080800000000000 0000001808180000 00101E0000000000 0020206040000000 0000000606060000 0000000030206000 0000008080C08000 
7030000000000000 00002020E0000000 0000000E0A000000 808080C000000000 0008181010000000 0000000000E0E000 0C04060000000000 00000000041E0000 
7030000000000000 00002020E0000000 0000001C14000000 808080C000000000 0004060202000000 0000000000E0E000 0C08180000000000 00000000081E0000 
0000000000706000 0008083800000000 0000000602060000 C080808000000000 00000040C0808000 3030300000000000 0C04060000000000 000000003C080000 
0000000000706000 1C04040000000000 0000000C080C0000 C080808000000000 00000040C0808000 0000303030000000 2038080000000000 0000020206020000 
0000000000706000 00000000E0808000 0000283800000000 808080C000000000 00000000180E0000 0000060606000000 041C100000000000 7820000000000000 
0000000000706000 00000000E0808000 0000060206000000 808080C000000000 00000000180E0000 1C1C000000000000 6020300000000000 0000083C00000000 
000000001C180000 00002020E0000000 0000000602060000 808080C000000000 00000E1800000000 0000000000E0E000 041C100000000000 7820000000000000 
000000001C180000 000000008080E000 0000000602060000 0000202020600000 008080C040000000 0018181800000000 0C04060000000000 F020000000000000 
0000000070600000 000000008080E000 E0A0000000000000 000080F000000000 040C080800000000 0000060606000000 1810300000000000 00000000081E0000 
0038300000000000 000000008080E000 0000000602060000 F080000000000000 000080C040400000 0000003030300000 0C04060000000000 000008080C080000 
0038300000000000 000000008080E000 0000003020300000 F080000000000000 000080C040400000 0000000606060000 0C04060000000000 0000080818080000 
1C18000000000000 E080800000000000 0000000C080C0000 0020202030000000 000000000030E000 000000C0C0C00000 00041C1000000000 0000020206020000 
0000000020606000 04041C0000000000 00000000141C0000 C080808000000000 00000040C0808000 3838000000000000 0000203808000000 0000020602020000 
0000000020606000 0000001C10100000 1C14000000000000 C080808000000000 00000040C0808000 000000000E0E0000 00080E0200000000 2020302000000000 
0000000020606000 E080800000000000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 0030206000000000 00000080C0808000 
0000000040C0C000 E080800000000000 000000E0A0000000 00000000003C2000 1C30000000000000 000C0C0C00000000 0000301018000000 0000020206020000 
0000000206060000 000000008080E000 0000000028380000 F080000000000000 000080C040400000 0038380000000000 0C04060000000000 0000003C10000000 
0000000206060000 000000008080E000 0038280000000000 F080000000000000 000080C040400000 0000000038380000 0C04060000000000 0000103C00000000 
0000000206060000 000000008080E000 E0A0000000000000 00001E1000000000 000080C040400000 1C1C000000000000 0000000C08180000 0000202030200000 
0000000206060000 008080E000000000 0000301030000000 1808080800000000 E030000000000000 00000000C0C0C000 0000000008382000 0404060400000000 
0000000206060000 E080800000000000 1C14000000000000 000000C080808000 0020203010000000 0000000060606000 0000000C08180000 00081E0000000000 
0000002060600000 000000008080E000 1C14000000000000 808080C000000000 0008081810000000 0000060606000000 6020300000000000 00000000081E0000 
00000040C0C00000 0008083800000000 0000000602060000 C080808000000000 000000000030E000 3030300000000000 0C04060000000000 000000003C080000 
00000040C0C00000 1C04040000000000 0000000C080C0000 C080808000000000 000000000030E000 0000303030000000 2038080000000000 0000020206020000 
0000020606000000 00000008080E0000 0000000000A0E000 F080000000000000 00008080C0400000 0C0C0C0000000000 0030206000000000 0000101030100000 
0000020606000000 00000008080E0000 E0A0000000000000 00003C2000000000 000000000030E000 1C1C000000000000 0000001070400000 000080C080800000 
0000020606000000 00000008080E0000 E0A0000000000000 00003C2000000000 0000001010302000 1C1C000000000000 000000006040C000 000080C080800000 
0000020606000000 1C04040000000000 0018081800000000 808080C000000000 00000000180E0000 00000000C0C0C000 6020300000000000 0000002020302000 
040C0C0000000000 000000008080E000 E0A0000000000000 00000000043C0000 000080C040400000 0000003838000000 1810300000000000 0000020602020000 
1030300000000000 E080800000000000 0000000602060000 000808080C000000 0000000000386000 0000007070000000 0C04060000000000 0000008080C08000 
0000000040606000 E080800000000000 0000302030000000 000000C080808000 1C30000000000000 0000060606000000 000C081800000000 00000000081E0000 
0000000080C0C000 00000002020E0000 0028380000000000 F010000000000000 008080C040000000 0000001C1C000000 0C04060000000000 0000002020302000 
0000000080C0C000 04041C0000000000 00000000141C0000 C080808000000000 0000004060202000 3838000000000000 0000203808000000 0000020602020000 
0000000080C0C000 0000001C10100000 1C14000000000000 C080808000000000 0000004060202000 000000000E0E0000 00080E0200000000 2020302000000000 
0000000406060000 E080800000000000 1C14000000000000 000000808080C000 0000004040602000 0000001818180000 00080E0200000000 0020302020000000 
0000000406060000 E080800000000000 0000001808180000 00001E0200000000 0020206040000000 1C1C000000000000 0000000030206000 0000008080C08000 
000000080C0C0000 000000008080E000 0000A0E000000000 F080000000000000 0C38000000000000 0000000070700000 00041C1000000000 0000020602020000 
0000001018180000 000000008080E000 0028380000000000 C080808000000000 0004060202000000 0000006060600000 0000000C04060000 3C10000000000000 
0000002030300000 000000008080E000 000000000A0E0000 F080000000000000 000080C040400000 0038380000000000 0C04060000000000 0000001E04000000 
0000002030300000 000000008080E000 E0A0000000000000 00003C0400000000 000080C040400000 1C1C000000000000 00000018080C0000 0000020206020000 
000080C0C0000000 0008080E00000000 E0A0000000000000 00000000021E0000 1010302000000000 0000000000E0E000 0C04060000000000 000000103C000000 
0020303000000000 0000080838000000 00000000C080C000 808080C000000000 7018000000000000 0000000606060000 0C04060000000000 0000000000782000 
0020303000000000 000000008080E000 0000000602060000 808080C000000000 7018000000000000 0000000070700000 0C04060000000000 000008080C080000 
1018180000000000 000000008080E000 E0A0000000000000 00000000101E0000 000080C040400000 0000000E0E000000 0C04060000000000 0000203020200000 
1018180000000000 00008080E0000000 E0A0000000000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 0000207800000000 
1018180000000000 E080800000000000 000000000A0E0000 0020202030000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000001E04000000 
1018180000000000 E080800000000000 0000000E0A000000 000000C080808000 0020203010000000 0000000060606000 0C04060000000000 00000000041E0000 
0000000606020000 000000008080E000 0000A0E000000000 F080000000000000 0C38000000000000 0000000070700000 00000018080C0000 00041E0000000000 
0000000606020000 000000008080E000 0000003828000000 F080000000000000 000080C040400000 0038380000000000 0C04060000000000 00000000103C0000 
0000000606020000 000000008080E000 0000006040600000 C080808000000000 00000000301C0000 3030300000000000 0C04060000000000 0008081808000000 
0000000606020000 E080800000000000 1C14000000000000 0020202030000000 000000000030E000 000000C0C0C00000 00000018080C0000 00081E0000000000 
0000060602000000 000000008080E000 E0A0000000000000 00000000101E0000 000080C040400000 1C1C000000000000 000018080C000000 0000203020200000 
0000060602000000 0000000038202000 E0A0000000000000 000080F000000000 040C080800000000 00000000C0C0C000 1810300000000000 00000000041E0000 
1818080000000000 0000001C10100000 00000000C080C000 808080C000000000 0404060200000000 000000000E0E0000 6020300000000000 0000002020602000 
00000000C0C08000 008080E000000000 0000301030000000 0018080808000000 0000000000386000 0000000606060000 0C04060000000000 F020000000000000 
0000003030200000 000000008080E000 0000000E0A000000 F080000000000000 000080C040400000 0038380000000000 0C04060000000000 00000000041E0000 
0000060604000000 00002020E0000000 000000000A0E0000 808080C000000000 0000081810100000 0000000000E0E000 041C100000000000 7820000000000000 
0000060604000000 E080800000000000 0000000060206000 00000000021E0000 0000007018000000 1C1C000000000000 0020380800000000 0000008080C08000 
0000303020000000 000000008080E000 0000000050700000 808080C000000000 0404060200000000 000000000E0E0000 0018080C00000000 7820000000000000 
0000303020000000 000000008080E000 E0A0000000000000 00000000043C0000 000080C040400000 1C1C000000000000 00000C0818000000 0000020602020000 
0018181000000000 0000000E02020000 0000000000A0E000 F080000000000000 00008080C0400000 000000001C1C0000 0C04060000000000 0020206020000000 
0C0C080000000000 00000008080E0000 0000000000A0E000 F080000000000000 00008080C0400000 0000060606000000 0030206000000000 0000101030100000 
3030200000000000 000000008080E000 0000000E0A000000 C080808000000000 0008181010000000 0000006060600000 0C04060000000000 00000000041E0000 
3030200000000000 000000008080E000 0000001C14000000 C080808000000000 0004060202000000 0000006060600000 0C08180000000000 00000000081E0000 
