000000000060E000 00000002020E0000 0000705000000000 C080808000000000 0000080818100000 3838000000000000 00000020E0800000 0404060400000000 
0000000018380000 000000008080E000 0000000602060000 F080000000000000 000080C040400000 0018181800000000 0C04060000000000 0020602020000000 
0000001838000000 1C04040000000000 C080C00000000000 00000000003C2000 000030E000000000 00000000C0C0C000 2038080000000000 0000020602020000 
0000003070000000 00000E0808000000 0000000602060000 000000808080C000 8080C04000000000 1C1C000000000000 6020300000000000 0000000000782000 
00000060E0000000 1C04040000000000 00000A0E00000000 00000000021E0000 6038000000000000 0000000000E0E000 0000301018000000 8080C08000000000 
000C1C0000000000 000000002020E000 C080C00000000000 00000000021E0000 0020203010000000 000000C0C0C00000 0000020E08000000 3C10000000000000 
000C1C0000000000 000000002020E000 C080C00000000000 0000020202060000 0020203010000000 000000C0C0C00000 0000000C08180000 3C10000000000000 
000C1C0000000000 002020E000000000 C080C00000000000 00000000021E0000 0000001030202000 00000000C0C0C000 0000020E08000000 3C10000000000000 
000C1C0000000000 002020E000000000 C080C00000000000 0000020202060000 0000001C30000000 00000000C0C0C000 0000000008382000 3C10000000000000 
000C1C0000000000 002020E000000000 C080C00000000000 0000020202060000 0000001030202000 00000000C0C0C000 0000000C08180000 3C10000000000000 
0C1C000000000000 000000E080800000 000000000A0E0000 0080F00000000000 000000000030E000 00000E0E00000000 0000001070400000 F020000000000000 
0C1C000000000000 000000E080800000 000000000A0E0000 0080F00000000000 0000001010302000 00000E0E00000000 000000006040C000 F020000000000000 
0C1C000000000000 000000E080800000 000000000A0E0000 F080000000000000 000000000030E000 00000E0E00000000 0000001070400000 0020F00000000000 
0C1C000000000000 000000E080800000 000000000A0E0000 F080000000000000 0000001010302000 00000E0E00000000 000000006040C000 0020F00000000000 
0000000000C0E000 00000002020E0000 3828000000000000 C080808000000000 0010180808000000 0000003030300000 00006040C0000000 0404060400000000 
0000000000C0E000 00000002020E0000 C080C00000000000 000000F010000000 00000000E0300000 3030300000000000 0C04060000000000 0008080C08000000 
0000000000C0E000 00008080E0000000 E0A0000000000000 0000060202020000 0000380C00000000 1C1C000000000000 0000407010000000 00000000083C0000 
0000000000C0E000 8080E00000000000 000000000A0E0000 000000F010000000 00000000E0300000 00000E0E00000000 041C100000000000 7820000000000000 
0000000000C0E000 8080E00000000000 000000000A0E0000 0000101010300000 0404060200000000 000000E0E0000000 0018080C00000000 7820000000000000 
0000000000C0E000 0000000E02020000 00A0E00000000000 F010000000000000 0008181010000000 000000E0E0000000 0C04060000000000 00000000083C0000 
00000000181C0000 00008080E0000000 0000507000000000 F080000000000000 04040C0800000000 0000000000E0E000 0838200000000000 0000020602020000 
00000000181C0000 0000000E02020000 0000000060206000 F080000000000000 0000C07000000000 0038380000000000 0C04060000000000 0000008080C08000 
00000000181C0000 3820200000000000 C080C00000000000 000000C080808000 00000C3800000000 0000000060606000 041C100000000000 0000020602020000 
00000000181C0000 3820200000000000 C080C00000000000 000000C080808000 04040C0800000000 0000000060606000 0018103000000000 0000020602020000 
0000006070000000 1010700000000000 E0A0000000000000 0000808080C00000 000000000030E000 0C0C0C0000000000 00000018080C0000 0000020602020000 
0000006070000000 000000008080E000 0000000602060000 0000000008780000 00000E1800000000 1C1C000000000000 6020300000000000 8080C08000000000 
000000C0E0000000 0008080E00000000 000000000A0E0000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0000103010100000 
000000C0E0000000 1C04040000000000 C080C00000000000 00000000021E0000 0008181010000000 0000000000E0E000 0000020E08000000 2030202000000000 
000000C0E0000000 1C04040000000000 C080C00000000000 0000020202060000 0008181010000000 0000000000E0E000 0000000C08180000 2030202000000000 
000000C0E0000000 3820200000000000 C080C00000000000 0000020202060000 0010180808000000 0000000000E0E000 0000003010180000 040C040400000000 
0000181C00000000 00000002020E0000 C080C00000000000 3C20000000000000 001C060000000000 0000000000E0E000 000020E080000000 0000000078100000 
0000181C00000000 000000008080E000 000000000A0E0000 7808000000000000 0404060200000000 0000000070700000 0030206000000000 8080C08000000000 
0000181C00000000 000000008080E000 E0A0000000000000 0000060202020000 000080C040400000 1C1C000000000000 0000602030000000 00000000083C0000 
0000C0E000000000 000000008080E000 E0A0000000000000 0000060202020000 0000380C00000000 1C1C000000000000 0000001070400000 00000000083C0000 
0030380000000000 000000002020E000 C080C00000000000 0000020202060000 0004040C08000000 000000C0C0C00000 0000003010180000 3C08000000000000 
0030380000000000 0004041C00000000 C080C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 3C08000000000000 
0030380000000000 0004041C00000000 C080C00000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 3C08000000000000 
3038000000000000 00000002020E0000 C080C00000000000 000000F080000000 0000380C00000000 0000000000E0E000 0C04060000000000 0000000078100000 
3038000000000000 0000000038202000 C080C00000000000 00000000021E0000 000030E000000000 00000000C0C0C000 0C04060000000000 0000081E00000000 
3038000000000000 0000000038202000 C080C00000000000 00000000021E0000 0000180E00000000 00000000C0C0C000 0C04060000000000 000020F000000000 
00000E0600000000 000000008080E000 000000000A0E0000 808080C000000000 0000603800000000 0000000070700000 041C100000000000 7820000000000000 
0000703000000000 000000008080E000 000000000A0E0000 808080C000000000 0404060200000000 0000000070700000 0018080C00000000 7820000000000000 
0000703000000000 000000008080E000 E0A0000000000000 00000000203C0000 000080C040400000 1C1C000000000000 00000C0818000000 0000020602020000 
001C0C0000000000 000000008080E000 C080C00000000000 3C20000000000000 000030E000000000 0000000070700000 00000018080C0000 0000020602020000 
0038180000000000 00000002020E0000 C080C00000000000 3C04000000000000 0000061C00000000 0000000000E0E000 000020E080000000 0000000078100000 
1C0C000000000000 000000002020E000 000000000A0E0000 0000301010100000 E030000000000000 00000E0E00000000 0000006040C00000 0080C08080000000 
1C0C000000000000 E020200000000000 000000000A0E0000 0010101030000000 000000000030E000 00000E0E00000000 0000006040C00000 0080C08080000000 
1C0C000000000000 00001C1010000000 0000602060000000 00000000021E0000 E030000000000000 0000000000E0E000 0000020E08000000 008080C080000000 
1C0C000000000000 00001C1010000000 0000602060000000 0000020202060000 E030000000000000 0000000000E0E000 0000000C08180000 008080C080000000 
3818000000000000 04041C0000000000 C080C00000000000 0020202030000000 000000000030E000 000000C0C0C00000 00000018080C0000 0000020602020000 
7030000000000000 00000002020E0000 000000A0E0000000 0000301010100000 8080C04000000000 0000000000E0E000 0C04060000000000 0008080C08000000 
7030000000000000 8080E00000000000 0000000602060000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 0008180808000000 
0000000000706000 E080800000000000 0000705000000000 0000020202060000 1C30000000000000 000C0C0C00000000 0000002038080000 00000080C0808000 
00000000E0C00000 00000002020E0000 C080C00000000000 000000F010000000 000000000030E000 3030300000000000 0C04060000000000 0008080C08000000 
00000000E0C00000 8080E00000000000 000000000A0E0000 000000F010000000 000000000030E000 00000E0E00000000 041C100000000000 7820000000000000 
000000E0C0000000 0008080E00000000 000000000A0E0000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0000101030100000 
0000E0C000000000 0038080800000000 0000000602060000 F080000000000000 0000101018080000 00000000C0C0C000 0C04060000000000 0000002020302000 
0000E0C000000000 1C04040000000000 E0A0000000000000 0000020202060000 0000101018080000 00000000C0C0C000 0018080C00000000 0000002020302000 
001C180000000000 00000002020E0000 C080C00000000000 3C20000000000000 0000061C00000000 0000000000E0E000 000020E080000000 0000000078100000 
1C18000000000000 0000701010000000 E0A0000000000000 00000000003C2000 00040C0808000000 00000000C0C0C000 000080E020000000 0000020602020000 
3830000000000000 0000101070000000 C080C00000000000 00000000021E0000 0404060200000000 0000000000E0E000 000020E080000000 0008080C08000000 
3830000000000000 000000008080E000 C080C00000000000 00000000021E0000 0404060200000000 0000303030000000 000000C040600000 0008080C08000000 
0000000020606000 0008080E00000000 C080C00000000000 00000000021E0000 0000007018000000 3030300000000000 0C04060000000000 00000080C0808000 
0000000020606000 3820200000000000 C080C00000000000 00000000021E0000 0000007018000000 00000E0E00000000 041C100000000000 00000080C0808000 
0000002060600000 000000008080E000 0000000602060000 808080C000000000 7018000000000000 0000001818180000 0C04060000000000 0020780000000000 
0000081818000000 1C04040000000000 E0A0000000000000 00000000003C2000 0018700000000000 00000000C0C0C000 000080E020000000 0000020602020000 
0000103030000000 00000002020E0000 00A0E00000000000 F010000000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0008080C08000000 
