0000000018380000 000000008080E000 0000000604060000 F080000000000000 000080C040400000 0018181800000000 0C04060000000000 0020602020000000 
0000003070000000 00000E0808000000 0000000604060000 000000808080C000 8080C04000000000 1C1C000000000000 6020300000000000 0000000000782000 
0000060E00000000 000000008080E000 E0A0000000000000 0000000040780000 000000001C060000 1C1C000000000000 000080E020000000 0000781000000000 
0018380000000000 1C04040000000000 E0A0000000000000 00000080F0000000 0000C07000000000 0000000000E0E000 0000020E08000000 00000000041E0000 
1838000000000000 E080800000000000 0000181018000000 000000808080C000 0404060200000000 0000606060000000 0000000C04060000 0000000000782000 
0000000000C0E000 0038202000000000 0C040C0000000000 F080000000000000 0000101030200000 0000C0C0C0000000 0000020E08000000 00000000041E0000 
000000000C0E0000 000000008080E000 1C14000000000000 C080808000000000 2020604000000000 0000000070700000 00080E0200000000 0000103C00000000 
000000000C0E0000 000000008080E000 3828000000000000 C080808000000000 0404060200000000 0000000070700000 0010704000000000 0000083C00000000 
000000000C0E0000 3820200000000000 C080C00000000000 000000C080808000 0404060200000000 0000000060606000 0018080C00000000 0000103010100000 
0000003038000000 000000008080E000 C080C00000000000 3C20000000000000 001C300000000000 00000E0E00000000 000000C040600000 00000000041E0000 
0000003038000000 000000008080E000 C080C00000000000 0808080C00000000 0404060200000000 3030300000000000 000000C040600000 00000000041E0000 
0000003038000000 0008080E00000000 C080C00000000000 000000808080C000 0000004040602000 3030300000000000 0C04060000000000 00000000041E0000 
0000003038000000 3820200000000000 C080C00000000000 000000808080C000 0000004040602000 00000E0E00000000 041C100000000000 00000000041E0000 
0000006070000000 000000008080E000 0000000604060000 0000000008780000 00000E1800000000 1C1C000000000000 6020300000000000 8080C08000000000 
00181C0000000000 000000002020E000 C080C00000000000 3C04000000000000 0020203010000000 000000C0C0C00000 0000020E08000000 00000000041E0000 
00181C0000000000 002020E000000000 C080C00000000000 3C04000000000000 0000001030202000 00000000C0C0C000 0000020E08000000 00000000041E0000 
0000000038180000 000000008080E000 0000006040600000 C080808000000000 0404060200000000 3838000000000000 0000000C04060000 0000781000000000 
0000000038180000 3808080000000000 0000000000A0E000 C080808000000000 0404060200000000 0030303000000000 0000000C04060000 00004040C0400000 
00000E0600000000 000000008080E000 C080C00000000000 3C20000000000000 001C300000000000 0000003838000000 000000C040600000 00000000041E0000 
