000000000060E000 0008083800000000 0000000602060000 C080808000000000 00004040C0800000 3030300000000000 0C04060000000000 000000003C100000 
000000000060E000 1010700000000000 E0A0000000000000 0000020202060000 0000003860000000 0C0C0C0000000000 000000041C100000 000080C080800000 
000000000060E000 1C04040000000000 000000001C140000 C080808000000000 2020604000000000 0018181800000000 00000020E0800000 0000020602020000 
000000000060E000 000000E080800000 E0A0000000000000 0000F01000000000 1018080800000000 0000000606060000 0C04060000000000 0000000078100000 
0000003070000000 8080E00000000000 000000C080C00000 0000020202060000 000000000030E000 00000C0C0C000000 041C100000000000 7820000000000000 
00000060E0000000 1C04040000000000 000000001C140000 C080808000000000 0000701800000000 0000000000E0E000 2038080000000000 0000020602020000 
0C1C000000000000 0000101070000000 000000C080C00000 0000020202060000 000000000030E000 00000C0C0C000000 0080E02000000000 F020000000000000 
1838000000000000 E080800000000000 0000000060206000 0000020202060000 04040C0800000000 0000707000000000 000000041C100000 0000008080C08000 
0000000000C0E000 1C04040000000000 000000001C140000 6020202000000000 8080C04000000000 0018181800000000 00000080E0200000 0000020602020000 
0000006070000000 1010700000000000 E0A0000000000000 0000808080C00000 000000000030E000 0000000606060000 0C04060000000000 0008081808000000 
0000303800000000 1C04040000000000 C080C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 2038080000000000 0000020602020000 
3038000000000000 000000008080E000 0000000602060000 C080808000000000 000000001C300000 0000383800000000 0C04060000000000 0000404060400000 
000000000E060000 000000008080E000 1C14000000000000 C080808000000000 2020604000000000 0000000070700000 00080E0200000000 0000103C00000000 
000000000E060000 000000008080E000 3828000000000000 C080808000000000 0404060200000000 0000000070700000 0010704000000000 0000083C00000000 
000000000E060000 3820200000000000 C080C00000000000 000000C080808000 0404060200000000 0000000060606000 0018080C00000000 0000103010100000 
000000E060000000 000000008080E000 0018081800000000 0080F00000000000 0000000018700000 0000000606060000 0C04060000000000 F020000000000000 
000000E060000000 000000008080E000 0018081800000000 F080000000000000 0000000018700000 0000000606060000 0C04060000000000 0020F00000000000 
00001C0C00000000 000000008080E000 E0A0000000000000 0000020202060000 0000E03000000000 1C1C000000000000 000000C040600000 000000003C100000 
00001C0C00000000 0000E08080000000 E0A0000000000000 0000020202060000 000000000030E000 1C1C000000000000 0000006040C00000 000000103C000000 
0000703000000000 00000E0202000000 E0A0000000000000 0000000078400000 000000000030E000 1C1C000000000000 0000000C04060000 000080C080800000 
1C0C000000000000 000000002020E000 00000C040C000000 0000020202060000 E030000000000000 000000C0C0C00000 0080E02000000000 0000101810100000 
1C0C000000000000 E020200000000000 0000000602060000 00101E0000000000 000000380C000000 0000000000E0E000 0000004070100000 0080C08080000000 
7030000000000000 8080E00000000000 000000C080C00000 0000020202060000 000000000030E000 0C0C0C0000000000 0000101C04000000 0000002078000000 
0000000000706000 00000E0202000000 E0A0000000000000 0000F01000000000 0000006038000000 1C1C000000000000 0000000C04060000 00000080C0808000 
0000000000706000 00000E0202000000 C080C00000000000 000000C080808000 2020301000000000 1C1C000000000000 0000000C04060000 0000002078000000 
0000000000706000 3820200000000000 C080C00000000000 000000C080808000 00000E1800000000 0000000606060000 041C100000000000 0000002078000000 
0000003830000000 8080E00000000000 00000C040C000000 0000020202060000 000000000030E000 000000C0C0C00000 041C100000000000 7820000000000000 
000000E0C0000000 1C04040000000000 C080C00000000000 0000020202060000 0000301C00000000 0000000000E0E000 2038080000000000 000000003C100000 
000000E0C0000000 1C04040000000000 C080C00000000000 0000020202060000 2020301000000000 0000000000E0E000 0018080C00000000 000000003C100000 
00001C1800000000 0000E08080000000 E0A0000000000000 000000003C040000 000000000030E000 1C1C000000000000 0000006040C00000 0000020602020000 
0000706000000000 00000E0202000000 E0A0000000000000 0000808080C00000 000000000030E000 1C1C000000000000 0000000C04060000 0000001078000000 
0000E0C000000000 1C04040000000000 E0A0000000000000 00000000F0100000 000008080C040000 0000000000E0E000 0018103000000000 0000020602020000 
1C18000000000000 0000404070000000 E0A0000000000000 0000808080C00000 000000000030E000 0000000606060000 0000203808000000 00041E0000000000 
1C18000000000000 2020380000000000 C080C00000000000 000000F080000000 0004060202000000 0000000000E0E000 0000000C04060000 0000000078100000 
