00000C1C00000000 0000704040000000 E0A0000000000000 0000808080C00000 000000000030E000 1C1C000000000000 0000002038080000 0000020206020000 
0018380000000000 000000002020E000 C080C00000000000 3C20000000000000 0004040C08000000 000000C0C0C00000 0000003010180000 0000020206020000 
0018380000000000 0004041C00000000 C080C00000000000 3C20000000000000 000000000030E000 000000C0C0C00000 0000002038080000 0000020206020000 
0018380000000000 0004041C00000000 C080C00000000000 3C20000000000000 000000E030000000 00000000C0C0C000 0000000008382000 0000020206020000 
0018380000000000 1C04040000000000 E0A0000000000000 00000080F0000000 0000C07000000000 0000000000E0E000 0000000C08180000 0000020206020000 
0C1C000000000000 000000E080800000 000000000E0A0000 0080F00000000000 000000000030E000 00000E0E00000000 0000001070400000 F020000000000000 
0C1C000000000000 000000E080800000 000000000E0A0000 0080F00000000000 0000001010302000 00000E0E00000000 000000006040C000 F020000000000000 
0C1C000000000000 000000E080800000 000000000E0A0000 F080000000000000 000000000030E000 00000E0E00000000 0000001070400000 0020F00000000000 
0C1C000000000000 000000E080800000 000000000E0A0000 F080000000000000 0000001010302000 00000E0E00000000 000000006040C000 0020F00000000000 
0000000000C0E000 0000002020380000 E0A0000000000000 0C04040400000000 1018080800000000 0000C0C0C0000000 0000301018000000 0000020206020000 
0000000000C0E000 8080E00000000000 000000000E0A0000 000000F010000000 00000000E0300000 00000E0E00000000 041C100000000000 7820000000000000 
0000000000C0E000 8080E00000000000 000000000E0A0000 0000101010300000 0404060200000000 000000E0E0000000 0018080C00000000 7820000000000000 
0000000000C0E000 0000000E02020000 0028380000000000 F010000000000000 000000000C380000 0000007070000000 0C04060000000000 0080C08080000000 
0000000000C0E000 0000007010100000 C080C00000000000 3C04000000000000 0000040C08080000 0038380000000000 00000080E0200000 0000020206020000 
0000000000C0E000 001C040400000000 C080C00000000000 3C20000000000000 0000386000000000 0000001818180000 00000080E0200000 0000020206020000 
0000000000C0E000 001C040400000000 C080C00000000000 3C20000000000000 0000000060380000 0000181818000000 000020E080000000 0000020206020000 
0000000000C0E000 1C04040000000000 E0A0000000000000 0000F08000000000 00000070C0000000 0000000038380000 0018080C00000000 0000020206020000 
