000000000060E000 008080E000000000 0000001808180000 00000000F0800000 0018700000000000 0000000606060000 0C04060000000000 F020000000000000 
000000000060E000 1C04040000000000 0018101800000000 C080808000000000 2020604000000000 000000001C1C0000 00000020E0800000 0000020602020000 
00000000060E0000 000000008080E000 3828000000000000 C080808000000000 0404060200000000 0000000070700000 0010704000000000 0000003C08000000 
000000000C1C0000 000000008080E000 E0A0000000000000 0000060202020000 0000001C30000000 1C1C000000000000 000000C040600000 0000F02000000000 
000000000C1C0000 000000008080E000 0000006040600000 0000060202020000 0000001C30000000 1C1C000000000000 6020300000000000 8080C08000000000 
000000000C1C0000 000000008080E000 C080C00000000000 0000060202020000 0000001C30000000 1C1C000000000000 000000C040600000 2020302000000000 
000000000C1C0000 0000E08080000000 E0A0000000000000 0000060202020000 0000004040C08000 1C1C000000000000 0000000030206000 0000103C00000000 
0000000018380000 000000008080E000 0018101800000000 F080000000000000 000080C040400000 0000000606060000 0C04060000000000 0020602020000000 
0000000C1C000000 00000002020E0000 E0A0000000000000 0000808080C00000 000000000030E000 0000606060000000 0C04060000000000 1018101000000000 
0000003070000000 8080E00000000000 000000C080C00000 0000060202020000 000000000030E000 0000000C0C0C0000 041C100000000000 7820000000000000 
0C1C000000000000 0000101070000000 000000C080C00000 0000060202020000 000000000030E000 0000000C0C0C0000 0080E02000000000 F020000000000000 
0000000000C0E000 00000002020E0000 E0A0000000000000 0000F08000000000 00000000E0300000 1C1C000000000000 000006040C000000 0000007810000000 
0000000000C0E000 1C04040000000000 0018101800000000 6020202000000000 8080C04000000000 000000001C1C0000 00000080E0200000 0000020602020000 
0000000000C0E000 0038202000000000 0000000E0A000000 F080000000000000 0000101030200000 0000C0C0C0000000 0C04060000000000 00000000041E0000 
0000000060700000 000000008080E000 3828000000000000 C080808000000000 0404060200000000 000000000E0E0000 0010704000000000 0000003C10000000 
0000000060700000 000000008080E000 0000000C040C0000 0000060202020000 0000007018000000 1C1C000000000000 6020300000000000 8080C08000000000 
000000181C000000 1C04040000000000 E0A0000000000000 00000000003C2000 0018700000000000 00000000C0C0C000 000080E020000000 0000020602020000 
0000003038000000 8080E00000000000 0000000C040C0000 0000060202020000 000000000030E000 000000C0C0C00000 041C100000000000 7820000000000000 
0000303800000000 000004041C000000 E0A0000000000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
3038000000000000 000000008080E000 C080C00000000000 0C04040400000000 000030E000000000 0000000070700000 00000018080C0000 0000020206020000 
3038000000000000 0000000E02020000 C080C00000000000 00000000003C2000 000030E000000000 00000000C0C0C000 0C04060000000000 000000103C000000 
3038000000000000 0000000038202000 C080C00000000000 00000000021E0000 000030E000000000 00000000C0C0C000 0C04060000000000 0000001E04000000 
3038000000000000 0000000038202000 C080C00000000000 0000001E02000000 000030E000000000 00000000C0C0C000 0C04060000000000 00000000041E0000 
000000001C0C0000 0000000E02020000 E0A0000000000000 0000808080C00000 000000000030E000 0000606060000000 0C04060000000000 1018101000000000 
0000000E06000000 0000101070000000 C080C00000000000 3C20000000000000 001C060000000000 0000000000E0E000 000020E080000000 00000000081E0000 
