000000000060E000 0008083800000000 1C14000000000000 00000000F0800000 8080C04000000000 0000060606000000 6020300000000000 00000000081E0000 
000000000060E000 E080800000000000 1C14000000000000 00000000021E0000 00004040C0800000 0000001C1C000000 00080E0200000000 0020302020000000 
00000000060E0000 000000008080E000 E0A0000000000000 0000C04040400000 0404060200000000 0000003030300000 1810300000000000 0008080C08000000 
00000000060E0000 000000008080E000 0C040C0000000000 6020202000000000 8080C04000000000 0000000070700000 0000020E08000000 1018101000000000 
00000000060E0000 000000008080E000 0000006040600000 F080000000000000 0030E00000000000 0C0C0C0000000000 0000020E08000000 0000101030100000 
00000000060E0000 3820200000000000 C080C00000000000 0000006020202000 0404060200000000 00000000C0C0C000 0018080C00000000 0000101018100000 
000000000C1C0000 0000000E02020000 0000000000A0E000 F080000000000000 0000C07000000000 0038380000000000 0C04060000000000 00000000F0400000 
000000000C1C0000 0000000E02020000 C080C00000000000 3C04000000000000 0000001030202000 00000000C0C0C000 0030206000000000 00081E0000000000 
0000000030700000 000000008080E000 0000000C080C0000 F080000000000000 0030E00000000000 0C0C0C0000000000 0000107040000000 0000020206020000 
0000003070000000 000000008080E000 E0A0000000000000 0000000008780000 1018080800000000 0000000606060000 0C04060000000000 0000F04000000000 
00000060E0000000 00000002020E0000 00A0E00000000000 F010000000000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000101018100000 
00000060E0000000 00000010101C0000 00A0E00000000000 F010000000000000 0004040C08000000 0000000000E0E000 0C08180000000000 0000020206020000 
00000C1C00000000 000002020E000000 00000000C080C000 00000000101E0000 8080C04000000000 1C1C000000000000 6020300000000000 0000002020602000 
00000C1C00000000 3820200000000000 C080C00000000000 00000000003C2000 0000006038000000 00000000C0C0C000 041C100000000000 0000020206020000 
0000307000000000 1C04040000000000 C080C00000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 2038080000000000 0000020206020000 
0000307000000000 0000000038202000 C080C00000000000 3C20000000000000 001C060000000000 00000000C0C0C000 0000080E02000000 00000000041E0000 
0000307000000000 0000000038202000 C080C00000000000 3C20000000000000 0004060202000000 00000000C0C0C000 0018080C00000000 00000000041E0000 
0C1C000000000000 00000002020E0000 0000C040C0000000 F080000000000000 00000E1800000000 0000000000E0E000 000000041C100000 0020302020000000 
0C1C000000000000 00000002020E0000 0000C040C0000000 F080000000000000 0000081810100000 0000000000E0E000 000006040C000000 0020302020000000 
0000000000C0E000 00000002020E0000 C080C00000000000 3C04000000000000 00000000E0300000 0000001C1C000000 0030206000000000 00081E0000000000 
0000000000C0E000 00000002020E0000 C080C00000000000 3C04000000000000 00000000E0300000 0038380000000000 000006040C000000 0000007810000000 
