000000000060E000 1C04040000000000 00000A0E00000000 0000301010100000 6038000000000000 000000000E0E0000 00000020E0800000 8080C08000000000 
000000000060E000 0000001C10100000 3828000000000000 C080808000000000 0404060200000000 000000000E0E0000 00000020E0800000 0010780000000000 
00000000060E0000 00008080E0000000 0C040C0000000000 F080000000000000 0038600000000000 0000000000E0E000 0000020E08000000 0000103010100000 
00000000060E0000 0008080E00000000 000000A0E0000000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0000101018100000 
000000000C1C0000 3820200000000000 C080C00000000000 00000080F0000000 00000C3800000000 0000000000E0E000 041C100000000000 0000020602020000 
000000000C1C0000 3820200000000000 C080C00000000000 00000080F0000000 04040C0800000000 0000000000E0E000 0018103000000000 0000020602020000 
000000060E000000 8080E00000000000 000000A0E0000000 00000000101E0000 00000E1800000000 0000000000E0E000 041C100000000000 7820000000000000 
0000003070000000 3820200000000000 C080C00000000000 0000020202060000 0000000000386000 00000C0C0C000000 041C100000000000 0000008080C08000 
0C1C000000000000 00000002020E0000 000000A0E0000000 0080F00000000000 00000E1800000000 0000000000E0E000 000000041C100000 F020000000000000 
0C1C000000000000 00000002020E0000 000000A0E0000000 0080F00000000000 0000081810100000 0000000000E0E000 000006040C000000 F020000000000000 
0C1C000000000000 00000002020E0000 000000A0E0000000 F080000000000000 00000E1800000000 0000000000E0E000 000000041C100000 0020F00000000000 
0C1C000000000000 00000002020E0000 000000A0E0000000 F080000000000000 0000081810100000 0000000000E0E000 000006040C000000 0020F00000000000 
0C1C000000000000 00000002020E0000 0000C080C0000000 F080000000000000 00000E1800000000 0000000000E0E000 000000041C100000 0020302020000000 
0C1C000000000000 00000002020E0000 0000C080C0000000 F080000000000000 0000081810100000 0000000000E0E000 000006040C000000 0020302020000000 
0C1C000000000000 000000008080E000 0000000C080C0000 F080000000000000 00001C3000000000 0000000070700000 0020E08000000000 0000020206020000 
0C1C000000000000 000000008080E000 0000000C080C0000 C080808000000000 00001C3000000000 0000000070700000 3020600000000000 0000020206020000 
0000000000C0E000 00008080E0000000 E0A0000000000000 0000020202060000 000000000C380000 1C1C000000000000 0000041C10000000 0000782000000000 
0000000000C0E000 00008080E0000000 E0A0000000000000 0000020202060000 000004040C080000 1C1C000000000000 0000001810300000 0000782000000000 
0000000000C0E000 8080E00000000000 000000A0E0000000 0000101010300000 0404060200000000 000000000E0E0000 0018080C00000000 7820000000000000 
0000000000C0E000 8080E00000000000 0030103000000000 7808000000000000 04040C0800000000 000000001C1C0000 00000080E0200000 0000020602020000 
0000000000C0E000 E080800000000000 000000A0E0000000 0000020202060000 000000000C380000 1C1C000000000000 0000041C10000000 0020780000000000 
0000000000C0E000 E080800000000000 000000A0E0000000 0000020202060000 000004040C080000 1C1C000000000000 0000001810300000 0020780000000000 
00000000181C0000 0004041C00000000 000000A0E0000000 F080000000000000 0030E00000000000 0000000000E0E000 0C08180000000000 0000020206020000 
00000000181C0000 1C04040000000000 E0A0000000000000 0000F08000000000 00000030E0000000 0000000000E0E000 0018080C00000000 0000020206020000 
000000000E060000 8080E00000000000 000000A0E0000000 0000101010180000 0404060200000000 0000000000E0E000 0018080C00000000 7820000000000000 
00000E0600000000 8080E00000000000 000000A0E0000000 00000000101E0000 000000180E000000 0000000000E0E000 041C100000000000 7820000000000000 
0038180000000000 0000000E02020000 0000000060206000 F080000000000000 0000E03000000000 000000001C1C0000 0C04060000000000 0000008080C08000 
1C0C000000000000 00000004041C0000 0000000060206000 0000060202020000 E030000000000000 0000181818000000 0080E02000000000 0000008080C08000 
1C0C000000000000 000002020E000000 0000000060206000 00000000101E0000 E030000000000000 00001C1C00000000 0080E02000000000 0000008080C08000 
1C0C000000000000 00000008080E0000 0000000060206000 0000181010100000 E030000000000000 0000060606000000 0080E02000000000 0000008080C08000 
1C0C000000000000 000010101C000000 0000000060206000 00000000021E0000 E030000000000000 00000E0E00000000 0080E02000000000 0000008080C08000 
1C0C000000000000 0000000E02020000 0000000060206000 00001E1000000000 E030000000000000 000000001C1C0000 0080E02000000000 0000008080C08000 
1C0C000000000000 00001C0404000000 0000000060206000 0000020202060000 E030000000000000 0000001818180000 0080E02000000000 0000008080C08000 
1C0C000000000000 0000001C10100000 0000000060206000 00001E0200000000 E030000000000000 000000000E0E0000 0080E02000000000 0000008080C08000 
1C0C000000000000 00000E0808000000 0000000060206000 0080F00000000000 E030000000000000 0000000606060000 0000003010180000 0000008080C08000 
1C0C000000000000 00000E0808000000 0000000060206000 0000101010180000 E030000000000000 0000000606060000 0080E02000000000 0000008080C08000 
1C0C000000000000 00000E0808000000 00000000C080C000 C080808000000000 2030101000000000 0000000606060000 0000602030000000 0000000000782000 
0000000020606000 00000002020E0000 C080C00000000000 3C20000000000000 001C060000000000 0000383800000000 000000041C100000 00000080C0808000 
0000000020606000 0008083800000000 C080C00000000000 00000000021E0000 000000061C000000 3030300000000000 0C04060000000000 00000080C0808000 
0000000020606000 0008080E00000000 C080C00000000000 00000000021E0000 000000301C000000 3030300000000000 0C04060000000000 00000080C0808000 
0000000020606000 0000380808000000 C080C00000000000 3C20000000000000 001C060000000000 0000000606060000 0000003010180000 00000080C0808000 
0000000020606000 00000E0808000000 C080C00000000000 3C20000000000000 001C300000000000 0000000606060000 0000003010180000 00000080C0808000 
0000000020606000 3820200000000000 C080C00000000000 00000000021E0000 000000301C000000 00000E0E00000000 041C100000000000 00000080C0808000 
0000000206060000 0000E08080000000 E0A0000000000000 1010103000000000 0000000070180000 0000000000E0E000 0C04060000000000 0008080C08000000 
