00000000060E0000 000000008080E000 0C080C0000000000 C080808000000000 2060404000000000 0000000070700000 0000020E08000000 1010301000000000 
00000000060E0000 0000404070000000 0C080C0000000000 0000808080C00000 000000000030E000 E0E0000000000000 0000020E08000000 1010301000000000 
00000000060E0000 8080E00000000000 0C080C0000000000 000000808080C000 0000004040602000 7070000000000000 0000020E08000000 0000101030100000 
000000000C1C0000 000000008080E000 0028380000000000 0000060202020000 0000001C30000000 C0C0C00000000000 000000C040600000 3C10000000000000 
000000000C1C0000 0000E08080000000 0C080C0000000000 1010101800000000 0000004040C08000 E0E0000000000000 0000000030206000 0000020602020000 
0000000018380000 8080E00000000000 0000000060406000 000000C080808000 00000E1800000000 0000000606060000 4070100000000000 3C08000000000000 
0018380000000000 000000008080E000 0000060206000000 3C20000000000000 0000001C30000000 C0C0C00000000000 000000C040600000 00000000081E0000 
0000000000C0E000 00000E0202000000 0000705000000000 00808080C0000000 0C38000000000000 0000000038380000 0000000C04060000 F040000000000000 
0000000000C0E000 00000E0202000000 0000705000000000 00808080C0000000 C070000000000000 0000000038380000 0000000C04060000 3C08000000000000 
00000000181C0000 E080800000000000 0C080C0000000000 000000C080808000 0000301C00000000 0000000060606000 1070400000000000 0000020206020000 
000000C0E0000000 E080800000000000 00000000141C0000 0000060202020000 1C30000000000000 0000000000E0E000 0040701000000000 0008080C08000000 
000000C0E0000000 E080800000000000 0000060206000000 00000000101E0000 1C30000000000000 0000000000E0E000 0040701000000000 0008080C08000000 
C0E0000000000000 0000E08080000000 0000001808180000 00101E0000000000 0000004040C08000 0000000606060000 0000000030206000 3C08000000000000 
000000000E060000 1C10100000000000 00000000C080C000 808080C000000000 0000001C30000000 6060600000000000 00080E0200000000 0000000000782000 
0000000038180000 00000E0202000000 0000705000000000 00808080C0000000 0C38000000000000 0000000000E0E000 0000000C04060000 F040000000000000 
0000000038180000 00000E0202000000 0000705000000000 00808080C0000000 C070000000000000 0000000000E0E000 0000000C04060000 3C08000000000000 
0000000E06000000 000000008080E000 0000301030000000 3C20000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 00000000081E0000 
0000001C0C000000 000000008080E000 0028380000000000 0000060202020000 00000000301C0000 C0C0C00000000000 000000C040600000 3C10000000000000 
0070300000000000 00000002020E0000 C080C00000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 3C08000000000000 
0070300000000000 00000002020E0000 C080C00000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 3C08000000000000 
0070300000000000 0000000070404000 C080C00000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 3C08000000000000 
0070300000000000 00000E0808000000 C080C00000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 3C08000000000000 
0000000000706000 00000002020E0000 0028380000000000 000000C080808000 0000001870000000 C0C0C00000000000 000006040C000000 3C10000000000000 
0000000000706000 00000002020E0000 0000301030000000 0C08080800000000 00000040C0808000 7070000000000000 000006040C000000 8080C08000000000 
0000000000706000 00000002020E0000 0000301030000000 0C08080800000000 8080C04000000000 7070000000000000 000006040C000000 00000080C0808000 
000000001C180000 8080E00000000000 0000000602060000 000000C080808000 00000E1800000000 0000000060606000 4070100000000000 3C08000000000000 
1C18000000000000 00000002020E0000 E0A0000000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 0040F00000000000 
1C18000000000000 00000002020E0000 E0A0000000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 0040F00000000000 
1C18000000000000 000000008080E000 0000000602060000 808080C000000000 000000000C380000 6060600000000000 0000001070400000 00001E0800000000 
1C18000000000000 000000008080E000 00000C080C000000 0000F01000000000 00000000301C0000 E0E0000000000000 000000C040600000 0000020602020000 
1C18000000000000 00000008080E0000 E0A0000000000000 0040780000000000 000000000030E000 0000060606000000 0000001070400000 000080C080800000 
1C18000000000000 00000008080E0000 E0A0000000000000 0040780000000000 0000001010302000 0000060606000000 000000006040C000 000080C080800000 
1C18000000000000 00000008080E0000 E0A0000000000000 0000808080C00000 000000000030E000 0000060606000000 0000181030000000 0040604040000000 
1C18000000000000 0000000070404000 E0A0000000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 0040F00000000000 
1C18000000000000 00000E0808000000 E0A0000000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 0040F00000000000 
1C18000000000000 0000E08080000000 0000000E0A000000 00001E1000000000 0000004040C08000 E0E0000000000000 0000000030206000 00000000041E0000 
1C18000000000000 E080800000000000 0000060206000000 00000010F0000000 0000380C00000000 0000000000E0E000 006040C000000000 00000000081E0000 
E0C0000000000000 1C10100000000000 0000001808180000 0000020202060000 00080C0404000000 0000000000E0E000 0020E08000000000 00000040F0000000 
0000000020606000 1C10100000000000 6020600000000000 00000000021E0000 00000040C0808000 0000001C1C000000 00080E0200000000 80C0808000000000 
0000000206060000 000000008080E000 00E0A00000000000 F010000000000000 0000061C00000000 0000000038380000 0C08180000000000 000040C040400000 
0000000206060000 0000000070404000 0028380000000000 000000C080808000 0000061C00000000 C0C0C00000000000 0000000008382000 3C10000000000000 
00000040C0C00000 00000002020E0000 0000301030000000 0C08080800000000 000000000030E000 7070000000000000 000006040C000000 8080C08000000000 
0000020606000000 00000008080E0000 0C080C0000000000 F080000000000000 000000000030E000 0070700000000000 0000001070400000 000080C080800000 
0000020606000000 00000008080E0000 0C080C0000000000 F080000000000000 0000001010302000 0070700000000000 000000006040C000 000080C080800000 
0000020606000000 0000E08080000000 0C080C0000000000 1010101800000000 0000004040C08000 E0E0000000000000 0000000030206000 00000000081E0000 
0000040C0C000000 8080E00000000000 0000005070000000 0000020202060000 0000000000386000 7070000000000000 0C08180000000000 0000008080C08000 
000040C0C0000000 00000002020E0000 00E0A00000000000 F010000000000000 0000061C00000000 0000000000E0E000 0C08180000000000 000000003C100000 
1030300000000000 E080800000000000 0000000000A0E000 0C08080800000000 004040C080000000 0000060606000000 0000001070400000 00000000081E0000 
0000000040606000 8080E00000000000 0000060206000000 000000C080808000 0000001C30000000 7070000000000000 0C08180000000000 00000000081E0000 
0000000080C0C000 0000001C04040000 0028380000000000 0000060202020000 000000C070000000 C0C0C00000000000 0000000008382000 3C10000000000000 
0000000080C0C000 1C10100000000000 6020600000000000 00000000021E0000 0000004060202000 0000001C1C000000 00080E0200000000 80C0808000000000 
0000000406060000 0000000808380000 0000000060406000 000000C080808000 0020301010000000 C0C0C00000000000 00080E0200000000 3C10000000000000 
0000000606020000 000000008080E000 6040600000000000 808080C000000000 1C30000000000000 0000000070700000 00000018080C0000 00081E0000000000 
0000000C0C040000 8080E00000000000 0000005070000000 0000060202020000 0000000000386000 7070000000000000 0C08180000000000 0000008080C08000 
000000C0C0400000 00000002020E0000 0000000000A0E000 F010000000000000 0000061C00000000 00E0E00000000000 0C08180000000000 000000003C100000 
0030301000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 C0C0C00000000000 0000000C04060000 3C08000000000000 
3030100000000000 000000008080E000 0C080C0000000000 0000020202060000 008080C040000000 0000001C1C000000 C040600000000000 0000000020780000 
6060200000000000 1C10100000000000 0000000060206000 00000000021E0000 8080C04000000000 0000001C1C000000 00080E0200000000 0000008080C08000 
0000000C0C080000 1010700000000000 0C080C0000000000 0000020202060000 000000000030E000 E0E0000000000000 0000001070400000 000080C080800000 
0000000C0C080000 1010700000000000 0C080C0000000000 0000020202060000 0000001010302000 E0E0000000000000 000000006040C000 000080C080800000 
0000060604000000 1010700000000000 000000000A0E0000 0C08080800000000 000000000030E000 E0E0000000000000 0000001070400000 000080C080800000 
0000060604000000 1010700000000000 000000000A0E0000 0C08080800000000 0000001010302000 E0E0000000000000 000000006040C000 000080C080800000 
0000060604000000 8080E00000000000 000000000A0E0000 000000C080808000 0000081810100000 0000000060606000 4070100000000000 3C08000000000000 
C0C0800000000000 0010101C00000000 0C080C0000000000 0000020202060000 000000000030E000 000000C0C0C00000 3020600000000000 000000003C080000 
C0C0800000000000 0000704040000000 0000001808180000 3C20000000000000 00180E0000000000 0000000606060000 0000000030206000 0000008080C08000 
C0C0800000000000 1C10100000000000 0000000060206000 00000000021E0000 2020604000000000 0000001C1C000000 00080E0200000000 0000008080C08000 
