000000000060E000 0000001C10100000 6040600000000000 808080C000000000 1C30000000000000 000000000E0E0000 00000020E0800000 00081E0000000000 
000000000060E000 000000E080800000 0028380000000000 00000000021E0000 0000001870000000 C0C0C00000000000 000006040C000000 3C10000000000000 
000000000060E000 000000E080800000 0000060406000000 F010000000000000 0000001870000000 00E0E00000000000 0C08180000000000 00000000081E0000 
000000000060E000 1C10100000000000 0000602060000000 00000000021E0000 0008081810000000 E0E0000000000000 000006040C000000 000080C080800000 
000000000060E000 1C10100000000000 0000060406000000 808080C000000000 0008081810000000 6060600000000000 00000020E0800000 00000000081E0000 
00000060E0000000 1C10100000000000 6020600000000000 00000000021E0000 0008081810000000 0000000000E0E000 000006040C000000 80C0808000000000 
0000000000C0E000 00000008080E0000 0000060406000000 C080808000000000 0070180000000000 0000003030300000 00006040C0000000 3C08000000000000 
0000000000C0E000 1C10100000000000 0000060406000000 2020206000000000 0008081810000000 C0C0C00000000000 00000080E0200000 00000000081E0000 
0000000000C0E000 1C10100000000000 0000C080C0000000 00000000021E0000 0008081810000000 E0E0000000000000 000006040C000000 0000206020200000 
000000C0E0000000 00000008080E0000 0000060406000000 0000181010100000 0C38000000000000 0000000000E0E000 0080E02000000000 F040000000000000 
000000C0E0000000 00000008080E0000 0000060406000000 0000181010100000 C070000000000000 0000000000E0E000 0080E02000000000 3C08000000000000 
000000C0E0000000 1C10100000000000 C080C00000000000 00000000021E0000 0008081810000000 0000000000E0E000 000006040C000000 2060202000000000 
0000C0E000000000 7010100000000000 0000060406000000 0C08080800000000 0000001030202000 00000000C0C0C000 80E0200000000000 00000000081E0000 
C0E0000000000000 000000008080E000 0000000050700000 0008780000000000 0000061C00000000 000000000E0E0000 000080E020000000 3C10000000000000 
C0E0000000000000 00000008080E0000 0000060406000000 0008780000000000 0000001010302000 00000000C0C0C000 000080E020000000 3C10000000000000 
000000000E060000 000000008080E000 0000602060000000 808080C000000000 0000061C00000000 7070000000000000 0C08180000000000 0000000010780000 
0000E06000000000 1C10100000000000 0000000060206000 00000000021E0000 0008081810000000 E0E0000000000000 000006040C000000 0000008080C08000 
E060000000000000 1C10100000000000 0000602060000000 00000000021E0000 0008081810000000 0000000000E0E000 000006040C000000 008080C080000000 
E060000000000000 1C10100000000000 0000060406000000 000000C080808000 0008081810000000 0000000060606000 0080E02000000000 00000000081E0000 
0000000070600000 000000008080E000 0000060406000000 808080C000000000 0000603800000000 7070000000000000 0C08180000000000 00000000081E0000 
0000003830000000 8080E00000000000 0000060406000000 000000808080C000 0000004040602000 7070000000000000 0C08180000000000 00000000081E0000 
0000E0C000000000 1C10100000000000 00000000C080C000 00000000021E0000 0008081810000000 E0E0000000000000 000006040C000000 0000002020602000 
E0C0000000000000 0000E08080000000 000000000A0E0000 0000003C04000000 1C30000000000000 0000000000E0E000 0000004070100000 00081E0000000000 
E0C0000000000000 1C10100000000000 0000060406000000 0000006020202000 0008081810000000 00000000C0C0C000 0020E08000000000 00000000081E0000 
E0C0000000000000 1C10100000000000 0000C080C0000000 00000000021E0000 0008081810000000 0000000000E0E000 000006040C000000 0020206020000000 
0000000406060000 0070404000000000 0000302030000000 C080808000000000 00000E1800000000 00000000C0C0C000 0000000008382000 3C08000000000000 
0000002030300000 000000008080E000 00E0A00000000000 F010000000000000 0000061C00000000 000000000E0E0000 0C08180000000000 000040C040400000 
0080C0C000000000 000000008080E000 0000000050700000 0030202020000000 0000061C00000000 000000000E0E0000 0C08180000000000 F040000000000000 
0080C0C000000000 00000008080E0000 0000060406000000 0030202020000000 0000001010302000 00000000C0C0C000 0C08180000000000 F040000000000000 
0000003030100000 00000008080E0000 0000060406000000 C080808000000000 0070180000000000 0000000000E0E000 00006040C0000000 3C08000000000000 
0000181808000000 000000002020E000 0000060406000000 00000000101E0000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000181808000000 000000002020E000 0000060406000000 00000000101E0000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
0018180800000000 008080E000000000 0000060406000000 3C20000000000000 0000001030202000 00000000C0C0C000 C040600000000000 00000000081E0000 
3030100000000000 008080E000000000 0000060406000000 0C08080800000000 0000001030202000 00000000C0C0C000 C040600000000000 00000000081E0000 
0000000030302000 00000008080E0000 0000060406000000 F080000000000000 0070C00000000000 00000000C0C0C000 0C08180000000000 000020F000000000 
00000000C0C08000 7040400000000000 0000060406000000 808080C000000000 0C38000000000000 0000383800000000 0000000030206000 00000000081E0000 
0000C0C080000000 00E0202000000000 0000060406000000 F010000000000000 0000001870000000 0000000000E0E000 0C08180000000000 00000000081E0000 
00C0C08000000000 000000008080E000 0000000050700000 F010000000000000 0000061C00000000 000000000E0E0000 0C08180000000000 0020206020000000 
00C0C08000000000 00000008080E0000 0000060406000000 F010000000000000 0000001010302000 00000000C0C0C000 0C08180000000000 0020206020000000 
