00000000060E0000 00001C1010000000 000000C040C00000 0030202020000000 000000000030E000 C0C0C00000000000 0000020E08000000 3C08000000000000 
00000000060E0000 E080800000000000 0C080C0000000000 0000021E00000000 000030E000000000 0000000000E0E000 1070400000000000 0000000078100000 
00000000060E0000 E080800000000000 0C080C0000000000 0000021E00000000 1010302000000000 0000000000E0E000 006040C000000000 0000000078100000 
000000000C1C0000 0000000E02020000 C080C00000000000 00101E0000000000 000000C070000000 0000000000E0E000 0060203000000000 3C08000000000000 
0000001838000000 00000004041C0000 0000000000A0E000 0000060202020000 0000206040400000 7070000000000000 0C08180000000000 8080C08000000000 
0000001838000000 00000004041C0000 7050000000000000 0000060202020000 0020206040000000 0000000000E0E000 0C08180000000000 8080C08000000000 
0000060E00000000 000000002020E000 000000C040C00000 0000181010100000 0C38000000000000 000000000E0E0000 0080E02000000000 F040000000000000 
0000060E00000000 000000002020E000 000000C040C00000 0000181010100000 C070000000000000 000000000E0E0000 0080E02000000000 3C08000000000000 
0000060E00000000 00E0808000000000 0000000000A0E000 F010000000000000 0000203010100000 000000000E0E0000 0C08180000000000 0000404060400000 
3070000000000000 000000002020E000 0C080C0000000000 C080808000000000 0000701800000000 000000001C1C0000 0000006040C00000 0000020602020000 
3070000000000000 00000008080E0000 0000000000A0E000 C080808000000000 0000203010100000 0000060606000000 0C08180000000000 0000404060400000 
0000000000C0E000 00000002020E0000 0050700000000000 0C08080800000000 008080C040000000 0000003030300000 000006040C000000 F020000000000000 
0000000000C0E000 0000000808380000 C080C00000000000 00101E0000000000 000000C070000000 0000000606060000 0060203000000000 3C08000000000000 
0000000000C0E000 0000001C04040000 7050000000000000 0000060202020000 0020206040000000 0000000038380000 0C08180000000000 8080C08000000000 
0000000000C0E000 E080800000000000 0C080C0000000000 0000020202060000 1030202000000000 0000000038380000 0000101C04000000 004040C040000000 
0000181C00000000 000000002020E000 000000C040C00000 0000060202020000 0C38000000000000 000000001C1C0000 0080E02000000000 F040000000000000 
0000181C00000000 000000002020E000 000000C040C00000 0000060202020000 C070000000000000 000000001C1C0000 0080E02000000000 3C08000000000000 
0030380000000000 0000001C04040000 000000C040C00000 0000060202020000 000000000030E000 C0C0C00000000000 0000002038080000 3C08000000000000 
C0E0000000000000 00000004041C0000 0000000000A0E000 0000060202020000 0010180808000000 0000E0E000000000 0000001070400000 3C08000000000000 
000000000E060000 000000002020E000 000000C040C00000 0080F00000000000 0C38000000000000 00000E0E00000000 0000003010180000 F040000000000000 
000000000E060000 000000002020E000 000000C040C00000 0080F00000000000 C070000000000000 00000E0E00000000 0000003010180000 3C08000000000000 
000000000E060000 000000002020E000 000000C040C00000 F080000000000000 0C38000000000000 00000E0E00000000 0000003010180000 0040F00000000000 
000000000E060000 000000002020E000 000000C040C00000 0000101010180000 0C38000000000000 00000E0E00000000 0080E02000000000 F040000000000000 
000000000E060000 000000002020E000 000000C040C00000 0000101010180000 C070000000000000 00000E0E00000000 0080E02000000000 3C08000000000000 
0000000038180000 0000001C04040000 0000000000A0E000 0000060202020000 0000206040400000 7070000000000000 0C08180000000000 8080C08000000000 
0000000038180000 0000001C04040000 7050000000000000 0000060202020000 0020206040000000 0000000000E0E000 0C08180000000000 8080C08000000000 
0000000038180000 E080800000000000 0C080C0000000000 0000020202060000 1030202000000000 0000000000E0E000 0000101C04000000 004040C040000000 
0000001C0C000000 1C10100000000000 C080C00000000000 00000000021E0000 000000C070000000 0000000000E0E000 00080E0200000000 2060202000000000 
0000001C0C000000 E080800000000000 0000302030000000 00000000021E0000 1C30000000000000 0000000000E0E000 00080E0200000000 004040C040000000 
000000E060000000 E080800000000000 00000000141C0000 0000060202020000 1C30000000000000 0000000000E0E000 0040701000000000 0008080C08000000 
000000E060000000 E080800000000000 0000060206000000 00000000101E0000 1C30000000000000 0000000000E0E000 0040701000000000 0008080C08000000 
00000E0600000000 0000007040400000 0000000000A0E000 C080808000000000 00000000301C0000 0070700000000000 000000080E020000 3C08000000000000 
000000001C180000 000000002020E000 0000000602060000 C080808000000000 00000E1800000000 0070700000000000 0000006040C00000 3C08000000000000 
000000001C180000 000000002020E000 000000C040C00000 0000020202060000 0C38000000000000 00001C1C00000000 0080E02000000000 F040000000000000 
000000001C180000 000000002020E000 000000C040C00000 0000020202060000 C070000000000000 00001C1C00000000 0080E02000000000 3C08000000000000 
000000001C180000 000000002020E000 0C080C0000000000 0000020202060000 0000301C00000000 7070000000000000 0000006040C00000 8080C08000000000 
000000001C180000 0070404000000000 0000000602060000 C080808000000000 00000E1800000000 0000000000E0E000 0000302060000000 3C08000000000000 
1C18000000000000 00000010101C0000 00000C080C000000 C080808000000000 2060404000000000 0000000000E0E000 0000302060000000 0000020602020000 
1C18000000000000 00000E0202000000 0000001C14000000 C080808000000000 2060404000000000 0000000000E0E000 0000302060000000 00000000081E0000 
E0C0000000000000 000000002020E000 000000C040C00000 00000000021E0000 1C30000000000000 0000001C1C000000 00080E0200000000 0000F02000000000 
E0C0000000000000 00000004041C0000 0000000000A0E000 0000060202020000 1C30000000000000 0000E0E000000000 0000001070400000 0008180808000000 
E0C0000000000000 1C10100000000000 0000000000A0E000 00000000021E0000 000080C040400000 0000001C1C000000 00080E0200000000 0020602020000000 
0000000040C0C000 00000008080E0000 7050000000000000 808080C000000000 0000001010302000 0000060606000000 0C08180000000000 0020602020000000 
0000000040C0C000 00000008080E0000 00C080C000000000 F010000000000000 0000001010302000 0000060606000000 0C08180000000000 0020602020000000 
0000000040C0C000 0000001C04040000 0028380000000000 0000060202020000 000000E030000000 C0C0C00000000000 0000000008382000 3C10000000000000 
0000000040C0C000 0070404000000000 0000302030000000 C080808000000000 00000E1800000000 0000000606060000 0000000008382000 3C08000000000000 
0000000206060000 000000002020E000 000000C040C00000 00101E0000000000 0020203010000000 C0C0C00000000000 0000000C08180000 3C08000000000000 
0000000818180000 000000002020E000 000000C040C00000 00001E1000000000 0C38000000000000 0000000606060000 0080E02000000000 F040000000000000 
0000000818180000 000000002020E000 000000C040C00000 00001E1000000000 C070000000000000 0000000606060000 0080E02000000000 3C08000000000000 
0000020606000000 000000002020E000 000000C040C00000 00000000101E0000 00301C0000000000 C0C0C00000000000 0000203808000000 3C08000000000000 
0000020606000000 00000008080E0000 0C080C0000000000 3010101000000000 4060202000000000 0000000000E0E000 0000004070100000 8080C08000000000 
0000206060000000 00000002020E0000 0070500000000000 C080808000000000 00000E1800000000 0000000000E0E000 000000041C100000 3C08000000000000 
0000206060000000 00000002020E0000 0070500000000000 C080808000000000 0000081810100000 0000000000E0E000 000006040C000000 3C08000000000000 
0008181800000000 00000002020E0000 000000C040C00000 0020202030000000 000000000030E000 C0C0C00000000000 000006040C000000 3C10000000000000 
0040C0C000000000 00000010101C0000 00000C080C000000 F080000000000000 0C38000000000000 0000000000E0E000 0000302060000000 0000020602020000 
0040C0C000000000 00000E0202000000 0000001C14000000 F080000000000000 0C38000000000000 0000000000E0E000 0000302060000000 00000000081E0000 
0000000406060000 000000002020E000 000000C040C00000 00001E0200000000 0C38000000000000 0000001818180000 0080E02000000000 F040000000000000 
0000000406060000 000000002020E000 000000C040C00000 00001E0200000000 C070000000000000 0000001818180000 0080E02000000000 3C08000000000000 
0000000406060000 1C10100000000000 6020600000000000 0000007808000000 0000000070180000 0000000000E0E000 00080E0200000000 80C0808000000000 
0000000406060000 1C10100000000000 6020600000000000 0000002020206000 0000004040C08000 0000001818180000 00080E0200000000 80C0808000000000 
0010181800000000 00000002020E0000 000000C040C00000 0020202030000000 000000000030E000 C0C0C00000000000 000006040C000000 3C08000000000000 
0000003030100000 00000002020E0000 0050700000000000 0C08080800000000 008080C040000000 0000000000E0E000 000006040C000000 F020000000000000 
0000181808000000 000000002020E000 000000C040C00000 00000000101E0000 0C38000000000000 0000060606000000 0080E02000000000 F040000000000000 
0000181808000000 000000002020E000 000000C040C00000 00000000101E0000 C070000000000000 0000060606000000 0080E02000000000 3C08000000000000 
0000C0C040000000 00E0202000000000 0000060206000000 F010000000000000 0000001C30000000 0000000000E0E000 0C08180000000000 00000000081E0000 
C0C0400000000000 00000002020E0000 0000A0E000000000 3C20000000000000 00180E0000000000 0000000000E0E000 0000101C04000000 0000000078100000 
0000006060400000 00000002020E0000 0000000000A0E000 C080808000000000 00000E1800000000 0070700000000000 000000041C100000 3C08000000000000 
0000006060400000 00000002020E0000 0000000000A0E000 C080808000000000 0000081810100000 0070700000000000 000006040C000000 3C08000000000000 
0000060604000000 000000002020E000 000000000A0E0000 C080808000000000 0000081810100000 0070700000000000 0000006040C00000 3C08000000000000 
0000060604000000 000000002020E000 000000C040C00000 00000000021E0000 0C38000000000000 0000181818000000 0080E02000000000 F040000000000000 
0000060604000000 000000002020E000 000000C040C00000 00000000021E0000 C070000000000000 0000181818000000 0080E02000000000 3C08000000000000 
0000060604000000 0000080838000000 0030103000000000 00000000021E0000 008080C040000000 0000000000E0E000 C040600000000000 3C08000000000000 
0000060604000000 002020E000000000 0000000000A0E000 00000000021E0000 0010180808000000 C0C0C00000000000 0000001070400000 3C08000000000000 
0000060604000000 0070404000000000 000000000A0E0000 C080808000000000 0000081810100000 0000000000E0E000 0000302060000000 3C08000000000000 
0000060604000000 1C10100000000000 0000000000A0E000 00000000021E0000 000080C040400000 E0E0000000000000 0000602030000000 0008081808000000 
0000060604000000 1C10100000000000 0000E0A000000000 00000000021E0000 0000004040C08000 E0E0000000000000 0000000030206000 0008081808000000 
0000181810000000 00000002020E0000 000000C040C00000 0030202020000000 000000000030E000 C0C0C00000000000 000006040C000000 3C08000000000000 
0000606040000000 00E0808000000000 0000060206000000 F010000000000000 0000001C30000000 0000000000E0E000 0C08180000000000 00000000081E0000 
C0C0800000000000 00000002020E0000 0000000000A0E000 3C20000000000000 0000202030100000 0018181800000000 000006040C000000 000040C040400000 
C0C0800000000000 0010101C00000000 0000000000A0E000 3C20000000000000 0000202030100000 000000000E0E0000 00080E0200000000 000040C040400000 
C0C0800000000000 0000001C10100000 0000000000A0E000 3C20000000000000 0010302020000000 000000000E0E0000 00080E0200000000 000040C040400000 
