000000000060E000 000000E080800000 0000060206000000 F010000000000000 0000001C30000000 00E0E00000000000 0C08180000000000 00000000081E0000 
000000000060E000 1C10100000000000 E0A0000000000000 00000000021E0000 0040602020000000 0000001C1C000000 00080E0200000000 000080C080800000 
000000000060E000 1C10100000000000 0000001808180000 0000020202060000 00080C0404000000 E0E0000000000000 0000602030000000 000080C080800000 
00000000060E0000 00001C1010000000 000000C080C00000 0030202020000000 000000000030E000 C0C0C00000000000 0000020E08000000 3C08000000000000 
0000000030700000 000000008080E000 0060406000000000 C080808000000000 0000301C00000000 000000000E0E0000 00080E0200000000 3C10000000000000 
0000000030700000 000000008080E000 6040600000000000 808080C000000000 1C30000000000000 000000000E0E0000 00080E0200000000 0000103C00000000 
000000060E000000 8080E00000000000 000000E0A0000000 00000000101E0000 00000E1800000000 0000000000E0E000 4070100000000000 3C08000000000000 
0000001838000000 00000004041C0000 C080C00000000000 0000060202020000 0070180000000000 0000000000E0E000 000020E080000000 3C08000000000000 
0000060E00000000 000000002020E000 000000C080C00000 0000181010100000 0C38000000000000 000000000E0E0000 0080E02000000000 F040000000000000 
0000060E00000000 000000002020E000 000000C080C00000 0000181010100000 C070000000000000 000000000E0E0000 0080E02000000000 3C08000000000000 
0000000000C0E000 0000001C04040000 C080C00000000000 0000060202020000 0070180000000000 0000000038380000 000020E080000000 3C08000000000000 
0000000000C0E000 0070101000000000 C080C00000000000 0000060202020000 0000080C04040000 0000000038380000 000020E080000000 3C08000000000000 
0000000000C0E000 1C10100000000000 E0A0000000000000 00000000021E0000 0040C08080000000 0000001C1C000000 00080E0200000000 0000206020200000 
0000181C00000000 000000002020E000 000000C080C00000 0000060202020000 0C38000000000000 000000001C1C0000 0080E02000000000 F040000000000000 
0000181C00000000 000000002020E000 000000C080C00000 0000060202020000 C070000000000000 000000001C1C0000 0080E02000000000 3C08000000000000 
0030380000000000 0000001C04040000 000000C080C00000 0000060202020000 000000000030E000 C0C0C00000000000 0000002038080000 3C08000000000000 
C0E0000000000000 00000002020E0000 000000E0A0000000 0010F00000000000 00000E1800000000 0000000000E0E000 000000041C100000 3C08000000000000 
