00000000060E0000 1C10100000000000 0000604060000000 0000808080C00000 000000000030E000 E0E0000000000000 00080E0200000000 0000003C08000000 
0000000000C0E000 00000008080E0000 00E0A00000000000 F010000000000000 00000000E0300000 0000060606000000 0C08180000000000 000040F000000000 
0000000000C0E000 00000008080E0000 0000003020300000 C080808000000000 0070180000000000 0000060606000000 00006040C0000000 3C08000000000000 
0000000000C0E000 00000E0202000000 0000000028380000 00808080C0000000 0C38000000000000 0000707000000000 0000000C04060000 F040000000000000 
0000000000C0E000 00000E0202000000 0000000028380000 00808080C0000000 C070000000000000 0000707000000000 0000000C04060000 3C08000000000000 
0000000000C0E000 00000E0202000000 0000000028380000 C080808000000000 00000070C0000000 0070700000000000 0000000C04060000 3C08000000000000 
0000000000C0E000 0070101000000000 C080C00000000000 0000020202060000 0000000060380000 00000C0C0C000000 000020E080000000 3C08000000000000 
0000000000C0E000 7010100000000000 0C080C0000000000 00000000203C0000 000000380C000000 0000C0C0C0000000 80E0200000000000 0000020602020000 
0000000060700000 000000008080E000 0060406000000000 C080808000000000 0000301C00000000 000000000E0E0000 00080E0200000000 3C10000000000000 
0000000060700000 000000008080E000 6040600000000000 808080C000000000 1C30000000000000 000000000E0E0000 00080E0200000000 0000103C00000000 
000000C0E0000000 00000004041C0000 C080C00000000000 0000060202020000 0070180000000000 0000000000E0E000 0000203808000000 3C08000000000000 
000000C0E0000000 00000004041C0000 C080C00000000000 0000060202020000 0010180808000000 0000000000E0E000 0060203000000000 3C08000000000000 
000000C0E0000000 00001C0404000000 0000001808180000 0000020202060000 0C38000000000000 0000000000E0E000 0080E02000000000 F040000000000000 
000000C0E0000000 00001C0404000000 0000001808180000 0000020202060000 C070000000000000 0000000000E0E000 0080E02000000000 3C08000000000000 
7030000000000000 00008080E0000000 0000060206000000 0000203C00000000 80C0404000000000 0000000000E0E000 0C08180000000000 00000000081E0000 
0000000000706000 00000002020E0000 0028380000000000 000000C080808000 0000003860000000 C0C0C00000000000 000006040C000000 3C10000000000000 
0000000000706000 00000000E0808000 0060406000000000 C080808000000000 0000301C00000000 000000000E0E0000 00080E0200000000 3C10000000000000 
0000000000706000 00000000E0808000 6040600000000000 808080C000000000 1C30000000000000 000000000E0E0000 00080E0200000000 0000103C00000000 
0000000000706000 1C10100000000000 6020600000000000 0000003C20000000 00000040C0808000 000000000E0E0000 00080E0200000000 80C0808000000000 
00000000E0C00000 00000008080E0000 00E0A00000000000 F010000000000000 000000000030E000 0000060606000000 0C08180000000000 000040F000000000 
1C18000000000000 000000E080800000 00000C080C000000 00000000003C2000 2020301000000000 C0C0C00000000000 000000006040C000 0000020602020000 
1C18000000000000 E080800000000000 0000060206000000 0000003020202000 0000380C00000000 00000000C0C0C000 006040C000000000 00000000081E0000 
00000040C0C00000 1C10100000000000 6020600000000000 0000003C20000000 000000000030E000 000000000E0E0000 00080E0200000000 80C0808000000000 
0008181800000000 00000002020E0000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 000006040C000000 3C10000000000000 
0008181800000000 00000002020E0000 6040600000000000 808080C000000000 1C30000000000000 00000000C0C0C000 000006040C000000 0000002020302000 
0008181800000000 00000002020E0000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 000006040C000000 3C10000000000000 
0000000406060000 000000002020E000 0000001808180000 00001E0200000000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000000406060000 000000002020E000 0000001808180000 00001E0200000000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
00000080C0C00000 000000002020E000 0000060206000000 0000203C00000000 8080C04000000000 7070000000000000 0C08180000000000 00000000081E0000 
0010181800000000 00000002020E0000 000000C080C00000 0020202060000000 000000000030E000 C0C0C00000000000 000006040C000000 3C08000000000000 
0010181800000000 00000002020E0000 C080C00000000000 0060202020000000 000000000030E000 000000C0C0C00000 000006040C000000 3C08000000000000 
0000000060602000 0020203800000000 7050000000000000 000000808080C000 8080C04000000000 0000060606000000 0C08180000000000 00000000081E0000 
0000060602000000 8080E00000000000 0000003828000000 000000808080C000 0000004040602000 7070000000000000 0C08180000000000 00000000041E0000 
0000060604000000 000000002020E000 C080C00000000000 00000000021E0000 0070180000000000 000000C0C0C00000 0000203808000000 3C08000000000000 
0000060604000000 000000002020E000 C080C00000000000 00000000021E0000 0010180808000000 000000C0C0C00000 0060203000000000 3C08000000000000 
0000303020000000 000000008080E000 0000000E0A000000 3C20000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
C0C0800000000000 00000002020E0000 0018081800000000 3C20000000000000 000070C000000000 00000000C0C0C000 000006040C000000 0000002020302000 
C0C0800000000000 00000E0808000000 0000604060000000 3C20000000000000 0000000000386000 0000000606060000 0018103000000000 0000008080C08000 
