0000001838000000 E080800000000000 0C080C0000000000 00000000003C2000 000030E000000000 00000000C0C0C000 1070400000000000 0000020602020000 
0000001838000000 E080800000000000 0C080C0000000000 00000000003C2000 1010302000000000 00000000C0C0C000 006040C000000000 0000020602020000 
0000060E00000000 000000002020E000 000000000A0E0000 0000181010100000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000060E00000000 000000002020E000 000000000A0E0000 0000181010100000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
0000060E00000000 000000002020E000 0000181018000000 00000000021E0000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000060E00000000 000000002020E000 0000181018000000 00000000021E0000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
0000060E00000000 000000008080E000 000000000A0E0000 F080000000000000 0070C00000000000 0000000070700000 0C08180000000000 000020F000000000 
0000060E00000000 8080E00000000000 0000000060206000 00000000021E0000 0000007018000000 7070000000000000 0C08180000000000 0000008080C08000 
0030700000000000 008080E000000000 0C080C0000000000 00000000021E0000 0000001030202000 00000000C0C0C000 0000020E08000000 F040000000000000 
0030700000000000 008080E000000000 0C080C0000000000 0000020202060000 0000001C30000000 00000000C0C0C000 0000000008382000 F040000000000000 
0030700000000000 008080E000000000 0C080C0000000000 0000020202060000 0000001030202000 00000000C0C0C000 0000000C08180000 F040000000000000 
3070000000000000 000000008080E000 C080C00000000000 0000020202060000 0000040C08080000 0000000070700000 0C08180000000000 000020F000000000 
0000000000C0E000 008080E000000000 000000000A0E0000 0030101010000000 00000000E0300000 00000E0E00000000 C040600000000000 3C08000000000000 
0000000000C0E000 8080E00000000000 000000000A0E0000 000000F010000000 00000000E0300000 00000E0E00000000 4070100000000000 3C08000000000000 
0000000000C0E000 0000007010100000 000000000A0E0000 0080F00000000000 0C38000000000000 00000E0E00000000 00000080E0200000 F040000000000000 
0000000000C0E000 0000007010100000 000000000A0E0000 0080F00000000000 C070000000000000 00000E0E00000000 00000080E0200000 3C08000000000000 
0000000000C0E000 0000007010100000 000000000A0E0000 F080000000000000 0C38000000000000 00000E0E00000000 00000080E0200000 0040F00000000000 
0000000000C0E000 0000007010100000 0028380000000000 0000020202060000 0000040C08080000 C0C0C00000000000 00000080E0200000 3C10000000000000 
0000000000C0E000 0000701010000000 000000000A0E0000 00808080C0000000 0C38000000000000 00000E0E00000000 0000006020300000 F040000000000000 
0000000000C0E000 0000701010000000 000000000A0E0000 00808080C0000000 C070000000000000 00000E0E00000000 0000006020300000 3C08000000000000 
0000000000C0E000 00000E0808000000 0000000602060000 0030101010000000 0000000060380000 C0C0C00000000000 000020E080000000 3C08000000000000 
0000000000C0E000 1C10100000000000 000000000A0E0000 808080C000000000 00000000E0300000 6060600000000000 00080E0200000000 0000003C10000000 
0000006070000000 1010700000000000 0C080C0000000000 0000808080C00000 000000000030E000 E0E0000000000000 00000018080C0000 0000020602020000 
000000C0E0000000 0000001C10100000 000000000A0E0000 00001E0200000000 0C38000000000000 0000000000E0E000 0080E02000000000 F040000000000000 
000000C0E0000000 0000001C10100000 000000000A0E0000 00001E0200000000 C070000000000000 0000000000E0E000 0080E02000000000 3C08000000000000 
000000C0E0000000 00000E0808000000 0000000602060000 0080F00000000000 0C38000000000000 0000000000E0E000 0000003010180000 F040000000000000 
000000C0E0000000 00000E0808000000 0000000602060000 0080F00000000000 C070000000000000 0000000000E0E000 0000003010180000 3C08000000000000 
000000C0E0000000 00000E0808000000 0000000602060000 F080000000000000 0C38000000000000 0000000000E0E000 0000003010180000 0040F00000000000 
000000C0E0000000 00000E0808000000 0000000602060000 0000101010180000 0C38000000000000 0000000000E0E000 0080E02000000000 F040000000000000 
000000C0E0000000 00000E0808000000 0000000602060000 0000101010180000 C070000000000000 0000000000E0E000 0080E02000000000 3C08000000000000 
0000C0E000000000 000000008080E000 0C080C0000000000 F010000000000000 00E0300000000000 0000000070700000 00000018080C0000 0000020602020000 
0030380000000000 000000E080800000 0000000C080C0000 0000060202020000 000000000030E000 C0C0C00000000000 0000001070400000 3C08000000000000 
0030380000000000 000000E080800000 0000000C080C0000 0000060202020000 0000001010302000 C0C0C00000000000 000000006040C000 3C08000000000000 
00C0E00000000000 0010101C00000000 0C080C0000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 F020000000000000 
00C0E00000000000 0010101C00000000 0C080C0000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 F020000000000000 
C0E0000000000000 000000E080800000 000000000A0E0000 0010F00000000000 000000000030E000 00000E0E00000000 0000001070400000 3C08000000000000 
C0E0000000000000 000000E080800000 000000000A0E0000 0010F00000000000 0000001010302000 00000E0E00000000 000000006040C000 3C08000000000000 
C0E0000000000000 0000E08080000000 000000000A0E0000 0010101030000000 000000000030E000 00000E0E00000000 0000006040C00000 3C08000000000000 
00000E0600000000 000000008080E000 000000000A0E0000 808080C000000000 0000603800000000 0000000070700000 4070100000000000 3C08000000000000 
00000E0600000000 000000008080E000 000000000A0E0000 808080C000000000 4040602000000000 0000000070700000 0030101800000000 3C08000000000000 
0000000000706000 0000101070000000 000000000A0E0000 000000C080808000 0C38000000000000 00000E0E00000000 0080E02000000000 F040000000000000 
0000000000706000 0000101070000000 000000000A0E0000 000000C080808000 C070000000000000 00000E0E00000000 0080E02000000000 3C08000000000000 
0000000000706000 0070101000000000 000000000A0E0000 C080808000000000 00000040C0808000 00000E0E00000000 0000602030000000 3C08000000000000 
0000000000706000 1C10100000000000 000000000A0E0000 2020206000000000 0000001C30000000 C0C0C00000000000 00080E0200000000 00000080C0808000 
00000000E0C00000 008080E000000000 000000000A0E0000 0030101010000000 000000000030E000 00000E0E00000000 C040600000000000 3C08000000000000 
00000000E0C00000 8080E00000000000 000000000A0E0000 000000F010000000 000000000030E000 00000E0E00000000 4070100000000000 3C08000000000000 
00000000E0C00000 1C10100000000000 000000000A0E0000 808080C000000000 000000000030E000 6060600000000000 00080E0200000000 0000003C10000000 
00E0C00000000000 000000008080E000 0C080C0000000000 F010000000000000 000030E000000000 0000000070700000 00000018080C0000 0000020602020000 
1C18000000000000 000000008080E000 0000000028380000 0000020202060000 000080C040400000 E0E0000000000000 0000041C10000000 0000782000000000 
1C18000000000000 000000008080E000 0000000050700000 0000020202060000 0000040C08080000 E0E0000000000000 000080E020000000 0000781000000000 
1C18000000000000 000000008080E000 6020600000000000 00000000021E0000 0000000038600000 00000E0E00000000 0000107040000000 80C0808000000000 
1C18000000000000 E020200000000000 0000000000A0E000 00000000021E0000 00001C3000000000 00C0C0C000000000 0000020E08000000 00000000F0400000 
1C18000000000000 E020200000000000 0000000000A0E000 0000020202060000 00001C3000000000 00C0C0C000000000 0000000C08180000 00000000F0400000 
1C18000000000000 0000000070404000 0000000602060000 000000C080808000 00000E1800000000 E0E0000000000000 0000000008382000 0000F02000000000 
1C18000000000000 0000000070404000 0000000602060000 000000C080808000 00000E1800000000 C0C0C00000000000 0000000008382000 2020302000000000 
1C18000000000000 0000000070404000 0000000602060000 000000C080808000 0000E03000000000 E0E0000000000000 0000000008382000 00001E0800000000 
1C18000000000000 00000E0808000000 0000000602060000 000000C080808000 0000000000386000 E0E0000000000000 0000001070400000 0000F02000000000 
1C18000000000000 00000E0808000000 0000000602060000 000000C080808000 0000000000386000 C0C0C00000000000 0000001070400000 2020302000000000 
E0C0000000000000 0000001C10100000 000000000A0E0000 000000C080808000 1C30000000000000 0000000060606000 00080E0200000000 0000F02000000000 
0000000020606000 00000E0808000000 0000000602060000 C080808000000000 00000040C0808000 0070700000000000 0000003010180000 3C08000000000000 
0000000818180000 000000002020E000 00001C1400000000 0000020202060000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000000818180000 000000002020E000 00001C1400000000 0000020202060000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
0000000818180000 000000002020E000 0000000602060000 00001E1000000000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000000818180000 000000002020E000 0000000602060000 00001E1000000000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
0000001030300000 000000008080E000 0000000C080C0000 0000060202020000 0000206040400000 7070000000000000 0C08180000000000 8080C08000000000 
00000040C0C00000 000000002020E000 0000000C080C0000 0000060202020000 0000203010100000 7070000000000000 0C08180000000000 8080C08000000000 
00000040C0C00000 0070101000000000 000000000A0E0000 C080808000000000 000000000030E000 00000E0E00000000 0000602030000000 3C08000000000000 
0020606000000000 7010100000000000 0C080C0000000000 00000000021E0000 0000001030202000 00000000C0C0C000 0000020E08000000 80C0808000000000 
0020606000000000 7010100000000000 0C080C0000000000 0000020202060000 0000001C30000000 00000000C0C0C000 0000000008382000 80C0808000000000 
0020606000000000 7010100000000000 0C080C0000000000 0000020202060000 0000001030202000 00000000C0C0C000 0000000C08180000 80C0808000000000 
0000000080C0C000 002020E000000000 0000000602060000 00101E0000000000 0000001870000000 C0C0C00000000000 0000000008382000 3C08000000000000 
0000000080C0C000 0020203800000000 0000000602060000 00101E0000000000 000000C070000000 C0C0C00000000000 0000000008382000 3C08000000000000 
0000000080C0C000 8080E00000000000 0C080C0000000000 0000020202060000 000000C070000000 7070000000000000 0000000008382000 0000103C00000000 
0000000080C0C000 0000000038202000 0030103000000000 00000000021E0000 008080C040000000 00000E0E00000000 C040600000000000 3C08000000000000 
0000000080C0C000 00000E0808000000 0000000602060000 C080808000000000 0000004060202000 0070700000000000 0000003010180000 3C08000000000000 
0000000080C0C000 0070404000000000 000000000A0E0000 C080808000000000 0000001010302000 00000E0E00000000 0000302060000000 3C08000000000000 
0000002030300000 000000008080E000 0C080C0000000000 F080000000000000 000080C040400000 0070700000000000 00000018080C0000 0000020602020000 
0000004060600000 000000008080E000 0000000C080C0000 0000060202020000 0000203010100000 7070000000000000 0C08180000000000 8080C08000000000 
0000203030000000 7040400000000000 0000000602060000 808080C000000000 0C38000000000000 00000000C0C0C000 0000000008382000 00001E0800000000 
0080C0C000000000 000000008080E000 0030203000000000 0000020202060000 0000040C08080000 0000000070700000 0C08180000000000 F040000000000000 
80C0C00000000000 7010100000000000 0C080C0000000000 0020202030000000 000000000030E000 000000C0C0C00000 00000018080C0000 0000020602020000 
0000003030100000 000000008080E000 000000000A0E0000 0080F00000000000 0C38000000000000 00000E0E00000000 000000C040600000 F040000000000000 
0000003030100000 000000008080E000 000000000A0E0000 0080F00000000000 C070000000000000 00000E0E00000000 000000C040600000 3C08000000000000 
0000003030100000 000000008080E000 000000000A0E0000 F080000000000000 0C38000000000000 00000E0E00000000 000000C040600000 0040F00000000000 
0000003030100000 000000008080E000 0028380000000000 0000020202060000 0000040C08080000 C0C0C00000000000 000000C040600000 3C10000000000000 
0000003030100000 8080E00000000000 000000000A0E0000 000000808080C000 0000004040602000 00000E0E00000000 4070100000000000 3C08000000000000 
000000C0C0400000 8080E00000000000 0000000000A0E000 0000060202020000 00000000301C0000 7070000000000000 0C08180000000000 0000003C08000000 
0000060602000000 000000002020E000 C080C00000000000 00000000101E0000 0070180000000000 000000C0C0C00000 0000203808000000 3C08000000000000 
0000060602000000 000000002020E000 C080C00000000000 00000000101E0000 0010180808000000 000000C0C0C00000 0060203000000000 3C08000000000000 
0000060602000000 00000008080E0000 7050000000000000 808080C000000000 0000001010302000 00000000C0C0C000 0C08180000000000 0020602020000000 
0000060602000000 00000008080E0000 00C080C000000000 F010000000000000 0000001010302000 00000000C0C0C000 0C08180000000000 0020602020000000 
0000060602000000 0020203800000000 7050000000000000 00000080F0000000 8080C04000000000 0000000000E0E000 0C08180000000000 00000000081E0000 
3030100000000000 000000008080E000 0C080C0000000000 808080C000000000 4040602000000000 0000000070700000 00000018080C0000 0000020602020000 
C0C0400000000000 0000101070000000 000000000A0E0000 0000808080C00000 000000000030E000 00000E0E00000000 0030206000000000 3C08000000000000 
0000000030302000 008080E000000000 000000000A0E0000 0000021E00000000 00301C0000000000 00000000C0C0C000 C040600000000000 3C08000000000000 
0000006060400000 8080E00000000000 000000000A0E0000 000000808080C000 0000001010302000 00000E0E00000000 4070100000000000 3C08000000000000 
00000C0C08000000 0070101000000000 C080C00000000000 0000020202060000 0000000070180000 0000000000E0E000 000020E080000000 3C08000000000000 
0000C0C080000000 7010100000000000 0C080C0000000000 0000020202060000 0000000070180000 0000000000E0E000 80E0200000000000 0000003C08000000 
0030302000000000 0000000070404000 0000000602060000 000000C080808000 00000E1800000000 C0C0C00000000000 0000000008382000 3C08000000000000 
0030302000000000 00000E0808000000 0000000602060000 000000C080808000 0000000000386000 C0C0C00000000000 0000001070400000 3C08000000000000 
3030200000000000 000000008080E000 0000000050700000 0000020202060000 0000040C08080000 C0C0C00000000000 0C08180000000000 000000F020000000 
3030200000000000 0000007010100000 0000000060206000 0000020202060000 0000040C08080000 C0C0C00000000000 0C08180000000000 0000008080C08000 
6060400000000000 000000008080E000 0C080C0000000000 808080C000000000 1010302000000000 0000000070700000 00000018080C0000 0000020602020000 
