000000000060E000 0000101070000000 0000000E0A000000 3C20000000000000 00180E0000000000 C0C0C00000000000 000020E080000000 00000000041E0000 
000000000060E000 0020203800000000 7050000000000000 00000080F0000000 8080C04000000000 0000060606000000 0C08180000000000 00000000081E0000 
000000000060E000 0070101000000000 C080C00000000000 0000020202060000 0000000070180000 00000C0C0C000000 000020E080000000 3C08000000000000 
000000000060E000 00E0202000000000 0000060206000000 F010000000000000 0000001C30000000 0000C0C0C0000000 0C08180000000000 00000000081E0000 
000000000060E000 E080800000000000 00000000141C0000 0000060202020000 1C30000000000000 000000E0E0000000 0040701000000000 0008080C08000000 
000000000060E000 E080800000000000 0000060206000000 00000000101E0000 1C30000000000000 000000E0E0000000 0040701000000000 0008080C08000000 
00000000060E0000 002020E000000000 0C080C0000000000 3010101000000000 000000000030E000 C0C0C00000000000 0000020E08000000 00000000F0400000 
00000000060E0000 1010700000000000 0C080C0000000000 000080F000000000 000000000030E000 E0E0000000000000 0000020E08000000 00000000F0400000 
00000000060E0000 0040407000000000 0C080C0000000000 C080808000000000 000000000030E000 3030300000000000 0000020E08000000 00000000F0400000 
00000000060E0000 8080E00000000000 0C080C0000000000 000010F000000000 000000000030E000 7070000000000000 0000020E08000000 00000000F0400000 
00000000060E0000 0070101000000000 0C080C0000000000 F080000000000000 000000000030E000 0000E0E000000000 0000020E08000000 00000000F0400000 
00000000060E0000 0070101000000000 C080C00000000000 0000000078400000 000000000030E000 00000E0E00000000 000020E080000000 3C08000000000000 
00000000060E0000 E020200000000000 0C080C0000000000 1010103000000000 000000000030E000 00C0C0C000000000 0000020E08000000 00000000F0400000 
00000000060E0000 00E0808000000000 0C080C0000000000 F010000000000000 000000000030E000 0000707000000000 0000020E08000000 00000000F0400000 
00000000060E0000 00E0808000000000 0C080C0000000000 F010000000000000 000000000030E000 0000303030000000 0000020E08000000 00004040C0400000 
00000000060E0000 7040400000000000 00000000C040C000 808080C000000000 0C38000000000000 00000E0E00000000 0000301018000000 0000002020302000 
00000000060E0000 7040400000000000 0C080C0000000000 808080C000000000 000000000030E000 0030303000000000 0000020E08000000 00000000F0400000 
0000060E00000000 7040400000000000 0030203000000000 808080C000000000 000000000030E000 000000000E0E0000 0C08180000000000 00000000F0400000 
0000C0E000000000 7010100000000000 00000000C040C000 0C08080800000000 0000001030202000 0000060606000000 80E0200000000000 00000000081E0000 
0000C0E000000000 7010100000000000 0C080C0000000000 0000021E00000000 000000000030E000 000000000E0E0000 80E0200000000000 00000000F0400000 
0030380000000000 0000001C04040000 00000000C040C000 0000060202020000 000000E030000000 C0C0C00000000000 0000000008382000 3C08000000000000 
C0E0000000000000 000000002020E000 3010300000000000 0C08080800000000 00008080C0400000 0000060606000000 0000407010000000 00000000081E0000 
C0E0000000000000 00000008080E0000 00000000C040C000 0008780000000000 0000001010302000 0000060606000000 000080E020000000 3C10000000000000 
00000E0600000000 008080E000000000 0018101800000000 3C20000000000000 000000000030E000 000000000E0E0000 C040600000000000 00000000F0400000 
0000E0C000000000 1C10100000000000 000000000A0E0000 0000003C04000000 000000000030E000 E0E0000000000000 00080E0200000000 00000000F0400000 
1C18000000000000 00000E0202000000 00000000C040C000 808080C000000000 00000000180E0000 6060600000000000 0000101C04000000 0000002020302000 
1C18000000000000 00000E0202000000 00000000C040C000 808080C000000000 0000101018080000 6060600000000000 0000000C04060000 0000002020302000 
E0C0000000000000 1C10100000000000 00000000C040C000 0000006020202000 0008081810000000 0000060606000000 0020E08000000000 00000000081E0000 
0000000206060000 002020E000000000 00000000C040C000 00101E0000000000 0000001C30000000 C0C0C00000000000 0000000008382000 3C08000000000000 
0000000206060000 002020E000000000 00000000C040C000 00101E0000000000 0000001030202000 C0C0C00000000000 0000000C08180000 3C08000000000000 
0040C0C000000000 00000008080E0000 0030203000000000 F080000000000000 000000000030E000 0000060606000000 0C08180000000000 00000000F0400000 
0040C0C000000000 1C10100000000000 E0A0000000000000 0000203C00000000 000000000030E000 000000000E0E0000 00080E0200000000 00000000F0400000 
0000203030000000 7040400000000000 00000000C040C000 808080C000000000 0C38000000000000 0000000606060000 0000000008382000 00001E0800000000 
0040606000000000 000000002020E000 0C080C0000000000 F080000000000000 00008080C0400000 000000001C1C0000 0030101800000000 0000020602020000 
0080C0C000000000 00000008080E0000 00000000C040C000 0030202020000000 0000001010302000 0000060606000000 0C08180000000000 F040000000000000 
000000C0C0400000 000000002020E000 C080C00000000000 00000000101E0000 0070180000000000 0000060606000000 0000203808000000 3C08000000000000 
000000C0C0400000 000000002020E000 C080C00000000000 00000000101E0000 0010180808000000 0000060606000000 0060203000000000 3C08000000000000 
000000C0C0400000 0000001C04040000 0028380000000000 0000060202020000 000000000030E000 C0C0C00000000000 0000002038080000 3C10000000000000 
0000060602000000 0000000038202000 00000000C040C000 808080C000000000 0000603800000000 7070000000000000 0C08180000000000 00000000041E0000 
0018180800000000 008080E000000000 00000000C040C000 3C20000000000000 0000001030202000 0000060606000000 C040600000000000 00000000081E0000 
3030100000000000 008080E000000000 00000000C040C000 0C08080800000000 0000001030202000 0000060606000000 C040600000000000 00000000081E0000 
3030100000000000 008080E000000000 0C080C0000000000 0000021E00000000 000000000030E000 000000000E0E0000 C040600000000000 00000000F0400000 
C0C0400000000000 00000002020E0000 0000A0E000000000 3C20000000000000 000000000030E000 0018181800000000 000006040C000000 00000000F0400000 
C0C0400000000000 0010101C00000000 0000A0E000000000 3C20000000000000 000000000030E000 000000000E0E0000 00080E0200000000 00000000F0400000 
0000000030302000 00000008080E0000 00000000C040C000 F080000000000000 0070C00000000000 0000060606000000 0C08180000000000 000020F000000000 
0000000030302000 008080E000000000 00000000C040C000 0000021E00000000 00301C0000000000 000000000E0E0000 C040600000000000 3C08000000000000 
0000060604000000 0020203800000000 000000000A0E0000 F010000000000000 000000000030E000 00C0C0C000000000 0C08180000000000 00000000F0400000 
0000060604000000 008080E000000000 000000000A0E0000 3C20000000000000 000000000030E000 0018181800000000 C040600000000000 00000000F0400000 
00C0C08000000000 00000008080E0000 00000000C040C000 F010000000000000 0000001010302000 0000060606000000 0C08180000000000 0020206020000000 
