000000000060E000 00000002020E0000 6040600000000000 808080C000000000 1C30000000000000 0000001C1C000000 00000020E0800000 00081E0000000000 
00000000060E0000 000000002020E000 C080C00000000000 00101E0000000000 0000000E18000000 000000C0C0C00000 0060203000000000 3C08000000000000 
00000000060E0000 000000008080E000 0000302030000000 3C20000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 0000001E08000000 
00000000060E0000 000000008080E000 0030203000000000 00001E0200000000 0000000C38000000 C0C0C00000000000 000000C040600000 3C08000000000000 
00000000060E0000 0000000038202000 0060406000000000 C080808000000000 0000301C00000000 00000000C0C0C000 00080E0200000000 3C10000000000000 
00000000060E0000 0000000038202000 6040600000000000 808080C000000000 1C30000000000000 00000000C0C0C000 00080E0200000000 0000103C00000000 
00000000060E0000 7040400000000000 00000000C080C000 808080C000000000 0C38000000000000 00000E0E00000000 0000301018000000 0000002020602000 
00000060E0000000 00000002020E0000 7050000000000000 0C08080800000000 0020301010000000 0000000000E0E000 000006040C000000 8080C08000000000 
0000060E00000000 000000008080E000 C080C00000000000 0060202020000000 0008181010000000 000000000E0E0000 000000C040600000 3C10000000000000 
0000307000000000 E080800000000000 0000000060206000 0C08080800000000 00000000180E0000 0000060606000000 1070400000000000 0000008080C08000 
0000000000C0E000 00000002020E0000 0018081800000000 3C20000000000000 000030E000000000 C0C0C00000000000 000006040C000000 00000000F0200000 
0000000000C0E000 0010107000000000 00A0E00000000000 0C08080800000000 00000000180E0000 0000060606000000 00000080E0200000 F040000000000000 
0000000000C0E000 00000E0202000000 0000000038280000 00808080C0000000 0C38000000000000 0000707000000000 0000000C04060000 F040000000000000 
0000000000C0E000 00000E0202000000 0000000038280000 00808080C0000000 C070000000000000 0000707000000000 0000000C04060000 3C08000000000000 
0000000000C0E000 00000E0202000000 0000000038280000 C080808000000000 00000070C0000000 0070700000000000 0000000C04060000 3C08000000000000 
0000000000C0E000 E080800000000000 0060406000000000 0C08080800000000 00000000180E0000 0000060606000000 00000080E0200000 1010301000000000 
0000000000C0E000 E080800000000000 0C080C0000000000 0000021E00000000 000030E000000000 000000000E0E0000 1070400000000000 00000000F0200000 
