000000000060E000 00E0808000000000 0C080C0000000000 F010000000000000 00004040C0800000 0000303030000000 0000000C08180000 0000020206020000 
0000060E00000000 000000002020E000 000000000E0A0000 0000181010100000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
0000060E00000000 000000002020E000 000000000E0A0000 0000181010100000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
0000060E00000000 000000008080E000 000000000E0A0000 F080000000000000 0070C00000000000 0000000070700000 0C08180000000000 000020F000000000 
00000C1C00000000 7040400000000000 0000302030000000 808080C000000000 0C38000000000000 00000000C0C0C000 0000000008382000 0000020206020000 
0060E00000000000 0010101C00000000 0C080C0000000000 F080000000000000 000000000030E000 000000C0C0C00000 0000002038080000 0000020206020000 
0060E00000000000 0010101C00000000 0C080C0000000000 F080000000000000 000000E030000000 00000000C0C0C000 0000000008382000 0000020206020000 
0000000000C0E000 008080E000000000 000000000E0A0000 0030101010000000 00000000E0300000 00000E0E00000000 C040600000000000 3C08000000000000 
0000000000C0E000 8080E00000000000 000000000E0A0000 000000F010000000 00000000E0300000 00000E0E00000000 4070100000000000 3C08000000000000 
0000000000C0E000 0000007010100000 000000000E0A0000 0080F00000000000 0C38000000000000 00000E0E00000000 00000080E0200000 F040000000000000 
0000000000C0E000 0000007010100000 000000000E0A0000 0080F00000000000 C070000000000000 00000E0E00000000 00000080E0200000 3C08000000000000 
0000000000C0E000 0000007010100000 000000000E0A0000 F080000000000000 0C38000000000000 00000E0E00000000 00000080E0200000 0040F00000000000 
0000000000C0E000 0000701010000000 000000000E0A0000 00808080C0000000 0C38000000000000 00000E0E00000000 0000006020300000 F040000000000000 
0000000000C0E000 0000701010000000 000000000E0A0000 00808080C0000000 C070000000000000 00000E0E00000000 0000006020300000 3C08000000000000 
0000000000C0E000 0070101000000000 C080C00000000000 000000001E020000 0000000060380000 00000E0E00000000 000020E080000000 3C08000000000000 
0000000000C0E000 00E0202000000000 0C080C0000000000 F010000000000000 0000101030200000 0000C0C0C0000000 0000000C08180000 0000020206020000 
0000000000C0E000 1C10100000000000 000000000E0A0000 808080C000000000 00000000E0300000 6060600000000000 00080E0200000000 0000003C10000000 
000000C0E0000000 0000001C10100000 000000000E0A0000 00001E0200000000 0C38000000000000 0000000000E0E000 0080E02000000000 F040000000000000 
000000C0E0000000 0000001C10100000 000000000E0A0000 00001E0200000000 C070000000000000 0000000000E0E000 0080E02000000000 3C08000000000000 
0060700000000000 008080E000000000 0C080C0000000000 F010000000000000 0000001C30000000 00000000C0C0C000 0000000008382000 0000020206020000 
0060700000000000 008080E000000000 0C080C0000000000 F010000000000000 0000001030202000 00000000C0C0C000 0000000C08180000 0000020206020000 
C0E0000000000000 000000E080800000 000000000E0A0000 0010F00000000000 000000000030E000 00000E0E00000000 0000001070400000 3C08000000000000 
C0E0000000000000 000000E080800000 000000000E0A0000 0010F00000000000 0000001010302000 00000E0E00000000 000000006040C000 3C08000000000000 
C0E0000000000000 0000E08080000000 000000000E0A0000 0010101030000000 000000000030E000 00000E0E00000000 0000006040C00000 3C08000000000000 
0000001C0C000000 8080E00000000000 00000000C080C000 0000060202020000 000000E030000000 7070000000000000 0C08180000000000 0000000000782000 
0000007030000000 1C10100000000000 6020600000000000 0000060202020000 0008080C04000000 00000000C0C0C000 0000000008382000 80C0808000000000 
00000E0600000000 000000008080E000 000000000E0A0000 808080C000000000 0000603800000000 0000000070700000 4070100000000000 3C08000000000000 
00000E0600000000 000000008080E000 000000000E0A0000 808080C000000000 4040602000000000 0000000070700000 0030101800000000 3C08000000000000 
00000E0600000000 7040400000000000 00000000C080C000 808080C000000000 0C38000000000000 0000303030000000 000000080E020000 0000000000782000 
0000000000706000 0000101070000000 000000000E0A0000 000000C080808000 0C38000000000000 00000E0E00000000 0080E02000000000 F040000000000000 
0000000000706000 0000101070000000 000000000E0A0000 000000C080808000 C070000000000000 00000E0E00000000 0080E02000000000 3C08000000000000 
