000000000060E000 000000E080800000 00000C040C000000 0000020202060000 0000000070180000 C0C0C00000000000 0030101800000000 3C08000000000000 
000000000060E000 1C10100000000000 E0A0000000000000 00000000021E0000 0040406020000000 0000001C1C000000 00080E0200000000 00008080C0800000 
00000000060E0000 000000002020E000 0C080C0000000000 F080000000000000 0070C00000000000 000000C0C0C00000 0000020E08000000 0000103010100000 
00000000060E0000 0010101C00000000 000000C080C00000 3C20000000000000 000000000030E000 C0C0C00000000000 00080E0200000000 0000002078000000 
000000000C1C0000 000000008080E000 0000006040600000 0000060202020000 0000001C30000000 7070000000000000 0C08180000000000 8080C08000000000 
0000000C1C000000 1C10100000000000 0000000060206000 00000000021E0000 0000C07000000000 E0E0000000000000 00080E0200000000 0000008080C08000 
00000060E0000000 00000002020E0000 0070500000000000 C080808000000000 00000E1800000000 0000000000E0E000 000000041C100000 3C08000000000000 
00000060E0000000 00000002020E0000 0070500000000000 C080808000000000 0000081810100000 0000000000E0E000 000006040C000000 3C08000000000000 
0000060E00000000 000000008080E000 0000000050700000 F080000000000000 0070C00000000000 000000000E0E0000 0C08180000000000 000000F020000000 
0000060E00000000 0000007010100000 0000000060206000 F080000000000000 0070C00000000000 000000000E0E0000 0C08180000000000 0000008080C08000 
00000C1C00000000 000002020E000000 000000A0E0000000 00000000101E0000 8080C04000000000 0000000000E0E000 4070100000000000 3C08000000000000 
0000000000C0E000 000002020E000000 0C080C0000000000 00000000101E0000 8080C04000000000 7070000000000000 00000080E0200000 0000103C00000000 
0000000000C0E000 0000007010100000 C080C00000000000 0000060202020000 0070180000000000 0000000C0C0C0000 00000080E0200000 3C08000000000000 
0000000000C0E000 00000E0202000000 0000507000000000 00808080C0000000 0C38000000000000 0000000038380000 0000000C04060000 F040000000000000 
0000000000C0E000 00000E0202000000 0000507000000000 00808080C0000000 C070000000000000 0000000038380000 0000000C04060000 3C08000000000000 
0000000000C0E000 00000E0202000000 0070500000000000 C080808000000000 00000070C0000000 0000000038380000 0000000C04060000 3C08000000000000 
0000000000C0E000 1C10100000000000 00000000141C0000 0000060202020000 0000C07000000000 E0E0000000000000 00000080E0200000 0008080C08000000 
0000000000C0E000 1C10100000000000 0000060206000000 00000000101E0000 0000C07000000000 E0E0000000000000 00000080E0200000 0008080C08000000 
0000000060700000 000000008080E000 0000000C040C0000 0000060202020000 0000007018000000 7070000000000000 0C08180000000000 8080C08000000000 
0000000C0E000000 1C10100000000000 0000000060206000 00000000101E0000 0000C07000000000 E0E0000000000000 00080E0200000000 0000008080C08000 
00181C0000000000 000000E080800000 0000000C080C0000 3C20000000000000 000000000030E000 C0C0C00000000000 0000001070400000 0000020206020000 
00181C0000000000 000000E080800000 0000000C080C0000 3C20000000000000 0000001010302000 C0C0C00000000000 000000006040C000 0000020206020000 
000000000E060000 0010101C00000000 00000000C080C000 3C20000000000000 000000E030000000 C0C0C00000000000 00080E0200000000 0000000000782000 
0000000038180000 000000008080E000 0030103000000000 0000060202020000 0000080C04040000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000000038180000 00000E0202000000 0000507000000000 00808080C0000000 0C38000000000000 0000000000E0E000 0000000C04060000 F040000000000000 
0000000038180000 00000E0202000000 0000507000000000 00808080C0000000 C070000000000000 0000000000E0E000 0000000C04060000 3C08000000000000 
0000000038180000 00000E0202000000 0070500000000000 C080808000000000 00000070C0000000 0000000000E0E000 0000000C04060000 3C08000000000000 
0000000038180000 00000E0202000000 0030103000000000 000000808080C000 0000004040602000 C0C0C00000000000 0000000C04060000 3C08000000000000 
0000001C0C000000 000000008080E000 0000006040600000 0000060202020000 00000000301C0000 7070000000000000 0C08180000000000 8080C08000000000 
0000001C0C000000 00000E0202000000 000000A0E0000000 00000000101E0000 8080C04000000000 0000000000E0E000 4070100000000000 3C08000000000000 
0000003818000000 00000004041C0000 0000000060206000 0000060202020000 8080C04000000000 7070000000000000 0C08180000000000 0000008080C08000 
00000E0600000000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 000000000E0E0000 0030101800000000 3C08000000000000 
00000E0600000000 0070101000000000 C080C00000000000 00000000003C2000 000000E030000000 00000000C0C0C000 000000080E020000 3C08000000000000 
7030000000000000 00008080E0000000 00000000141C0000 0000060202020000 80C0404000000000 0000000000E0E000 0C08180000000000 0000003C08000000 
7030000000000000 00008080E0000000 0000060206000000 00000000101E0000 80C0404000000000 0000000000E0E000 0C08180000000000 0000003C08000000 
0000000000706000 00000000E0808000 0000000C040C0000 0000060202020000 0000007018000000 7070000000000000 0C08180000000000 8080C08000000000 
0000003830000000 0070404000000000 0000000000A0E000 F080000000000000 00008080C0400000 0000060606000000 0C08180000000000 00000000081E0000 
0000007060000000 000000008080E000 0000000C040C0000 0000060202020000 0000000018700000 7070000000000000 0C08180000000000 8080C08000000000 
1C18000000000000 00000008080E0000 E0A0000000000000 0000808080C00000 000000000030E000 0000060606000000 0000181030000000 0040406040000000 
1C18000000000000 E080800000000000 0000000A0E000000 00000000101E0000 00000030E0000000 0000000000E0E000 006040C000000000 00001E0400000000 
1C18000000000000 E080800000000000 0000000C080C0000 00000000F0100000 00001C3000000000 0000000000E0E000 006040C000000000 0000020206020000 
0000000020606000 00000E0808000000 0070500000000000 C080808000000000 00000040C0808000 0000000606060000 0000003010180000 3C08000000000000 
0000020606000000 000000008080E000 0000003828000000 00000000101E0000 00301C0000000000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000020606000000 00008080E0000000 0C080C0000000000 00000000101E0000 0010101808000000 0000000000E0E000 00C0406000000000 F020000000000000 
0000020606000000 7040400000000000 0C080C0000000000 808080C000000000 00000000180E0000 00000000C0C0C000 0030101800000000 0000002020302000 
0000020606000000 E080800000000000 0C080C0000000000 1010101800000000 00000000180E0000 00000000C0C0C000 006040C000000000 0000002020302000 
0000040C0C000000 000000002020E000 C080C00000000000 0000020202060000 0070180000000000 000000C0C0C00000 0000003010180000 3C08000000000000 
0000081818000000 00000004041C0000 000000A0E0000000 0000060202020000 8080C04000000000 0000000000E0E000 4070100000000000 3C08000000000000 
0000103030000000 000000008080E000 0000000E0A000000 3C20000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0000000080C0C000 00000E0808000000 0070500000000000 C080808000000000 0000004060202000 0000000606060000 0000003010180000 3C08000000000000 
0000000406060000 000000008080E000 0060406000000000 C080808000000000 0000101808080000 0000000070700000 00080E0200000000 3C10000000000000 
0000000406060000 1C10100000000000 0000001808180000 C080808000000000 2060404000000000 0000000000E0E000 00080E0200000000 00000020F0000000 
0000000406060000 1C10100000000000 0000001808180000 C080808000000000 2060404000000000 00000000C0C0C000 00080E0200000000 0000002030202000 
0000000406060000 1C10100000000000 00000000C080C000 C080808000000000 2060404000000000 0000003838000000 00080E0200000000 0000000000782000 
0000000406060000 1C10100000000000 00000000C080C000 C080808000000000 2060404000000000 0000001818180000 00080E0200000000 0000002020602000 
00000080C0C00000 000000002020E000 00000000141C0000 0000060202020000 8080C04000000000 7070000000000000 0C08180000000000 0000003C08000000 
00000080C0C00000 000000002020E000 0000060206000000 00000000101E0000 8080C04000000000 7070000000000000 0C08180000000000 0000003C08000000 
0000080C0C000000 000000008080E000 0030103000000000 0000060202020000 00000000301C0000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000080C0C000000 00000010101C0000 000000A0E0000000 0000060202020000 8080C04000000000 0000000000E0E000 4070100000000000 3C08000000000000 
0000000C0C040000 000000002020E000 C080C00000000000 0000060202020000 0070180000000000 000000C0C0C00000 0000003010180000 3C08000000000000 
0000003030100000 000000008080E000 C080C00000000000 0000060202020000 0070180000000000 0000000C0C0C0000 000000C040600000 3C08000000000000 
000000C0C0400000 00000E0202000000 0000000000A0E000 3C20000000000000 0000000C38000000 C0C0C00000000000 0018103000000000 00000000041E0000 
