00000000060E0000 0070404000000000 0C080C0000000000 F080000000000000 000000000070C000 0000303030000000 0000020E08000000 00008080C0800000 
0000000030700000 00000008080E0000 00000000C080C000 F080000000000000 0070C00000000000 0000060606000000 0C08180000000000 000020F000000000 
0000000030700000 00000008080E0000 0030203000000000 000000808080C000 0080C04040000000 0000060606000000 0C08180000000000 F040000000000000 
0000000030700000 008080E000000000 00000000C080C000 0000021E00000000 00301C0000000000 000000000E0E0000 C040600000000000 3C08000000000000 
0000001838000000 E080800000000000 0C080C0000000000 00000000043C0000 000030E000000000 00000000C0C0C000 1070400000000000 0000020602020000 
0000001838000000 E080800000000000 0C080C0000000000 00000000043C0000 1010302000000000 00000000C0C0C000 006040C000000000 0000020602020000 
3070000000000000 00000008080E0000 C080C00000000000 00000000F0800000 000000000070C000 0000060606000000 0C08180000000000 000020F000000000 
00000000181C0000 E080800000000000 0C080C0000000000 000000808080C000 0000301C00000000 0000006060600000 1070400000000000 0000020206020000 
000000181C000000 E080800000000000 0C080C0000000000 00000000203C0000 000030E000000000 00000000C0C0C000 1070400000000000 0000020602020000 
000000181C000000 E080800000000000 0C080C0000000000 00000000203C0000 1010302000000000 00000000C0C0C000 006040C000000000 0000020602020000 
C0E0000000000000 00000008080E0000 0000005070000000 0000C08080800000 000000000070C000 0000060606000000 0008382000000000 3C10000000000000 
000000001C0C0000 E020200000000000 0C080C0000000000 1010101800000000 000000000070C000 00C0C0C000000000 00000020E0800000 0000020602020000 
000000001C0C0000 00E0808000000000 0C080C0000000000 F010000000000000 0000701800000000 00000000C0C0C000 0000006020300000 0000020602020000 
0000000038180000 8080E00000000000 0000006040600000 000000808080C000 00000E1800000000 0000000606060000 4070100000000000 3C08000000000000 
0070300000000000 00000002020E0000 C080C00000000000 000000808080C000 00000E1800000000 0000006060600000 000000041C100000 3C08000000000000 
0070300000000000 00000002020E0000 C080C00000000000 000000808080C000 0000081810100000 0000006060600000 000006040C000000 3C08000000000000 
0070300000000000 0000004040700000 C080C00000000000 000000808080C000 00000E1800000000 0000000606060000 0000002038080000 3C08000000000000 
0070300000000000 0000004040700000 C080C00000000000 000000808080C000 00000000180E0000 0000060606000000 0000083820000000 3C08000000000000 
0000000000E0C000 0000101070000000 0000000E0A000000 3C20000000000000 00180E0000000000 C0C0C00000000000 000020E080000000 00000000041E0000 
0000000000E0C000 0020203800000000 7050000000000000 00000080F0000000 8080C04000000000 0000060606000000 0C08180000000000 00000000081E0000 
0000000000E0C000 0070101000000000 C080C00000000000 0000020202060000 0000000070180000 00000C0C0C000000 000020E080000000 3C08000000000000 
0000000000E0C000 00E0202000000000 0000060206000000 F010000000000000 0000001C30000000 0000C0C0C0000000 0C08180000000000 00000000081E0000 
