00000000060E0000 000000008080E000 0C080C0000000000 F080000000000000 0070C00000000000 0000000070700000 0000020E08000000 000020F000000000 
00000000060E0000 000000008080E000 6040600000000000 808080C000000000 1C30000000000000 0000000070700000 00080E0200000000 0000003C08000000 
0000001838000000 008080E000000000 00000000C080C000 3C20000000000000 00180E0000000000 0000000606060000 C040600000000000 0000000000782000 
0000000000C0E000 008080E000000000 0000001808180000 3C20000000000000 00180E0000000000 0000000606060000 C040600000000000 00000000F0200000 
00000000181C0000 000000002020E000 C080C00000000000 0000060202020000 0008080C04000000 000000C0C0C00000 0060203000000000 3C10000000000000 
0000000060700000 000000008080E000 0000060206000000 3C20000000000000 00000000180E0000 C0C0C00000000000 0018080C00000000 000020F000000000 
0000000060700000 000000008080E000 6040600000000000 808080C000000000 1C30000000000000 000000000E0E0000 00080E0200000000 0000003C10000000 
0000000038180000 000000008080E000 0030203000000000 0000060202020000 0000080C04040000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000000038180000 00000E0202000000 0030203000000000 000000808080C000 0000004040602000 C0C0C00000000000 0000000C04060000 3C08000000000000 
0000000000706000 00000000E0808000 0000060206000000 3C20000000000000 00000000180E0000 C0C0C00000000000 0018080C00000000 000020F000000000 
0000000000706000 00000000E0808000 6040600000000000 808080C000000000 1C30000000000000 000000000E0E0000 00080E0200000000 0000003C10000000 
000000001C180000 000000008080E000 0000000602060000 0030202020000000 00000E1800000000 C0C0C00000000000 000000C040600000 3C08000000000000 
1C18000000000000 00000002020E0000 0000000060206000 2020206000000000 00000E1800000000 C0C0C00000000000 000000041C100000 0000008080C08000 
1C18000000000000 00000002020E0000 0000000060206000 2020206000000000 0000081810100000 C0C0C00000000000 000006040C000000 0000008080C08000 
1C18000000000000 00000002020E0000 6020600000000000 0000006020202000 00000E1800000000 00000000C0C0C000 000000041C100000 80C0808000000000 
1C18000000000000 00000002020E0000 6020600000000000 0000006020202000 0000081810100000 00000000C0C0C000 000006040C000000 80C0808000000000 
1C18000000000000 00000002020E0000 00000000C080C000 808080C000000000 00000E1800000000 6060600000000000 000000041C100000 0000002020602000 
1C18000000000000 00000002020E0000 00000000C080C000 808080C000000000 0000081810100000 6060600000000000 000006040C000000 0000002020602000 
1C18000000000000 00000002020E0000 C080C00000000000 000000C080808000 00000E1800000000 0000000060606000 000000041C100000 2060202000000000 
1C18000000000000 00000002020E0000 C080C00000000000 000000C080808000 0000081810100000 0000000060606000 000006040C000000 2060202000000000 
1C18000000000000 000004041C000000 0000283800000000 0000020202060000 0000000000386000 E0E0000000000000 0000C04060000000 0000008080C08000 
1C18000000000000 000000008080E000 00000C080C000000 2020203000000000 00000000301C0000 C0C0C00000000000 000000C040600000 0000020602020000 
1C18000000000000 E020200000000000 0000000000A0E000 00000000021E0000 00008080C0400000 00000E0E00000000 00C0406000000000 000000103C000000 
1C18000000000000 0000000070404000 C080C00000000000 000000C080808000 00000E1800000000 0000000606060000 0000000008382000 2060202000000000 
1C18000000000000 00000E0808000000 C080C00000000000 000000C080808000 0000000000386000 0000000606060000 0000001070400000 2060202000000000 
0000000818180000 000000002020E000 C080C00000000000 0000020202060000 00080C0404000000 000000C0C0C00000 0060203000000000 3C10000000000000 
0000206060000000 E080800000000000 0C080C0000000000 0000020202060000 0000000000386000 0000001C1C000000 1070400000000000 0000008080C08000 
0000000080C0C000 0000001C10100000 6040600000000000 808080C000000000 1C30000000000000 000000000E0E0000 00080E0200000000 0000002060202000 
0000000406060000 0000000808380000 0000000060406000 000000C080808000 0020203010000000 C0C0C00000000000 00080E0200000000 3C10000000000000 
0000000406060000 0020203800000000 000000C080C00000 0000000078080000 000000000030E000 C0C0C00000000000 00080E0200000000 3C10000000000000 
000000080C0C0000 000000E080800000 0C080C0000000000 F010000000000000 000000000030E000 00E0E00000000000 0000001070400000 0000020602020000 
000000080C0C0000 000000E080800000 0C080C0000000000 F010000000000000 0000001010302000 00E0E00000000000 000000006040C000 0000020602020000 
000000080C0C0000 E080800000000000 0C080C0000000000 000000C080808000 0000203010100000 0000000060606000 1070400000000000 0000020602020000 
0000080C0C000000 000000008080E000 0030203000000000 0000060202020000 00000000301C0000 C0C0C00000000000 000000C040600000 3C08000000000000 
0000203030000000 000000008080E000 0000000E0A000000 3C20000000000000 00180E0000000000 C0C0C00000000000 000000C040600000 00000000041E0000 
0040606000000000 E080800000000000 0000000060206000 00000000021E0000 1C30000000000000 0000001C1C000000 00080E0200000000 0000008080C08000 
0080C0C000000000 00000002020E0000 0000283800000000 00000000F0100000 0C38000000000000 0000000000E0E000 000006040C000000 F040000000000000 
0080C0C000000000 00000002020E0000 0000283800000000 00000000F0100000 C070000000000000 0000000000E0E000 000006040C000000 3C08000000000000 
000000C0C0400000 00000002020E0000 0000000000A0E000 0030202020000000 00000E1800000000 C0C0C00000000000 000000041C100000 3C08000000000000 
000000C0C0400000 00000002020E0000 0000000000A0E000 0030202020000000 0000081810100000 C0C0C00000000000 000006040C000000 3C08000000000000 
0000000030302000 008080E000000000 000000000A0E0000 3C20000000000000 00180E0000000000 00000000C0C0C000 C040600000000000 0000001E04000000 
00000000C0C08000 0008083800000000 6040600000000000 808080C000000000 1C30000000000000 0000060606000000 0000000030206000 00000000081E0000 
00000000C0C08000 002020E000000000 0000001808180000 0000020202060000 00080C0404000000 C0C0C00000000000 0000000030206000 3C10000000000000 
00000000C0C08000 7040400000000000 0000283800000000 808080C000000000 0C38000000000000 0000060606000000 0000000030206000 00000000081E0000 
0000060604000000 000000008080E000 000000000A0E0000 0030202020000000 0000081810100000 C0C0C00000000000 000000C040600000 3C08000000000000 
