0000000030700000 000000008080E000 0030103000000000 0000060202020000 008080C040000000 0000000C0C0C0000 C040600000000000 3C08000000000000 
0000003070000000 8080E00000000000 000000C080C00000 0000060202020000 000000000030E000 0000000C0C0C0000 4070100000000000 3C08000000000000 
0000003038000000 8080E00000000000 0000000C040C0000 0000060202020000 000000000030E000 000000C0C0C00000 4070100000000000 3C08000000000000 
000000C0E0000000 000002020E000000 0000141C00000000 00000000101E0000 0C38000000000000 0000000000E0E000 0080E02000000000 F040000000000000 
000000C0E0000000 000002020E000000 0000141C00000000 00000000101E0000 C070000000000000 0000000000E0E000 0080E02000000000 3C08000000000000 
C0E0000000000000 00000004041C0000 0000000000A0E000 0000060202020000 00008080C0400000 0000003838000000 0010704000000000 3C08000000000000 
0070300000000000 0000001C04040000 C080C00000000000 0000060202020000 000000000030E000 000000C0C0C00000 0000002038080000 3C08000000000000 
0070300000000000 0000001C04040000 C080C00000000000 0000060202020000 000000E030000000 00000000C0C0C000 0000000008382000 3C08000000000000 
0070300000000000 000000E080800000 C080C00000000000 0000060202020000 000000000030E000 0000000C0C0C0000 0000001070400000 3C08000000000000 
0070300000000000 000000E080800000 C080C00000000000 0000060202020000 0000001010302000 0000000C0C0C0000 000000006040C000 3C08000000000000 
000000001C180000 000000002020E000 0000141C00000000 0000020202060000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
000000001C180000 000000002020E000 0000141C00000000 0000020202060000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
1C18000000000000 000004041C000000 00000000C080C000 0000020202060000 0000701800000000 E0E0000000000000 000080E020000000 0000000000782000 
1C18000000000000 00008080E0000000 00000000141C0000 0000060202020000 80C0404000000000 0000000000E0E000 6020300000000000 0000003C08000000 
1C18000000000000 00008080E0000000 0000060206000000 00000000101E0000 80C0404000000000 0000000000E0E000 6020300000000000 0000003C08000000 
1C18000000000000 0000001C04040000 E0A0000000000000 0000060202020000 000000000030E000 000000C0C0C00000 0000002038080000 0040F00000000000 
1C18000000000000 0000001C04040000 E0A0000000000000 0000060202020000 000000E030000000 00000000C0C0C000 0000000008382000 0040F00000000000 
1C18000000000000 E020200000000000 0000000000A0E000 0000060202020000 00008080C0400000 0000000C0C0C0000 00C0406000000000 0000101030100000 
1C18000000000000 000000E080800000 E0A0000000000000 0000060202020000 000000000030E000 0000000C0C0C0000 0000001070400000 0040F00000000000 
1C18000000000000 000000E080800000 E0A0000000000000 0000060202020000 0000001010302000 0000000C0C0C0000 000000006040C000 0040F00000000000 
1C18000000000000 0000E08080000000 0000141C00000000 0000020202060000 000000000030E000 E0E0000000000000 0000006040C00000 000000003C080000 
1C18000000000000 E080800000000000 00000000C080C000 0000060202020000 0000301C00000000 000000001C1C0000 006040C000000000 0000002020602000 
0000000040C0C000 8080E00000000000 000000E0A0000000 0000060202020000 0000001010302000 0000000C0C0C0000 4070100000000000 3C08000000000000 
0000000206060000 0070404000000000 0000302030000000 C080808000000000 0000061C00000000 00000000C0C0C000 0000000008382000 3C08000000000000 
0000040C0C000000 0070101000000000 C080C00000000000 0000020202060000 0000000070180000 0000000000E0E000 000020E080000000 3C08000000000000 
0000000080C0C000 00000008080E0000 0000602060000000 808080C000000000 0000001010302000 0000060606000000 4070100000000000 3C08000000000000 
0080C0C000000000 0000001C04040000 0000302030000000 0000060202020000 0C38000000000000 00000000C0C0C000 0000000008382000 F040000000000000 
0080C0C000000000 0000001C04040000 0000302030000000 0000060202020000 C070000000000000 00000000C0C0C000 0000000008382000 3C08000000000000 
0000000C0C040000 0070101000000000 C080C00000000000 0000060202020000 0000000070180000 0000000000E0E000 000020E080000000 3C08000000000000 
C0C0400000000000 000000008080E000 0000A0E000000000 0000020202060000 000004040C080000 0000000070700000 0030101800000000 3C08000000000000 
0000060604000000 000000008080E000 000000000A0E0000 808080C000000000 0000603800000000 0000000070700000 4070100000000000 3C08000000000000 
0000060604000000 000000008080E000 000000000A0E0000 808080C000000000 4040602000000000 0000000070700000 0030101800000000 3C08000000000000 
