00000000060E0000 8080E00000000000 000000C080C00000 0000021E00000000 000000000030E000 7070000000000000 0C08180000000000 0000002078000000 
00000000060E0000 7040400000000000 00000A0E00000000 808080C000000000 0C38000000000000 00000000C0C0C000 0000301018000000 0000002020302000 
000000000C1C0000 0020203800000000 7050000000000000 00000080F0000000 8080C04000000000 0000000000E0E000 0C08180000000000 0000020602020000 
0000000030700000 000000008080E000 7050000000000000 0000021E00000000 0020206040000000 000000000E0E0000 0C08180000000000 8080C08000000000 
0018380000000000 000000E080800000 0000000C080C0000 3C20000000000000 000000000030E000 C0C0C00000000000 0000001070400000 0000020206020000 
0018380000000000 000000E080800000 0000000C080C0000 3C20000000000000 0000001010302000 C0C0C00000000000 000000006040C000 0000020206020000 
0000000000C0E000 008080E000000000 00000A0E00000000 0030101010000000 00000000E0300000 000000000E0E0000 C040600000000000 3C08000000000000 
0000000000C0E000 8080E00000000000 00000A0E00000000 000000F010000000 00000000E0300000 000000000E0E0000 4070100000000000 3C08000000000000 
0000000000C0E000 8080E00000000000 0000000C080C0000 000000F010000000 00000000E0300000 7070000000000000 0C08180000000000 0000020206020000 
0000000000C0E000 0000007010100000 00000A0E00000000 0080F00000000000 0C38000000000000 000000000E0E0000 00000080E0200000 F040000000000000 
0000000000C0E000 0000007010100000 00000A0E00000000 0080F00000000000 C070000000000000 000000000E0E0000 00000080E0200000 3C08000000000000 
0000000000C0E000 0000007010100000 00000A0E00000000 F080000000000000 0C38000000000000 000000000E0E0000 00000080E0200000 0040F00000000000 
0000000000C0E000 0000701010000000 00000A0E00000000 00808080C0000000 0C38000000000000 000000000E0E0000 0000006020300000 F040000000000000 
0000000000C0E000 0000701010000000 00000A0E00000000 00808080C0000000 C070000000000000 000000000E0E0000 0000006020300000 3C08000000000000 
0000000060700000 000000008080E000 0000000C080C0000 F010000000000000 0020203010000000 00C0C0C000000000 0C08180000000000 0000020206020000 
000000C0E0000000 000010101C000000 00000A0E00000000 00000000021E0000 0C38000000000000 0000000000E0E000 0080E02000000000 F040000000000000 
000000C0E0000000 000010101C000000 00000A0E00000000 00000000021E0000 C070000000000000 0000000000E0E000 0080E02000000000 3C08000000000000 
000000C0E0000000 8080E00000000000 00000A0E00000000 00000000021E0000 000000301C000000 0000000000E0E000 4070100000000000 3C08000000000000 
C0E0000000000000 00008080E0000000 00000A0E00000000 00000000021E0000 000000301C000000 0000000000E0E000 0010704000000000 3C08000000000000 
C0E0000000000000 000000E080800000 00000A0E00000000 0010F00000000000 000000000030E000 000000000E0E0000 0000001070400000 3C08000000000000 
C0E0000000000000 000000E080800000 00000A0E00000000 0010F00000000000 0000001010302000 000000000E0E0000 000000006040C000 3C08000000000000 
C0E0000000000000 0000E08080000000 00000A0E00000000 0010101030000000 000000000030E000 000000000E0E0000 0000006040C00000 3C08000000000000 
000000000E060000 000000002020E000 00000A0E00000000 0080F00000000000 0C38000000000000 000000C0C0C00000 0000003010180000 F040000000000000 
000000000E060000 000000002020E000 00000A0E00000000 0080F00000000000 C070000000000000 000000C0C0C00000 0000003010180000 3C08000000000000 
000000000E060000 000000002020E000 00000A0E00000000 F080000000000000 0C38000000000000 000000C0C0C00000 0000003010180000 0040F00000000000 
000000000E060000 000000002020E000 00000A0E00000000 0000101010180000 0C38000000000000 000000C0C0C00000 0080E02000000000 F040000000000000 
000000000E060000 000000002020E000 00000A0E00000000 0000101010180000 C070000000000000 000000C0C0C00000 0080E02000000000 3C08000000000000 
000000000E060000 8080E00000000000 00000A0E00000000 000000F080000000 0000000070180000 0000000000E0E000 4070100000000000 3C08000000000000 
000000000E060000 8080E00000000000 00000000C080C000 0000021E00000000 000000E030000000 7070000000000000 0C08180000000000 0000000000782000 
0000001C0C000000 8080E00000000000 00000000C080C000 0000020202060000 000000E030000000 7070000000000000 0C08180000000000 0000000000782000 
0000007030000000 1C10100000000000 6020600000000000 0000020202060000 0008080C04000000 00000000C0C0C000 0000000008382000 80C0808000000000 
00E0600000000000 000000008080E000 0000000C080C0000 F010000000000000 000080C040400000 0000003030300000 0C08180000000000 0000020206020000 
0000000000706000 0000101070000000 00000A0E00000000 000000C080808000 0C38000000000000 000000000E0E0000 0080E02000000000 F040000000000000 
0000000000706000 0000101070000000 00000A0E00000000 000000C080808000 C070000000000000 000000000E0E0000 0080E02000000000 3C08000000000000 
0000000000706000 0070101000000000 00000A0E00000000 C080808000000000 00000040C0808000 000000000E0E0000 0000602030000000 3C08000000000000 
