000000000060E000 0020203800000000 7050000000000000 00000000F0800000 8080C04000000000 0000060606000000 0C08180000000000 00000000081E0000 
00000000060E0000 E080800000000000 0C080C0000000000 00404040C0000000 1030202000000000 0000000000E0E000 0000020E08000000 0000101030100000 
00000000060E0000 E080800000000000 0C080C0000000000 00404040C0000000 0000202030100000 0000000000E0E000 0000020E08000000 1030101000000000 
0000000030700000 000000008080E000 0030203000000000 0000060202020000 0080C04040000000 0000000C0C0C0000 0C08180000000000 F040000000000000 
00000060E0000000 E080800000000000 00000000141C0000 0000060202020000 1C30000000000000 0000000000E0E000 0040701000000000 0008080C08000000 
00000060E0000000 E080800000000000 0000060206000000 00000000101E0000 1C30000000000000 0000000000E0E000 0040701000000000 0008080C08000000 
0000307000000000 E080800000000000 0C080C0000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 1070400000000000 0000020206020000 
3070000000000000 000000008080E000 C080C00000000000 0000020202060000 000004040C080000 0000000070700000 0C08180000000000 0000207800000000 
0000000000C0E000 00000004041C0000 0028380000000000 0000060202020000 00000070C0000000 C0C0C00000000000 0000000838200000 3C10000000000000 
0000000000C0E000 00002020E0000000 0000001C14000000 0000060202020000 8080C04000000000 7070000000000000 0C08180000000000 00000000083C0000 
00000000181C0000 E080800000000000 0C080C0000000000 0000006020202000 0000301C00000000 00000000C0C0C000 1070400000000000 0000020206020000 
0000000030380000 000000008080E000 00000C040C000000 0000020202060000 0000206040400000 C0C0C00000000000 0030101800000000 3C08000000000000 
000000000E060000 000000008080E000 0C080C0000000000 0000021E00000000 1010302000000000 E0E0000000000000 0000C04060000000 0000000010780000 
000000000E060000 000000008080E000 0C080C0000000000 0000021E00000000 8080C04000000000 7070000000000000 0000302060000000 0000000010780000 
000000000E060000 1C10100000000000 00000000C080C000 2020206000000000 0000001C30000000 C0C0C00000000000 00080E0200000000 0000000000782000 
0000001C0C000000 000000008080E000 0C080C0000000000 0000020202060000 1010302000000000 E0E0000000000000 0000C04060000000 0000000010780000 
0000001C0C000000 000000008080E000 0C080C0000000000 0000020202060000 8080C04000000000 7070000000000000 0000302060000000 0000000010780000 
0070300000000000 00000002020E0000 C080C00000000000 0000006020202000 00000E1800000000 00000000C0C0C000 000000041C100000 3C08000000000000 
0070300000000000 00000002020E0000 C080C00000000000 0000006020202000 0000081810100000 00000000C0C0C000 000006040C000000 3C08000000000000 
E060000000000000 1C10100000000000 0000001808180000 0000020202060000 00080C0404000000 0000000000E0E000 0080E02000000000 00000040F0000000 
