000000000060E000 00000004041C0000 0000181018000000 0000060202020000 2020604000000000 1C1C000000000000 00000020E0800000 80C0808000000000 
000000000060E000 000002020E000000 00001C1400000000 00000000101E0000 2020604000000000 1C1C000000000000 00000020E0800000 80C0808000000000 
000000000C1C0000 0000E08080000000 A0E0000000000000 1010103000000000 0000004040C08000 0C0C0C0000000000 0000000030206000 0000020602020000 
0000000000C0E000 00000004041C0000 0000181018000000 0000060202020000 8080C04000000000 1C1C000000000000 00000080E0200000 2060202000000000 
0000000000C0E000 000002020E000000 00001C1400000000 00000000101E0000 8080C04000000000 1C1C000000000000 00000080E0200000 2060202000000000 
0000000000C0E000 0000002020380000 0000181018000000 3C20000000000000 001C060000000000 0000000606060000 00006040C0000000 80C0808000000000 
0000006070000000 00000002020E0000 A0E0000000000000 0000808080C00000 000000000030E000 1C1C000000000000 000006040C000000 0000781000000000 
000C0E0000000000 00008080E0000000 0000507000000000 00000000021E0000 000000061C000000 0000000000E0E000 80E0200000000000 3C10000000000000 
1C0C000000000000 00000002020E0000 A0E0000000000000 0000808080C00000 000000000030E000 0000007070000000 000006040C000000 0010780000000000 
1C0C000000000000 00000002020E0000 A0E0000000000000 0000808080C00000 000000000030E000 0000606060000000 000006040C000000 0010181010000000 
0000383000000000 000004041C000000 A0E0000000000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
1C18000000000000 000000002020E000 A0E0000000000000 0000C08080800000 0000206040400000 000000001C1C0000 00041C1000000000 0000020602020000 
1C18000000000000 00000002020E0000 A0E0000000000000 000000C080808000 0000E03000000000 0000000060606000 000000041C100000 00041E0000000000 
1C18000000000000 000000008080E000 A0E0000000000000 0000602020200000 000080C040400000 000000001C1C0000 00041C1000000000 0000020602020000 
1C18000000000000 0000E02020000000 A0E0000000000000 000000808080C000 0000004040602000 000000001C1C0000 00041C1000000000 0000020602020000 
1C18000000000000 0000000070404000 A0E0000000000000 000000C080808000 0000E03000000000 0000000606060000 0000000008382000 00041E0000000000 
1C18000000000000 0000E08080000000 A0E0000000000000 0000002020206000 0000004040C08000 000000001C1C0000 00041C1000000000 0000020602020000 
0000000206060000 0000000070404000 A0E0000000000000 000000C080808000 0000E03000000000 1C1C000000000000 0000000008382000 00001E0400000000 
0000000206060000 0000000070404000 A0E0000000000000 000000C080808000 0000E03000000000 1818180000000000 0000000008382000 0404060400000000 
0000020606000000 0000E08080000000 A0E0000000000000 1010103000000000 0000004040C08000 0C0C0C0000000000 0000000030206000 00000000081E0000 
0818180000000000 000000008080E000 000000141C000000 00000000021E0000 0404060200000000 0000006060600000 3020600000000000 80C0808000000000 
2060600000000000 00000002020E0000 1C14000000000000 808080C000000000 00000030E0000000 0000000000E0E000 000000041C100000 00081E0000000000 
2060600000000000 00000002020E0000 1C14000000000000 808080C000000000 0008181010000000 00000000C0C0C000 000006040C000000 0000002020302000 
0000000080C0C000 0000101070000000 0060206000000000 3C04000000000000 00180E0000000000 0000000606060000 0000000008382000 8080C08000000000 
0000000406060000 3808080000000000 0060206000000000 0010101030000000 0404060200000000 00000000C0C0C000 0000000008382000 8080C08000000000 
80C0C00000000000 3820200000000000 00000C040C000000 0000020202060000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000000606020000 000000008080E000 A0E0000000000000 00001E1000000000 000080C040400000 1C1C000000000000 0000602030000000 00000000083C0000 
0000060602000000 000000008080E000 A0E0000000000000 0000000040780000 000000001C060000 1C1C000000000000 000080E020000000 0000781000000000 
00000000C0C08000 000004041C000000 A0E0000000000000 0000020202060000 0000000000386000 1C1C000000000000 000080E020000000 0000781000000000 
0C0C080000000000 0000E08080000000 A0E0000000000000 1010103000000000 0000004040C08000 0000060606000000 0000000030206000 00000000081E0000 
1818100000000000 000000008080E000 A0E0000000000000 0000020202060000 000000000C380000 0000E0E000000000 0000001070400000 04040C0400000000 
