000000000060E000 0000000E02020000 0000507000000000 3C04000000000000 00180E0000000000 000000001C1C0000 80E0200000000000 00008080C0800000 
00000000060E0000 000000008080E000 0000000050700000 3C04000000000000 00380C0000000000 0000707000000000 0000020E08000000 80C0808000000000 
00000000060E0000 000000008080E000 0000000050700000 1010103000000000 2020604000000000 0C0C0C0000000000 0000020E08000000 80C0808000000000 
000000060E000000 000000008080E000 A0E0000000000000 00000000101E0000 00000E1800000000 1C1C000000000000 000000C040600000 0000F02000000000 
000000060E000000 000000008080E000 A0E0000000000000 00000000101E0000 0000E03000000000 1C1C000000000000 000000C040600000 00001E0800000000 
0000000C1C000000 3808080000000000 0030103000000000 00000000021E0000 0404060200000000 0000000000E0E000 00006040C0000000 80C0808000000000 
0C1C000000000000 00000004041C0000 0000180818000000 0000060202020000 00000070C0000000 0000000000E0E000 3020600000000000 80C0808000000000 
0C1C000000000000 000000008080E000 0000000050700000 0000060202020000 0000187000000000 0000000C0C0C0000 3020600000000000 80C0808000000000 
000000000C0E0000 000000008080E000 0000000050700000 3C20000000000000 001C060000000000 0000707000000000 0000080E02000000 80C0808000000000 
000000000C0E0000 000000008080E000 0000000050700000 3C20000000000000 0004060202000000 0000707000000000 0018080C00000000 80C0808000000000 
00000000181C0000 000000008080E000 A0E0000000000000 0404040C00000000 0000E03000000000 1818180000000000 000000C040600000 0000020206020000 
00000000181C0000 1C04040000000000 A0E0000000000000 0000F08000000000 00000070C0000000 0000000000E0E000 0018080C00000000 0000020206020000 
00000000181C0000 0000E08080000000 A0E0000000000000 0C04040400000000 1018080800000000 0000000000E0E000 0000107040000000 0000020206020000 
0000000C0E000000 3808080000000000 0030103000000000 00000000101E0000 0404060200000000 0000000000E0E000 00006040C0000000 80C0808000000000 
0000C0E000000000 00000002020E0000 A0E0000000000000 000808080C000000 0000001010302000 00000000C0C0C000 1810300000000000 0404060400000000 
0000C0E000000000 1C04040000000000 A0E0000000000000 0000020202060000 0008080C04000000 00000000C0C0C000 0000000008382000 0010301010000000 
3038000000000000 000000008080E000 0000003010300000 0000604040400000 0000180E00000000 000000000E0E0000 0C04060000000000 80C0808000000000 
000000000E060000 8080E00000000000 0000007050000000 000000808080C000 3860000000000000 00000E0E00000000 041C100000000000 0000000000782000 
000000000E060000 8080E00000000000 00000000C080C000 000000F010000000 3860000000000000 00000E0E00000000 041C100000000000 0000000000782000 
000000001C0C0000 0000E08080000000 A0E0000000000000 1010101800000000 000000000030E000 0C0C0C0000000000 0000006040C00000 0000020602020000 
00000E0600000000 000000008080E000 A0E0000000000000 00000000101E0000 000000180E000000 1C1C000000000000 000000C040600000 0000F02000000000 
00000E0600000000 00000010101C0000 A0E0000000000000 000000808080C000 0000004040602000 1C1C000000000000 000000080E020000 0000F02000000000 
0000703000000000 000000008080E000 A0E0000000000000 00000000043C0000 000080C040400000 1C1C000000000000 00000C0818000000 0000020602020000 
1C0C000000000000 000000008080E000 A0E0000000000000 0010F00000000000 00000C3800000000 000000001C1C0000 000000C040600000 0000020602020000 
1C0C000000000000 0000E08080000000 A0E0000000000000 0000060202020000 000000000030E000 0000000C0C0C0000 0000006040C00000 0010181010000000 
3818000000000000 04041C0000000000 0000000000A0E000 0000407800000000 00008080C0400000 000000001C1C0000 80E0200000000000 0000020602020000 
0000E0C000000000 1C04040000000000 A0E0000000000000 0000020202060000 0008080C04000000 00000000C0C0C000 0000000008382000 0010103010000000 
1C18000000000000 000000008080E000 A0E0000000000000 00000000101E0000 0000E03000000000 0000000E0E000000 000000C040600000 00041E0000000000 
1C18000000000000 0000E08080000000 A0E0000000000000 0000001E10000000 000000000030E000 000000000E0E0000 0000006040C00000 00041E0000000000 
000000040C0C0000 000000008080E000 A0E0000000000000 0000060202020000 0000081810100000 1C1C000000000000 000000C040600000 0000F02000000000 
000000040C0C0000 000000008080E000 A0E0000000000000 0000060202020000 000080C040400000 1C1C000000000000 0000001810300000 0000782000000000 
0000020606000000 0010107000000000 0000C080C0000000 00000000101E0000 00040C0808000000 0000000000E0E000 80E0200000000000 3C08000000000000 
0000020606000000 000000008080E000 0000006040600000 00000000101E0000 0010101808000000 0C0C0C0000000000 3020600000000000 80C0808000000000 
0818180000000000 000000008080E000 0000006040600000 00000000021E0000 0404060200000000 0000001C1C000000 3020600000000000 80C0808000000000 
0000000040606000 00000002020E0000 A0E0000000000000 000000C080808000 00000E1800000000 1C1C000000000000 000000041C100000 0000F02000000000 
0000000040606000 00000002020E0000 A0E0000000000000 000000C080808000 0000E03000000000 1C1C000000000000 000000041C100000 00001E0800000000 
0000000040606000 00000002020E0000 A0E0000000000000 000000C080808000 0000081810100000 1C1C000000000000 000006040C000000 0000F02000000000 
0000001018180000 000000008080E000 A0E0000000000000 0000060202020000 0000080C04040000 1C1C000000000000 000000C040600000 0000F02000000000 
0000001018180000 00000E0202000000 A0E0000000000000 000000808080C000 0000004040602000 1C1C000000000000 0000000C04060000 0000F02000000000 
0000080C0C000000 0010107000000000 0000C080C0000000 00000000101E0000 0004060202000000 0000000000E0E000 80E0200000000000 3C08000000000000 
0004060600000000 00000010101C0000 0000C080C0000000 80F0000000000000 0000386000000000 0000000000E0E000 000000080E020000 3C08000000000000 
80C0C00000000000 04041C0000000000 00000000141C0000 000000808080C000 0000004040602000 3838000000000000 0000203808000000 0000020602020000 
80C0C00000000000 000000008080E000 00000000141C0000 3020202000000000 0010101808000000 0C0C0C0000000000 000000C040600000 0000020602020000 
80C0C00000000000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 0000001818180000 000000C040600000 2020302000000000 
80C0C00000000000 000000008080E000 1808180000000000 00000000021E0000 0404060200000000 0000001C1C000000 000000C040600000 2030202000000000 
80C0C00000000000 000000008080E000 0000000C080C0000 3C20000000000000 0000203010100000 001C1C0000000000 000000C040600000 0000020206020000 
80C0C00000000000 1C04040000000000 00000000C080C000 0000020202060000 000030E000000000 0000001C1C000000 2038080000000000 0000000000782000 
80C0C00000000000 0000001C10100000 1C14000000000000 000000808080C000 0000004040602000 000000000E0E0000 00080E0200000000 2020302000000000 
80C0C00000000000 3820200000000000 0000007050000000 0000020202060000 0000000000386000 00000C0C0C000000 041C100000000000 0000008080C08000 
000000C0C0400000 8080E00000000000 0000000000A0E000 0000060202020000 3860000000000000 000000001C1C0000 041C100000000000 0000083C00000000 
0018180800000000 00000002020E0000 0060206000000000 3C04000000000000 0000001010302000 00000000C0C0C000 000006040C000000 8080C08000000000 
0C0C040000000000 000000008080E000 A0E0000000000000 0000000040780000 1010180800000000 0000E0E000000000 000000101C040000 0000020602020000 
1818080000000000 000000008080E000 A0E0000000000000 00000000021E0000 0404060200000000 0000001C1C000000 000000C040600000 0000F02000000000 
