000000000060E000 00001C0404000000 A0E0000000000000 0000020202060000 0000000070180000 1C1C000000000000 0000203808000000 000080C080800000 
00000000060E0000 000000008080E000 A0E0000000000000 000080F000000000 0404060200000000 0000000070700000 1810300000000000 0008080C08000000 
0000000C1C000000 000000008080E000 1C14000000000000 00000000021E0000 2020301000000000 0000006060600000 00080E0200000000 80C0808000000000 
0C1C000000000000 00000002020E0000 3020300000000000 0000006020202000 00000E1800000000 00000000C0C0C000 000000041C100000 80C0808000000000 
0C1C000000000000 00000002020E0000 3020300000000000 0000006020202000 0000081810100000 00000000C0C0C000 000006040C000000 80C0808000000000 
3070000000000000 00002020E0000000 0000000E0A000000 808080C000000000 0008181010000000 0000000000E0E000 0C04060000000000 00000000041E0000 
3070000000000000 00002020E0000000 0000001C14000000 808080C000000000 0004060202000000 0000000000E0E000 0C08180000000000 00000000081E0000 
0000000C0E000000 000000008080E000 1C14000000000000 00000000101E0000 2020301000000000 0000006060600000 00080E0200000000 80C0808000000000 
0000006070000000 0008080E00000000 A0E0000000000000 0000808080C00000 000000000030E000 000000000E0E0000 0C04060000000000 1010301000000000 
00181C0000000000 000000008080E000 0000000C080C0000 3C04000000000000 000080C040400000 0000003030300000 80E0200000000000 0000020206020000 
3038000000000000 000000008080E000 0C040C0000000000 0000020202060000 0000206040400000 0000000038380000 0000101C04000000 80C0808000000000 
3818000000000000 04041C0000000000 0000000C080C0000 0000808080C00000 000000000030E000 0000007070000000 80E0200000000000 0000020206020000 
3818000000000000 000000008080E000 000000141C000000 00000000021E0000 0404060200000000 0000006060600000 0020380800000000 80C0808000000000 
3818000000000000 00008080E0000000 0000000A0E000000 00000000101E0000 0000187000000000 0000000000E0E000 80E0200000000000 0404060400000000 
0000000000706000 1C04040000000000 0000302030000000 0000021E00000000 00000040C0808000 000000000E0E0000 2038080000000000 80C0808000000000 
000000001C180000 00008080E0000000 0000000602060000 3C04000000000000 00180E0000000000 0000000000E0E000 80E0200000000000 0000107800000000 
000000001C180000 00008080E0000000 000C040C00000000 0000020202060000 0000187000000000 0000000000E0E000 80E0200000000000 3C10000000000000 
000000001C180000 3820200000000000 0000000602060000 0000006020202000 00000E1800000000 00000000C0C0C000 041C100000000000 80C0808000000000 
0000000070600000 000000008080E000 0000283800000000 808080C000000000 3860000000000000 0000060606000000 041C100000000000 00000000081E0000 
0000000070600000 000000008080E000 A0E0000000000000 000080F000000000 040C080800000000 0000060606000000 1810300000000000 00000000081E0000 
0000000206060000 000000008080E000 A0E0000000000000 00001E1000000000 000080C040400000 1C1C000000000000 0000000C08180000 0000202030200000 
00000040C0C00000 1C04040000000000 0000302030000000 0000021E00000000 000000000030E000 000000000E0E0000 2038080000000000 80C0808000000000 
0000020606000000 00000008080E0000 00141C0000000000 0000808080C00000 000000000030E000 0000007070000000 80E0200000000000 3C08000000000000 
0000020606000000 00000008080E0000 A0E0000000000000 00003C2000000000 000000000030E000 1C1C000000000000 0000001070400000 000080C080800000 
0000020606000000 00000008080E0000 A0E0000000000000 00003C2000000000 0000001010302000 1C1C000000000000 000000006040C000 000080C080800000 
040C0C0000000000 000000008080E000 A0E0000000000000 00000000043C0000 000080C040400000 0000003838000000 1810300000000000 0000020602020000 
0000000080C0C000 1C04040000000000 00000A0E00000000 808080C000000000 0000001010302000 000000000E0E0000 0000302060000000 2078000000000000 
0000000406060000 000000008080E000 1C14000000000000 2020206000000000 0000101808080000 0000000070700000 00080E0200000000 80C0808000000000 
0000000406060000 000000008080E000 1C14000000000000 808080C000000000 0000101808080000 0000000070700000 00080E0200000000 2060202000000000 
0000002030300000 000000008080E000 00141C0000000000 0000021E00000000 000080C040400000 000000000E0E0000 80E0200000000000 3C08000000000000 
0000002030300000 000000008080E000 A0E0000000000000 00003C0400000000 000080C040400000 1C1C000000000000 00000018080C0000 0000020206020000 
