00000000060E0000 000000008080E000 0000000070500000 3C04000000000000 00380C0000000000 0000707000000000 0000020E08000000 80C0808000000000 
00000000060E0000 000000008080E000 0000000070500000 1010103000000000 2020604000000000 0C0C0C0000000000 0000020E08000000 80C0808000000000 
000000000C1C0000 000000008080E000 A0E0000000000000 1010101800000000 000080C040400000 0C0C0C0000000000 0000602030000000 0000020602020000 
0C1C000000000000 000000008080E000 0000000070500000 0000060202020000 0000187000000000 0000000C0C0C0000 3020600000000000 80C0808000000000 
0000000000C0E000 00008080E0000000 00000000141C0000 3C20000000000000 80C0404000000000 001C1C0000000000 0000203808000000 0000020602020000 
0000000000C0E000 00008080E0000000 1C14000000000000 00000000021E0000 80C0404000000000 0000001C1C000000 00080E0200000000 2020302000000000 
0000000000C0E000 0008080E00000000 A0E0000000000000 00000000021E0000 1010302000000000 0000C0C0C0000000 0C04060000000000 000000103C000000 
0000000000C0E000 1C04040000000000 00000A0E00000000 00000000F0100000 2020604000000000 000000000E0E0000 0018103000000000 80C0808000000000 
0000000000C0E000 3808080000000000 0000000A0E000000 00000000101E0000 0010103020000000 0000C0C0C0000000 80E0200000000000 0404060400000000 
0000000000C0E000 3820200000000000 0000507000000000 00000000F0100000 0404060200000000 000000000E0E0000 0018080C00000000 80C0808000000000 
000000000C0E0000 000000008080E000 0000000070500000 3C20000000000000 001C060000000000 0000707000000000 0000080E02000000 80C0808000000000 
000000000C0E0000 000000008080E000 0000000070500000 3C20000000000000 0004060202000000 0000707000000000 0018080C00000000 80C0808000000000 
0000000E06000000 000000008080E000 A0E0000000000000 00001E1000000000 000080C040400000 1C1C000000000000 0000602030000000 00000000081E0000 
0000020606000000 000000008080E000 A0E0000000000000 1010101800000000 000080C040400000 0C0C0C0000000000 0000602030000000 00000000081E0000 
80C0C00000000000 00000002020E0000 0000000060406000 000000C080808000 00000E1800000000 1C1C000000000000 000000041C100000 2020302000000000 
80C0C00000000000 00000002020E0000 0000000060406000 000000C080808000 0000081810100000 1C1C000000000000 000006040C000000 2020302000000000 
80C0C00000000000 00000002020E0000 0000000060406000 000000C080808000 0000203010100000 3838000000000000 000018080C000000 0404060400000000 
80C0C00000000000 3820200000000000 0000000060406000 000000C080808000 00000C3800000000 000000001C1C0000 041C100000000000 0000020602020000 
80C0C00000000000 3820200000000000 0000000060406000 000000C080808000 04040C0800000000 000000001C1C0000 0018103000000000 0000020602020000 
80C0C00000000000 3820200000000000 0000000060406000 000000C080808000 0404060200000000 000000000E0E0000 0018080C00000000 0000103010100000 
0C0C080000000000 000000008080E000 A0E0000000000000 1010101800000000 000080C040400000 0000060606000000 0000602030000000 00000000081E0000 
