000000000060E000 00000002020E0000 A0E0000000000000 000000043C000000 1018080800000000 0000707000000000 0C04060000000000 00008080C0800000 
000000000060E000 0038080800000000 0000705000000000 3C04000000000000 00000000180E0000 0000060606000000 00000020E0800000 80C0808000000000 
000000000060E000 1C04040000000000 00000A0E00000000 00000000F0800000 2020604000000000 000000000E0E0000 0018103000000000 80C0808000000000 
000000000060E000 1C04040000000000 00000A0E00000000 0018101010000000 2020604000000000 000000000E0E0000 00000020E0800000 80C0808000000000 
000000000060E000 1C04040000000000 0000302030000000 0000021E00000000 00004040C0800000 000000000E0E0000 2038080000000000 80C0808000000000 
000000000060E000 1C04040000000000 0000302030000000 0000021E00000000 80C0404000000000 000000000E0E0000 2038080000000000 00008080C0800000 
000000000060E000 3820200000000000 0000507000000000 00000000F0800000 0404060200000000 000000000E0E0000 0018080C00000000 80C0808000000000 
00000000060E0000 00001C1010000000 000000A0E0000000 3C04000000000000 8080C04000000000 0000000000E0E000 0000020E08000000 0078200000000000 
00000000060E0000 0000E08080000000 A0E0000000000000 00001E0200000000 0000004040C08000 1C1C000000000000 0000000030206000 0000003C08000000 
0000060E00000000 000000008080E000 0000006040600000 3C04000000000000 0038600000000000 000000000E0E0000 0000181030000000 80C0808000000000 
0030700000000000 000000008080E000 0000006040600000 3C04000000000000 0000001C30000000 000000000E0E0000 00080E0200000000 80C0808000000000 
0C1C000000000000 000000008080E000 0000006040600000 00001E0200000000 0000001C30000000 000000000E0E0000 3020600000000000 80C0808000000000 
0C1C000000000000 000000008080E000 3020300000000000 0000404040600000 00000E1800000000 0000000606060000 0000002038080000 80C0808000000000 
0C1C000000000000 000000008080E000 3020300000000000 0000404040600000 00000000180E0000 0000060606000000 0000083820000000 80C0808000000000 
0C1C000000000000 0000000038202000 0000000C040C0000 0000060202020000 0000187000000000 00000000C0C0C000 3020600000000000 80C0808000000000 
3070000000000000 00000002020E0000 000000A0E0000000 0C08080800000000 8080C04000000000 0000000000E0E000 0000301018000000 0004060404000000 
