000000060E000000 00000010101C0000 A0E0000000000000 000000C080808000 1018080800000000 0000000060606000 0C04060000000000 0000F02000000000 
00000C1C00000000 0000000070404000 A0E0000000000000 000000C080808000 0000020206040000 1C1C000000000000 0000000008382000 0000F02000000000 
0C1C000000000000 000000008080E000 0000006040600000 00001E1000000000 00000000301C0000 0000000E0E000000 3020600000000000 80C0808000000000 
3070000000000000 8080E00000000000 0000000000A0E000 000010F000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
3070000000000000 8080E00000000000 0000000000A0E000 000010F000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0400000 
3070000000000000 8080E00000000000 00000000141C0000 000000C080808000 0004060202000000 0000000060606000 0C08180000000000 0000003C08000000 
3070000000000000 8080E00000000000 0000000C040C0000 000000F080000000 0004060202000000 0000000000E0E000 0C08180000000000 0000000078100000 
3070000000000000 0000701010000000 00000000C080C000 808080C000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 0000002020602000 
3070000000000000 0000701010000000 00000000C080C000 808080C000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 0000002020602000 
0000000000C0E000 0008083800000000 A0E0000000000000 00000000203C0000 0404060200000000 0000C0C0C0000000 1810300000000000 000000041E000000 
0000000000C0E000 1010700000000000 A0E0000000000000 000080F000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 00000000F0200000 
0000000000C0E000 1010700000000000 A0E0000000000000 000080F000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0200000 
0000000000C0E000 0000002020380000 0000181018000000 0404040C00000000 0000020206040000 3838000000000000 00006040C0000000 80C0808000000000 
0000000000C0E000 00008080E0000000 0000507000000000 3C04000000000000 00180E0000000000 0000000E0E000000 80E0200000000000 00000000103C0000 
0000000000C0E000 3808080000000000 0000000028380000 0404040C00000000 0000020206040000 0000C0C0C0000000 80E0200000000000 0010103010000000 
0000000000C0E000 3808080000000000 0030103000000000 0404040C00000000 0000020206040000 0000000038380000 00006040C0000000 80C0808000000000 
00000000181C0000 8080E00000000000 0000000060206000 0000087800000000 3860000000000000 0000060606000000 041C100000000000 0000008080C08000 
00000000181C0000 8080E00000000000 0000060206000000 000000C080808000 3860000000000000 0000000060606000 041C100000000000 0000083C00000000 
00000000181C0000 00000E0202000000 000000A0E0000000 3C04000000000000 8080C04000000000 0000000000E0E000 0000101C04000000 0078200000000000 
000000C0E0000000 1C04040000000000 A0E0000000000000 0010F00000000000 0000020206040000 0000000000E0E000 0000003010180000 0008080C08000000 
0000C0E000000000 000002020E000000 00141C0000000000 00000000003C2000 0000001C30000000 00000000C0C0C000 80E0200000000000 3C08000000000000 
0000C0E000000000 0000000038202000 00141C0000000000 0000021E00000000 00000000061C0000 00000000C0C0C000 80E0200000000000 3C08000000000000 
3038000000000000 000000008080E000 0C040C0000000000 0000404040600000 00000000061C0000 0000303030000000 0000020E08000000 80C0808000000000 
3038000000000000 000000008080E000 0C040C0000000000 0000404040600000 0000020206040000 0000303030000000 0000000C08180000 80C0808000000000 
3038000000000000 0000701010000000 0C040C0000000000 0000006020202000 00000000061C0000 00000000C0C0C000 0000020E08000000 80C0808000000000 
3038000000000000 0000701010000000 0C040C0000000000 0000006020202000 0000020206040000 00000000C0C0C000 0000000C08180000 80C0808000000000 
0000000038180000 000000008080E000 0000006040600000 0C04040400000000 0000020206040000 0018181800000000 3020600000000000 80C0808000000000 
0000000038180000 3808080000000000 0030103000000000 0404040C00000000 0000020206040000 0000000000E0E000 00006040C0000000 80C0808000000000 
