00000000060E0000 0000007010100000 A0E0000000000000 0000C08080800000 0404060200000000 0000000060606000 1810300000000000 0008080C08000000 
000000000C1C0000 1C04040000000000 A0E0000000000000 0000C08080800000 0000206040400000 0018181800000000 0000000030206000 0000020602020000 
000000000C1C0000 0000704040000000 A0E0000000000000 0000808080C00000 00000C3800000000 1C1C000000000000 0000000030206000 0000020602020000 
3070000000000000 8080E00000000000 0000000E0A000000 0000002020206000 0008181010000000 000000C0C0C00000 0C04060000000000 00000000041E0000 
3070000000000000 8080E00000000000 0000001C14000000 0000002020206000 0004060202000000 000000C0C0C00000 0C08180000000000 00000000081E0000 
3070000000000000 8080E00000000000 000000C080C00000 0000020202060000 0000000000386000 0C0C0C0000000000 0000101C04000000 0000002078000000 
0000006070000000 1010700000000000 A0E0000000000000 0000808080C00000 0000000000386000 0000000606060000 0C04060000000000 0008081808000000 
0000303800000000 1C04040000000000 0000000060206000 0000808080C00000 80C0404000000000 000000001C1C0000 2038080000000000 0000020602020000 
0000000000E06000 00008080E0000000 00000000141C0000 3C20000000000000 80C0404000000000 001C1C0000000000 0000203808000000 0000020602020000 
0000000000E06000 00008080E0000000 1C14000000000000 00000000021E0000 80C0404000000000 0000001C1C000000 00080E0200000000 2020302000000000 
0000000000E06000 0008080E00000000 A0E0000000000000 00000000021E0000 1010302000000000 0000C0C0C0000000 0C04060000000000 000000103C000000 
0000000000E06000 1C04040000000000 00000A0E00000000 00000000F0100000 2020604000000000 000000000E0E0000 0018103000000000 80C0808000000000 
0000000000E06000 3808080000000000 0000000A0E000000 00000000101E0000 0010103020000000 0000C0C0C0000000 80E0200000000000 0404060400000000 
0000000000E06000 3820200000000000 0000507000000000 00000000F0100000 0404060200000000 000000000E0E0000 0018080C00000000 80C0808000000000 
000000000E060000 1010700000000000 A0E0000000000000 0808080C00000000 0404060200000000 0000000060606000 0000003010180000 000080C080800000 
00000E0600000000 00000010101C0000 0000000060206000 0000808080C00000 80C0404000000000 1C1C000000000000 000000080E020000 2020302000000000 
00000E0600000000 0000701010000000 A0E0000000000000 00000000003C2000 0000002060404000 1C1C000000000000 000000080E020000 000080C080800000 
00001C0C00000000 0000E08080000000 A0E0000000000000 0000020202060000 0000000000386000 1C1C000000000000 0000006040C00000 000000103C000000 
0000703000000000 00000E0202000000 A0E0000000000000 0000000078400000 0000000000386000 1C1C000000000000 0000000C04060000 000080C080800000 
0000703000000000 0000000070404000 A0E0000000000000 0000060202020000 0000080C04040000 1C1C000000000000 0000000008382000 000080C080800000 
1C0C000000000000 00000002020E0000 A0E0000000000000 00101E0000000000 0000603800000000 0000000060606000 000000041C100000 000080C080800000 
1C0C000000000000 000002020E000000 A0E0000000000000 00000000101E0000 0000603800000000 0000000060606000 00101C0400000000 000080C080800000 
1C0C000000000000 0000000070404000 A0E0000000000000 00101E0000000000 0000603800000000 0000000606060000 0000000008382000 000080C080800000 
0000000000706000 00000002020E0000 A0E0000000000000 000000043C000000 1018080800000000 0000707000000000 0C04060000000000 00008080C0800000 
0000000000706000 0038080800000000 0000705000000000 3C04000000000000 00000000180E0000 0000060606000000 00000020E0800000 80C0808000000000 
0000000000706000 1C04040000000000 00000A0E00000000 00000000F0800000 2020604000000000 000000000E0E0000 0018103000000000 80C0808000000000 
0000000000706000 1C04040000000000 00000A0E00000000 0018101010000000 2020604000000000 000000000E0E0000 00000020E0800000 80C0808000000000 
0000000000706000 1C04040000000000 0000302030000000 0000021E00000000 00004040C0800000 000000000E0E0000 2038080000000000 80C0808000000000 
0000000000706000 1C04040000000000 0000302030000000 0000021E00000000 80C0404000000000 000000000E0E0000 2038080000000000 00008080C0800000 
0000000000706000 3820200000000000 0000507000000000 00000000F0800000 0404060200000000 000000000E0E0000 0018080C00000000 80C0808000000000 
00001C1800000000 0000E08080000000 A0E0000000000000 000000003C040000 0000000000386000 1C1C000000000000 0000006040C00000 0000020602020000 
0000706000000000 00000E0202000000 A0E0000000000000 0000808080C00000 0000000000386000 1C1C000000000000 0000000C04060000 0000001078000000 
1C18000000000000 0000404070000000 A0E0000000000000 0000808080C00000 0000000000386000 0000000606060000 0000203808000000 00041E0000000000 
1C18000000000000 0000000E02020000 A0E0000000000000 0000808080C00000 0000000000386000 0000606060000000 000000101C040000 00041E0000000000 
0000000020606000 0000000E02020000 0000507000000000 3C04000000000000 00180E0000000000 000000001C1C0000 80E0200000000000 00008080C0800000 
0000000206060000 1010700000000000 A0E0000000000000 0000808080C00000 0000000000386000 0000007070000000 0C04060000000000 0008080C08000000 
0000000206060000 0000404070000000 A0E0000000000000 0000808080C00000 0000000000386000 1C1C000000000000 0000203808000000 00001E0400000000 
0000000206060000 0000404070000000 A0E0000000000000 0000808080C00000 0000000000386000 1818180000000000 0000203808000000 0404060400000000 
0000000206060000 0000380808000000 0000000060206000 0000808080C00000 80C0404000000000 3838000000000000 0000003010180000 0404060400000000 
0000020606000000 1C04040000000000 A0E0000000000000 0000C08080800000 0000206040400000 0018181800000000 0000000030206000 00000000081E0000 
0000020606000000 0000704040000000 A0E0000000000000 0000808080C00000 00000C3800000000 1C1C000000000000 0000000030206000 00000000081E0000 
0000103030000000 0000E08080000000 A0E0000000000000 0000060202020000 0000080C04040000 1C1C000000000000 0000000008382000 0000004040C04000 
0000000406060000 8080E00000000000 00000E0A00000000 3C04000000000000 0000008080C04000 0000007070000000 0000000008382000 0078100000000000 
0000000406060000 3808080000000000 0000001808180000 80F0000000000000 0404060200000000 000000C0C0C00000 0000000030206000 0000F02000000000 
0000000406060000 0000000070404000 A0E0000000000000 00001E0200000000 0000603800000000 1C1C000000000000 0000000008382000 000080C080800000 
0000000406060000 0000000070404000 A0E0000000000000 0000C08080800000 0404060200000000 1818180000000000 0000000008382000 0000207800000000 
0000001018180000 00000E0202000000 0000000060206000 0000808080C00000 80C0404000000000 1C1C000000000000 0000000C04060000 2020302000000000 
00000080C0C00000 00000002020E0000 A0E0000000000000 0000002020206000 00000E1800000000 1C1C000000000000 000000041C100000 0000F04000000000 
00000080C0C00000 00000002020E0000 A0E0000000000000 0000002020206000 0000081810100000 1C1C000000000000 000006040C000000 0000F04000000000 
00000080C0C00000 000004041C000000 A0E0000000000000 0000020202060000 0000000000386000 1C1C000000000000 0000083820000000 0000F04000000000 
00000080C0C00000 00001C0404000000 0000001808180000 0000020202060000 8080C04000000000 1C1C000000000000 0000000030206000 2060202000000000 
