000000000C1C0000 0000E08080000000 A0E0000000000000 0000060202020000 0000004040C08000 1C1C000000000000 0000000030206000 0000083C00000000 
00000C1C00000000 0000E08080000000 A0E0000000000000 0000020202060000 000000000030E000 1C1C000000000000 0000006040C00000 000000003C080000 
3070000000000000 8080E00000000000 0000000602060000 000808080C000000 0000000000386000 0000007070000000 0C04060000000000 0000008080C08000 
0000000000C0E000 00000008080E0000 0038280000000000 3C04000000000000 00000000E0300000 0000060606000000 0000407010000000 80C0808000000000 
0000000000C0E000 0000002020380000 000000141C000000 0000020202060000 04040C0800000000 3838000000000000 00006040C0000000 80C0808000000000 
0000000000C0E000 0038080800000000 0000003020300000 3C04000000000000 00000000180E0000 0000060606000000 00006040C0000000 80C0808000000000 
00000000181C0000 1C04040000000000 A0E0000000000000 000000C080808000 0000E03000000000 0000000060606000 0018080C00000000 0000020206020000 
0000C0E000000000 000000008080E000 000000000A0E0000 3C04000000000000 00180E0000000000 0000000070700000 80E0200000000000 0000001E04000000 
3038000000000000 000000008080E000 0000000050700000 808080C000000000 0040602020000000 000000000E0E0000 0C04060000000000 0000081E00000000 
3038000000000000 000000008080E000 0000000050700000 808080C000000000 0040602020000000 0000000606060000 0C04060000000000 0000081808080000 
00000E0600000000 000000008080E000 A0E0000000000000 00000000021E0000 0000E03000000000 1C1C000000000000 000000C040600000 000000083C000000 
00000E0600000000 00000010101C0000 000000A0E0000000 3C04000000000000 8080C04000000000 0000000000E0E000 000000080E020000 0078200000000000 
001C0C0000000000 00008080E0000000 00000000141C0000 3C20000000000000 80C0404000000000 0000000000E0E000 0000203808000000 0000020602020000 
00000000E0C00000 00000008080E0000 0038280000000000 3C04000000000000 000000000030E000 0000060606000000 0000407010000000 80C0808000000000 
1C18000000000000 000000008080E000 A0E0000000000000 00000000043C0000 00040C0808000000 0000E0E000000000 0000001070400000 0000020602020000 
000000040C0C0000 000000008080E000 0000000050700000 0000060202020000 2020604000000000 1C1C000000000000 0000083820000000 80C0808000000000 
0000002060600000 000000008080E000 1C14000000000000 00000000021E0000 2020604000000000 0000001C1C000000 00080E0200000000 80C0808000000000 
2060600000000000 00000002020E0000 000000141C000000 808080C000000000 1018080800000000 00000000C0C0C000 0C04060000000000 0000002020302000 
2060600000000000 00000002020E0000 1C14000000000000 808080C000000000 0008081810000000 00000000C0C0C000 000006040C000000 0000002020302000 
2060600000000000 00000002020E0000 00000000C080C000 808080C000000000 00000E1800000000 1C1C000000000000 000000041C100000 0000002020602000 
2060600000000000 00000002020E0000 00000000C080C000 808080C000000000 0000081810100000 1C1C000000000000 000006040C000000 0000002020602000 
0000000080C0C000 0000404070000000 0000283800000000 3C20000000000000 001C060000000000 0000000606060000 0000000008382000 80C0808000000000 
0000000406060000 000000008080E000 1C14000000000000 0000000040780000 2020604000000000 0000003838000000 00080E0200000000 80C0808000000000 
0000000406060000 0000003808080000 1C14000000000000 00000000F0100000 2020604000000000 0000000000E0E000 00080E0200000000 80C0808000000000 
0000001018180000 00000E0202000000 000000A0E0000000 3C04000000000000 8080C04000000000 0000000000E0E000 0000000C04060000 0078200000000000 
00000080C0C00000 000000002020E000 1C14000000000000 00000000021E0000 8080C04000000000 0000001C1C000000 00080E0200000000 2060202000000000 
00000080C0C00000 000000002020E000 000C080C00000000 0000060202020000 0000C07000000000 000000001C1C0000 80E0200000000000 3C10000000000000 
00000080C0C00000 000000002020E000 000C080C00000000 0000060202020000 8080C04000000000 000000001C1C0000 0060203000000000 3C10000000000000 
80C0C00000000000 000000002020E000 00000000141C0000 3C04000000000000 00380C0000000000 000000C0C0C00000 0000203808000000 0000020602020000 
80C0C00000000000 000000002020E000 0000060206000000 3C04000000000000 0020203010000000 000000C0C0C00000 0018080C00000000 00000000081E0000 
80C0C00000000000 00000002020E0000 0000000060206000 2020206000000000 00000E1800000000 1C1C000000000000 000000041C100000 0000008080C08000 
80C0C00000000000 00000002020E0000 0000000060206000 2020206000000000 0000081810100000 1C1C000000000000 000006040C000000 0000008080C08000 
80C0C00000000000 002020E000000000 0000060206000000 3C04000000000000 0000001030202000 00000000C0C0C000 0018080C00000000 00000000081E0000 
80C0C00000000000 000000008080E000 00000C080C000000 2020203000000000 00000000301C0000 1C1C000000000000 000000C040600000 0000020602020000 
80C0C00000000000 1C04040000000000 0000000C080C0000 000000C080808000 0000203010100000 0000000060606000 2038080000000000 0000020206020000 
80C0C00000000000 3808080000000000 0000000060206000 00000000021E0000 0404060200000000 0000001C1C000000 0030206000000000 0000008080C08000 
0000000060602000 0000001C10100000 1C14000000000000 000000808080C000 8080C04000000000 000000000E0E0000 00080E0200000000 2060202000000000 
0000000606020000 000000008080E000 0060206000000000 3C04000000000000 00180E0000000000 0000000070700000 00000018080C0000 8080C08000000000 
0000C0C040000000 000000008080E000 0000003828000000 3C04000000000000 00180E0000000000 0000000606060000 80E0200000000000 0000000010780000 
00000000C0C08000 1C04040000000000 A0E0000000000000 0000020202060000 0000000000386000 0000E0E000000000 0018080C00000000 000000103C000000 
00000000C0C08000 0000001C10100000 1C14000000000000 0000002020206000 2020604000000000 000000000E0E0000 00080E0200000000 80C0808000000000 
