000000000060E000 1C04040000000000 00000A0E00000000 0000301010100000 8080C04000000000 000000000E0E0000 00000020E0800000 2078000000000000 
00000000060E0000 000000008080E000 A0E0000000000000 0000C04040400000 0404060200000000 0000003030300000 1810300000000000 0008080C08000000 
0000003070000000 000000008080E000 A0E0000000000000 0000000008780000 1018080800000000 0000000606060000 0C04060000000000 0000F04000000000 
3070000000000000 000000008080E000 0000302030000000 0000000040780000 8080C04000000000 0000000606060000 0C04060000000000 0008081808000000 
3070000000000000 0000202038000000 00000000C080C000 0000020202060000 8080C04000000000 0C0C0C0000000000 0000101C04000000 0000000000782000 
3070000000000000 0008080E00000000 00000000C080C000 0000301010100000 8080C04000000000 000000000E0E0000 0C04060000000000 0000002020602000 
3070000000000000 8080E00000000000 0000000E0A000000 0000006020202000 0008181010000000 00000000C0C0C000 0C04060000000000 00000000041E0000 
3070000000000000 8080E00000000000 0000001C14000000 0000006020202000 0004060202000000 00000000C0C0C000 0C08180000000000 00000000081E0000 
3070000000000000 8080E00000000000 00000000C080C000 0000020202060000 0000006038000000 0C0C0C0000000000 0000101C04000000 0000000000782000 
0000000000C0E000 000002020E000000 0000C040C0000000 00000000101E0000 0000103020200000 000C0C0C00000000 80E0200000000000 3C10000000000000 
00000000181C0000 3808080000000000 0000C040C0000000 0404040C00000000 0010103020000000 0000000000E0E000 80E0200000000000 0000020206020000 
0000000030380000 000000008080E000 A0E0000000000000 0000C04040400000 1010302000000000 0000000606060000 0C04060000000000 0008081808000000 
0000003038000000 000000008080E000 A0E0000000000000 0000000040780000 1018080800000000 0000000606060000 0C04060000000000 0000F04000000000 
00181C0000000000 000000008080E000 0000000C080C0000 3C04000000000000 0000C07000000000 0000000070700000 80E0200000000000 0000020206020000 
00181C0000000000 000000008080E000 0000000C080C0000 3C04000000000000 8080C04000000000 0000000070700000 0060203000000000 0000020206020000 
000000000E060000 000000008080E000 A0E0000000000000 0000021E00000000 1010302000000000 0C0C0C0000000000 0000C04060000000 0000000010780000 
000000000E060000 000000008080E000 A0E0000000000000 0000203C00000000 0404060200000000 1818180000000000 0000C04060000000 0000000010780000 
0000001C0C000000 000000008080E000 A0E0000000000000 0000020202060000 1010302000000000 0C0C0C0000000000 0000C04060000000 0000000010780000 
0000007030000000 8080E00000000000 00000000C080C000 0000020202060000 3860000000000000 00000C0C0C000000 041C100000000000 0000000000782000 
0000007030000000 8080E00000000000 00000C080C000000 00000000003C2000 3860000000000000 00000000C0C0C000 041C100000000000 0000020602020000 
0070300000000000 0000001C10100000 00000000C080C000 3C04000000000000 8080C04000000000 000000000E0E0000 00080E0200000000 0000002020602000 
3818000000000000 04041C0000000000 0000000C080C0000 00000000F0100000 0000C07000000000 0000000000E0E000 80E0200000000000 0000020206020000 
3818000000000000 04041C0000000000 0000000C080C0000 00000000F0100000 8080C04000000000 0000000000E0E000 0060203000000000 0000020206020000 
000000001C180000 1C04040000000000 A0E0000000000000 0000020202060000 00000030E0000000 0000000000E0E000 0018080C00000000 0000F04000000000 
0000020606000000 00000008080E0000 00141C0000000000 00000000F0100000 0000C07000000000 0000000000E0E000 80E0200000000000 3C08000000000000 
0000020606000000 00000008080E0000 00141C0000000000 00000000F0100000 8080C04000000000 0000000000E0E000 0060203000000000 3C08000000000000 
0000020606000000 00000008080E0000 0000C040C0000000 80F0000000000000 0000202030100000 0000000000E0E000 00041C1000000000 3C08000000000000 
00040C0C00000000 000002020E000000 0000C040C0000000 00000000101E0000 0010103020000000 0000000000E0E000 80E0200000000000 3C08000000000000 
0008181800000000 00000002020E0000 1C14000000000000 00000000F0100000 8080C04000000000 0000000000E0E000 000006040C000000 2060202000000000 
0000000080C0C000 8080E00000000000 00000C080C000000 00000000003C2000 3860000000000000 0000007070000000 041C100000000000 0000020602020000 
0000001018180000 0000382020000000 0000C040C0000000 80F0000000000000 0004060202000000 0000000000E0E000 0000000C04060000 3C08000000000000 
0004060600000000 000008080E000000 0000C040C0000000 00000000101E0000 0010103020000000 0000000000E0E000 80E0200000000000 3C08000000000000 
80C0C00000000000 000000008080E000 0000005070000000 0000000008780000 1018080800000000 0000000606060000 0C04060000000000 2020302000000000 
80C0C00000000000 000000008080E000 0028380000000000 0000000008780000 0004060202000000 0000007070000000 0000000C04060000 3C10000000000000 
80C0C00000000000 000000008080E000 0000000602060000 2020206000000000 000000000C380000 1C1C000000000000 0000001070400000 00001E0800000000 
80C0C00000000000 000000008080E000 0000060206000000 3C04000000000000 0020301010000000 0000006060600000 0018080C00000000 00000000081E0000 
0000000606020000 000000008080E000 A0E0000000000000 0000C04040400000 1018080800000000 0000303030000000 0C04060000000000 00000000083C0000 
0000060602000000 000000008080E000 A0E0000000000000 0000000040780000 000000001C060000 1C1C000000000000 0000083820000000 0000F04000000000 
0000000030302000 00000002020E0000 0000283800000000 3C04000000000000 8080C04000000000 00000000C0C0C000 000006040C000000 0078100000000000 
0000000030302000 00000002020E0000 A0E0000000000000 000808080C000000 0000C07000000000 00000000C0C0C000 1810300000000000 0404060400000000 
00000000C0C08000 00000002020E0000 A0E0000000000000 0000002020206000 00000E1800000000 1C1C000000000000 000000041C100000 0000F04000000000 
00000000C0C08000 00000002020E0000 A0E0000000000000 0000002020206000 0000081810100000 1C1C000000000000 000006040C000000 0000F04000000000 
00000000C0C08000 000004041C000000 A0E0000000000000 0000020202060000 0000000000386000 1C1C000000000000 0000083820000000 0000F04000000000 
00000000C0C08000 00001C0404000000 0000001808180000 0000020202060000 8080C04000000000 1C1C000000000000 0000000030206000 2060202000000000 
0000000C0C080000 000000008080E000 00141C0000000000 0000020202060000 0000C07000000000 0000000070700000 80E0200000000000 3C08000000000000 
0000000C0C080000 000000008080E000 00141C0000000000 0000020202060000 8080C04000000000 0000000070700000 0060203000000000 3C08000000000000 
0000003030200000 000000008080E000 A0E0000000000000 0000C04040400000 040C080800000000 0000060606000000 1810300000000000 00000000081E0000 
0000060604000000 1C10100000000000 000000000A0E0000 00000000F0100000 8080C04000000000 0000000000E0E000 000C081800000000 2060202000000000 
