0C1C000000000000 00000004041C0000 0000180818000000 0000060202020000 00000030E0000000 0000000000E0E000 3020600000000000 80C0808000000000 
0000000000C0E000 000002020E000000 0000C080C0000000 00000000101E0000 0000103020200000 000C0C0C00000000 80E0200000000000 3C10000000000000 
0000000000C0E000 00008080E0000000 A0E0000000000000 0000020202060000 000000000C380000 1C1C000000000000 0000041C10000000 0000782000000000 
0000000000C0E000 00008080E0000000 A0E0000000000000 0000020202060000 000004040C080000 1C1C000000000000 0000001810300000 0000782000000000 
00000000181C0000 1C04040000000000 A0E0000000000000 0000F08000000000 00000030E0000000 0000000000E0E000 0018080C00000000 0000020206020000 
00000000181C0000 3808080000000000 0000C080C0000000 0404040C00000000 0010103020000000 0000000000E0E000 80E0200000000000 0000020206020000 
0000000206060000 0000E08080000000 A0E0000000000000 1010103000000000 0000000070180000 0000000000E0E000 0C04060000000000 0008080C08000000 
000000040C0C0000 000000008080E000 0000283800000000 0000060202020000 3860000000000000 0000000070700000 041C100000000000 8080C08000000000 
0000020606000000 00000008080E0000 0000C080C0000000 80F0000000000000 0000202030100000 0000000000E0E000 00041C1000000000 3C08000000000000 
00040C0C00000000 000002020E000000 0000C080C0000000 00000000101E0000 0010103020000000 0000000000E0E000 80E0200000000000 3C08000000000000 
0818180000000000 000000008080E000 000000000A0E0000 0000003C04000000 0404060200000000 0000000070700000 3020600000000000 80C0808000000000 
0818180000000000 000000008080E000 0000000050700000 0000003C20000000 0404060200000000 000000000E0E0000 3020600000000000 80C0808000000000 
0000000080C0C000 00000002020E0000 A0E0000000000000 0000F08000000000 00000E1800000000 1C1C000000000000 000000041C100000 0000002060202000 
0000000080C0C000 00000002020E0000 A0E0000000000000 0000F08000000000 0000081810100000 1C1C000000000000 000006040C000000 0000002060202000 
0000001018180000 0000382020000000 0000C080C0000000 80F0000000000000 0004060202000000 0000000000E0E000 0000000C04060000 3C08000000000000 
0004060600000000 000000008080E000 0000000050700000 3C20000000000000 0018700000000000 000000000E0E0000 0000083820000000 80C0808000000000 
0004060600000000 000000008080E000 0000000050700000 0C08080800000000 0010103020000000 000000000E0E0000 3020600000000000 80C0808000000000 
0004060600000000 000008080E000000 0000C080C0000000 00000000101E0000 0010103020000000 0000000000E0E000 80E0200000000000 3C08000000000000 
80C0C00000000000 00000002020E0000 0000000060206000 3C20000000000000 001C060000000000 0000383800000000 000000041C100000 0000008080C08000 
80C0C00000000000 0008083800000000 0000000060206000 00000000021E0000 000000061C000000 3030300000000000 0C04060000000000 0000008080C08000 
80C0C00000000000 0008080E00000000 0000000060206000 00000000021E0000 000000301C000000 3030300000000000 0C04060000000000 0000008080C08000 
80C0C00000000000 0000380808000000 0000000060206000 3C20000000000000 001C060000000000 0000000606060000 0000003010180000 0000008080C08000 
80C0C00000000000 00000E0808000000 0000000060206000 3C20000000000000 001C300000000000 0000000606060000 0000003010180000 0000008080C08000 
80C0C00000000000 3820200000000000 0000000060206000 00000000021E0000 000000301C000000 00000E0E00000000 041C100000000000 0000008080C08000 
0000000060602000 00000002020E0000 A0E0000000000000 000000808080C000 00000E1800000000 1C1C000000000000 000000041C100000 0000F02000000000 
0000000060602000 00000002020E0000 A0E0000000000000 000000808080C000 0000E03000000000 1C1C000000000000 000000041C100000 00001E0800000000 
0000000060602000 00000002020E0000 A0E0000000000000 000000808080C000 0000081810100000 1C1C000000000000 000006040C000000 0000F02000000000 
1818080000000000 0000E08080000000 A0E0000000000000 00000000021E0000 0404060200000000 0000000000E0E000 0000101C04000000 0000002078000000 
3030100000000000 000000008080E000 0000602060000000 0000000008780000 0008081810000000 0000000606060000 0C04060000000000 80C0808000000000 
0000000C0C080000 000000008080E000 0000000050700000 0000020202060000 0010103020000000 0C0C0C0000000000 3020600000000000 80C0808000000000 
0000060604000000 0000000038202000 0000283800000000 00000000021E0000 3860000000000000 00000000C0C0C000 041C100000000000 8080C08000000000 
0C0C080000000000 000000008080E000 0000000050700000 0000060202020000 0010103020000000 0000000C0C0C0000 3020600000000000 80C0808000000000 
