000000000060E000 1C04040000000000 00C080C000000000 0000780800000000 6038000000000000 000000001C1C0000 00000020E0800000 0000020602020000 
00000000060E0000 0008080E00000000 000000C080C00000 0080F00000000000 000000000030E000 7070000000000000 0C04060000000000 0000002078000000 
00000000060E0000 1C04040000000000 00C080C000000000 00000000F0100000 6038000000000000 0000000000E0E000 0000020E08000000 0000782000000000 
0000000018380000 0038080800000000 0000000060406000 000000C080808000 70C0000000000000 0000000606060000 0C04060000000000 0000F02000000000 
000000060E000000 0038080800000000 000000A0E0000000 00000000101E0000 70C0000000000000 0000000000E0E000 0C04060000000000 0000F04000000000 
0000000C1C000000 00008080E0000000 0028380000000000 00000000021E0000 0404060200000000 0000000000E0E000 00C0406000000000 7810000000000000 
0000000C1C000000 3808080000000000 0000602060000000 00000000021E0000 0404060200000000 0000000000E0E000 4070100000000000 008080C080000000 
0C1C000000000000 000000008080E000 0000000050700000 0000060202020000 70C0000000000000 0000000C0C0C0000 000080E020000000 0020780000000000 
0C1C000000000000 000000008080E000 0000000A0E000000 00000000101E0000 70C0000000000000 0000006060600000 0020E08000000000 00001E0400000000 
0C1C000000000000 000000008080E000 0000000A0E000000 00000000101E0000 40C0808000000000 0000006060600000 3020600000000000 00001E0400000000 
60E0000000000000 000004041C000000 0000382800000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
60E0000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000006038000000 1C1C000000000000 0000000C04060000 0000000000782000 
60E0000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 1C1C000000000000 0000000C04060000 0000F02000000000 
0000000000C0E000 0000000808380000 1C14000000000000 0000020202060000 00080C0404000000 00C0C0C000000000 6020300000000000 00000020F0000000 
0000000000C0E000 04041C0000000000 0000002838000000 00000000043C0000 70C0000000000000 0000C0C0C0000000 0838200000000000 0000020602020000 
0000000000C0E000 04041C0000000000 0000002838000000 00000000043C0000 40C0808000000000 3838000000000000 00006040C0000000 0000020602020000 
0000000000C0E000 7010100000000000 0060206000000000 0008080818000000 0000000060380000 0000000606060000 0C04060000000000 0080C08080000000 
0000000030380000 000000008080E000 0000000602060000 000808080C000000 40C0808000000000 3030300000000000 0C04060000000000 0000406040400000 
0000000030380000 000000008080E000 3020300000000000 0018080808000000 40C0808000000000 0000000606060000 0C04060000000000 0000406040400000 
0000000C0E000000 00008080E0000000 0028380000000000 00000000101E0000 0404060200000000 0000000000E0E000 00C0406000000000 7810000000000000 
0000000C0E000000 3808080000000000 0000602060000000 00000000101E0000 0404060200000000 0000000000E0E000 4070100000000000 008080C080000000 
0000006070000000 7010100000000000 0000000602060000 000808080C000000 0000000000386000 00E0E00000000000 0C04060000000000 0000008080C08000 
0000006070000000 00000E0808000000 00A0E00000000000 7840000000000000 0000000000386000 0000000606060000 041C100000000000 0000008080C08000 
0000C0E000000000 04041C0000000000 0000000C080C0000 00000000F0100000 70C0000000000000 0000000000E0E000 0838200000000000 0000020206020000 
0000C0E000000000 000000008080E000 0000000602060000 0000000040780000 70C0000000000000 0038380000000000 0C04060000000000 000000083C000000 
0000C0E000000000 0000000E02020000 00000000C080C000 000000003C040000 70C0000000000000 0038380000000000 0C04060000000000 0000000000782000 
000C0E0000000000 0000000E02020000 00000000C080C000 3C20000000000000 40C0808000000000 000000001C1C0000 0010704000000000 0000002020602000 
0060700000000000 008080E000000000 0000000000A0E000 0000080808180000 7018000000000000 0000000606060000 0C04060000000000 00000000F0400000 
