000000000060E000 000002020E000000 0000705000000000 00000000101E0000 40C0808000000000 3838000000000000 00000020E0800000 04040C0400000000 
000000000C1C0000 000000008080E000 0C040C0000000000 0018101010000000 70C0000000000000 0000006060600000 0020E08000000000 0000020602020000 
000000000C1C0000 000000008080E000 0C040C0000000000 0018101010000000 40C0808000000000 0000006060600000 3020600000000000 0000020602020000 
000000000C1C0000 000000008080E000 0000006040600000 0010101030000000 70C0000000000000 0C0C0C0000000000 0020E08000000000 0000020602020000 
000000000C1C0000 000000008080E000 0000006040600000 0010101030000000 40C0808000000000 0C0C0C0000000000 3020600000000000 0000020602020000 
000000060E000000 000000008080E000 1C14000000000000 00000000101E0000 008080C040000000 6060600000000000 0000003020600000 00081E0000000000 
0000003070000000 000000008080E000 00C080C000000000 0000000008780000 7018000000000000 0000000606060000 0C04060000000000 0020780000000000 
0018380000000000 00008080E0000000 000000141C000000 00000000021E0000 0404060200000000 0000000000E0E000 00C0406000000000 7820000000000000 
0C1C000000000000 000000002020E000 00000C040C000000 0000020202060000 70C0000000000000 000000C0C0C00000 0000003010180000 0020F00000000000 
0C1C000000000000 00000002020E0000 0000C080C0000000 00001E1000000000 70C0000000000000 0000000000E0E000 000000041C100000 0020206020000000 
0C1C000000000000 00000002020E0000 0000C080C0000000 0000181010100000 70C0000000000000 0000000000E0E000 000006040C000000 0020206020000000 
60E0000000000000 00000002020E0000 0000005070000000 0000808080C00000 000000000030E000 1C1C000000000000 000006040C000000 0000782000000000 
60E0000000000000 00000002020E0000 1C14000000000000 000000C080808000 0000E03000000000 0000000060606000 000000041C100000 00081E0000000000 
60E0000000000000 000000008080E000 0000000050700000 0000020202060000 000004040C080000 1C1C000000000000 000080E020000000 0000781000000000 
60E0000000000000 000000008080E000 1810180000000000 0000020202060000 000000000C380000 0000E0E000000000 0000001070400000 040C040400000000 
60E0000000000000 0000000070404000 1C14000000000000 000000C080808000 0000E03000000000 0000000606060000 0000000008382000 00081E0000000000 
60E0000000000000 0000E08080000000 00001C1400000000 0000020202060000 000000000030E000 1C1C000000000000 0000006040C00000 000000003C080000 
60E0000000000000 0000E08080000000 0000000602060000 00001E1000000000 000000000030E000 1C1C000000000000 0000006040C00000 000000003C080000 
0000000000C0E000 000010101C000000 0000C080C0000000 00000000203C0000 70C0000000000000 0C0C0C0000000000 0030206000000000 0000020602020000 
0000003038000000 000000008080E000 00C080C000000000 0000000040780000 7018000000000000 0000000606060000 0C04060000000000 0020780000000000 
0000003038000000 00E0808000000000 00000000C080C000 0000784000000000 7018000000000000 0000000606060000 0C04060000000000 0000000000782000 
0000C0E000000000 000000008080E000 0000000602060000 0000000040780000 70C0000000000000 0038380000000000 0C04060000000000 000000103C000000 
000C0E0000000000 00000002020E0000 000000141C000000 3C20000000000000 40C0808000000000 00000000C0C0C000 0010704000000000 0000002020302000 
3038000000000000 00000002020E0000 000000141C000000 0000784000000000 40C0808000000000 00000000C0C0C000 0C04060000000000 0000002020302000 
3038000000000000 000000008080E000 0000005070000000 0000000008780000 40C0808000000000 0000000606060000 0C04060000000000 0000782000000000 
0000000038180000 0000007040400000 0000000000A0E000 00C0808080000000 7018000000000000 0000000606060000 0C04060000000000 0020780000000000 
0038180000000000 000000008080E000 0000000602060000 0000000040780000 70C0000000000000 0000E0E000000000 0C04060000000000 000000103C000000 
00E0600000000000 000000002020E000 0C040C0000000000 0000808080C00000 7018000000000000 000000001C1C0000 0000107040000000 0000020602020000 
00E0600000000000 000010101C000000 0C040C0000000000 00000000003C2000 7018000000000000 00000000C0C0C000 000080E020000000 0000020602020000 
000000001C180000 000000008080E000 1810180000000000 0000020202060000 008080C040000000 6060600000000000 0000003020600000 040C040400000000 
000000001C180000 00008080E0000000 0000507000000000 0000020202060000 70C0000000000000 0000000000E0E000 0838200000000000 04040C0400000000 
000000001C180000 00E0808000000000 0000000602060000 0000006020202000 7018000000000000 00000000C0C0C000 0C04060000000000 0000781000000000 
00E0C00000000000 000000002020E000 000000141C000000 00000000021E0000 0404060200000000 000000C0C0C00000 0008382000000000 7810000000000000 
1C18000000000000 000000008080E000 0000000602060000 6020202000000000 000000000C380000 00C0C0C000000000 0000001070400000 00041E0000000000 
3830000000000000 00008080E0000000 000000141C000000 00000000021E0000 0404060200000000 0000000000E0E000 0008382000000000 40C0404000000000 
0000020606000000 000000008080E000 0C040C0000000000 0018101010000000 70C0000000000000 0000006060600000 0020E08000000000 00000000081E0000 
0000020606000000 000000008080E000 0C040C0000000000 0018101010000000 40C0808000000000 0000006060600000 3020600000000000 00000000081E0000 
0000020606000000 000000008080E000 0000006040600000 0010101030000000 70C0000000000000 0C0C0C0000000000 0020E08000000000 00000000081E0000 
0000020606000000 000000008080E000 0000006040600000 0010101030000000 40C0808000000000 0C0C0C0000000000 3020600000000000 00000000081E0000 
0000206060000000 3808080000000000 000000141C000000 00000000021E0000 0404060200000000 0000000000E0E000 4070100000000000 0080C08080000000 
040C0C0000000000 000000008080E000 00A0E00000000000 7840000000000000 0010103020000000 000000001C1C0000 000000C040600000 0000020602020000 
40C0C00000000000 3820200000000000 00000C040C000000 0000020202060000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000000080C0C000 00000002020E0000 000000141C000000 0008780000000000 008080C040000000 7070000000000000 0C04060000000000 0000002020302000 
0000000080C0C000 00000002020E0000 1C14000000000000 0000003020202000 008080C040000000 6060600000000000 000000041C100000 00081E0000000000 
0000000080C0C000 0000404070000000 1C14000000000000 2020203000000000 40C0808000000000 0000000606060000 0000000008382000 00081E0000000000 
0000000080C0C000 0000404070000000 0030203000000000 3C04000000000000 40C0808000000000 0000000606060000 0000000008382000 00081E0000000000 
0000000080C0C000 00001C0404000000 0000005070000000 0000020202060000 40C0808000000000 1C1C000000000000 0000000008382000 2020602000000000 
0000001018180000 00E0808000000000 00000000C080C000 0000784000000000 7018000000000000 0000000606060000 0C04060000000000 0000002020602000 
1018180000000000 000000008080E000 0000005070000000 0000000008780000 40C0808000000000 0000000606060000 0C04060000000000 2020602000000000 
0000003030100000 00000002020E0000 0000000000A0E000 3C04000000000000 40C0808000000000 0038380000000000 000006040C000000 00004040C0400000 
0000003030100000 00000002020E0000 0000000000A0E000 3C04000000000000 00008080C0400000 0038380000000000 000006040C000000 40C0404000000000 
6060200000000000 000000002020E000 000000141C000000 00000000021E0000 0404060200000000 1818180000000000 0000006040C00000 0080C08080000000 
00000000C0C08000 008080E000000000 0000000602060000 0008780000000000 0000000000386000 7070000000000000 0C04060000000000 000000103C000000 
00000000C0C08000 1C04040000000000 0000705000000000 0000002020206000 40C0808000000000 000000001C1C0000 2038080000000000 0000020602020000 
0000C0C080000000 3808080000000000 000000141C000000 00000000021E0000 0404060200000000 0000000000E0E000 0000302060000000 40F0000000000000 
00C0C08000000000 000000008080E000 0000181018000000 0000000040780000 7018000000000000 0000000606060000 0C04060000000000 0020206020000000 
0C0C080000000000 000000008080E000 0000006040600000 0010101030000000 70C0000000000000 0000060606000000 0020E08000000000 00000000081E0000 
0C0C080000000000 000000008080E000 0000006040600000 0010101030000000 40C0808000000000 0000060606000000 3020600000000000 00000000081E0000 
6060400000000000 00000002020E0000 0000000000A0E000 00001E1000000000 0000202060400000 1C1C000000000000 000000041C100000 008080C080000000 
6060400000000000 00000002020E0000 0000000000A0E000 0000181010100000 0000202060400000 1C1C000000000000 000006040C000000 008080C080000000 
