000000000060E000 000008080E000000 0000705000000000 00000000101E0000 40C0808000000000 3838000000000000 00000020E0800000 0404060400000000 
00000000060E0000 000000002020E000 00A0E00000000000 7840000000000000 0000080818100000 000000C0C0C00000 0018103000000000 0404060400000000 
00000000060E0000 0000080838000000 00A0E00000000000 7840000000000000 000000000030E000 000000C0C0C00000 0018103000000000 0404060400000000 
0000000030700000 000000008080E000 000000000A0E0000 0080F00000000000 0008080C04000000 7070000000000000 0C04060000000000 000000F040000000 
0000000C1C000000 000000008080E000 1C14000000000000 00000000021E0000 008080C040000000 6060600000000000 0000003020600000 00081E0000000000 
0030700000000000 000000008080E000 0000000050700000 0808081800000000 70C0000000000000 000000000E0E0000 000080E020000000 0404060400000000 
0C1C000000000000 000000008080E000 000000141C000000 00000000021E0000 70C0000000000000 0000006060600000 0020E08000000000 00001E0800000000 
0C1C000000000000 000000008080E000 000000141C000000 00000000021E0000 40C0808000000000 0000006060600000 3020600000000000 00001E0800000000 
1838000000000000 008080E000000000 6040600000000000 00000000021E0000 0000001030202000 00000000C0C0C000 000018080C000000 0404060400000000 
60E0000000000000 000000002020E000 000000141C000000 00000000021E0000 1018080800000000 000000C0C0C00000 0C04060000000000 0000F02000000000 
60E0000000000000 000000002020E000 1C14000000000000 00000000021E0000 0008081810000000 000000C0C0C00000 000006040C000000 0000F02000000000 
60E0000000000000 1010700000000000 000000000A0E0000 0C08080800000000 0000001010302000 00000000C0C0C000 000080E020000000 0004060404000000 
0000000000C0E000 1C10100000000000 000000000A0E0000 00808080C0000000 0008081810000000 6060600000000000 0000006020300000 0004060404000000 
0000000060700000 000000008080E000 000000000A0E0000 0C08080800000000 40C0808000000000 3030300000000000 0000407010000000 0004060404000000 
0000000C0E000000 000000008080E000 1C14000000000000 00000000101E0000 008080C040000000 6060600000000000 0000003020600000 00081E0000000000 
000000C0E0000000 0038080800000000 000000141C000000 00000000021E0000 70C0000000000000 0000000000E0E000 0C04060000000000 0000F02000000000 
000C0E0000000000 0000001C10100000 00000000C080C000 3C20000000000000 40C0808000000000 000000000E0E0000 0010704000000000 0000002020602000 
3038000000000000 0000001C10100000 00000000C080C000 0000784000000000 40C0808000000000 000000000E0E0000 0C04060000000000 0000002020602000 
3038000000000000 0000382020000000 0000000000A0E000 00000000021E0000 40C0808000000000 0000001C1C000000 0C04060000000000 00004040C0400000 
3038000000000000 0000382020000000 0000000000A0E000 00000000021E0000 00008080C0400000 0000001C1C000000 0C04060000000000 40C0404000000000 
6070000000000000 000000002020E000 1808180000000000 00000000101E0000 000000180E000000 000000C0C0C00000 0080E02000000000 0404060400000000 
6070000000000000 0000101070000000 000000C080C00000 1808080800000000 000000000030E000 000000000E0E0000 0080E02000000000 0404060400000000 
000000000E060000 000000002020E000 0000001810180000 7808000000000000 0070180000000000 000000C0C0C00000 0080E02000000000 0404060400000000 
000000000E060000 008080E000000000 00000000C080C000 0008780000000000 0000001C30000000 7070000000000000 0C04060000000000 0000000000782000 
0038180000000000 7040400000000000 0000000000A0E000 00000000021E0000 0000202060400000 0000001C1C000000 0C04060000000000 008080C080000000 
00E0600000000000 7010100000000000 000000000A0E0000 0C08080800000000 0000001010302000 00000000C0C0C000 000080E020000000 0004060404000000 
7030000000000000 000000008080E000 0000000050700000 0808081800000000 00C0700000000000 000000000E0E0000 000080E020000000 0404060400000000 
7030000000000000 0000000038202000 00C080C000000000 00000000021E0000 0000603800000000 00000000C0C0C000 0C08180000000000 0004060404000000 
0000000000706000 00000000E0808000 000000000A0E0000 0C08080800000000 40C0808000000000 3030300000000000 0000407010000000 0004060404000000 
0000003830000000 2020380000000000 0000000000A0E000 00000000021E0000 40C0808000000000 1C1C000000000000 000006040C000000 00004040C0400000 
0000003830000000 2020380000000000 0000000000A0E000 00000000021E0000 00008080C0400000 1C1C000000000000 000006040C000000 40C0404000000000 
00E0C00000000000 7010100000000000 000000000A0E0000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 000020F000000000 
1C18000000000000 000000008080E000 0000180818000000 00000000021E0000 008080C040000000 6060600000000000 0000003020600000 0004060404000000 
0000000020606000 0000007010100000 000000000A0E0000 0080F00000000000 0008080C04000000 7070000000000000 0C04060000000000 00000080C0808000 
0000002060600000 000000008080E000 00C080C000000000 00000000021E0000 7018000000000000 0000001C1C000000 0C04060000000000 0020780000000000 
0000103030000000 0038080800000000 0000060406000000 3C04000000000000 40C0808000000000 0000000000E0E000 00006040C0000000 00000000081E0000 
40C0C00000000000 000000002020E000 000000141C000000 00000000021E0000 1018080800000000 000000C0C0C00000 0C04060000000000 2020302000000000 
40C0C00000000000 000000002020E000 1C14000000000000 00000000021E0000 0008081810000000 000000C0C0C00000 000006040C000000 2020302000000000 
40C0C00000000000 000000008080E000 000000000A0E0000 3C20000000000000 0000202030100000 0018181800000000 000000C040600000 0004060404000000 
40C0C00000000000 000000E080800000 000000000A0E0000 0C08080800000000 000000000030E000 3030300000000000 0000001070400000 0004060404000000 
40C0C00000000000 000000E080800000 000000000A0E0000 0C08080800000000 0000001010302000 3030300000000000 000000006040C000 0004060404000000 
0000000406060000 0000080838000000 00000000C080C000 000010F000000000 7018000000000000 00E0E00000000000 0C04060000000000 0000000000782000 
0000000406060000 0000101070000000 0060206000000000 0000080808180000 7018000000000000 0000000000E0E000 0C04060000000000 0080C08080000000 
0000000406060000 000000008080E000 0000000050700000 0000180808080000 7018000000000000 00E0E00000000000 0C04060000000000 000000F020000000 
0000000406060000 000000008080E000 0000000050700000 0000180808080000 7018000000000000 00C0C0C000000000 0C04060000000000 0020203020000000 
0000000406060000 000000008080E000 0000003828000000 0008780000000000 008080C040000000 7070000000000000 0C04060000000000 0000000010780000 
0000000406060000 000000008080E000 00E0A00000000000 0000180808080000 7018000000000000 0000000070700000 0C04060000000000 000040F000000000 
0000000406060000 000000008080E000 00E0A00000000000 0000180808080000 7018000000000000 0000003030300000 0C04060000000000 000040C040400000 
0000000406060000 000000008080E000 0000180818000000 0000000040780000 7018000000000000 00E0E00000000000 0C04060000000000 000000F020000000 
0000000406060000 000000008080E000 0000180818000000 0000000040780000 7018000000000000 00C0C0C000000000 0C04060000000000 0020203020000000 
0000000406060000 000000008080E000 00C080C000000000 0000000040780000 7018000000000000 0000003838000000 0C04060000000000 0020780000000000 
0000000406060000 000000008080E000 00C080C000000000 0000000040780000 7018000000000000 0000181818000000 0C04060000000000 0020602020000000 
0000000406060000 0000003808080000 00C080C000000000 00000000F0100000 7018000000000000 0000000000E0E000 0C04060000000000 0020780000000000 
0000000406060000 0000007010100000 0000000060206000 0000180808080000 7018000000000000 00E0E00000000000 0C04060000000000 0000008080C08000 
0000000406060000 00000E0808000000 00A0E00000000000 7840000000000000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000000406060000 00E0808000000000 0000000000A0E000 0000080808180000 7018000000000000 0000707000000000 0C04060000000000 00000000F0400000 
0000000406060000 00E0808000000000 0000000000A0E000 0000080808180000 7018000000000000 0000303030000000 0C04060000000000 00004040C0400000 
0000000406060000 00E0808000000000 0000705000000000 0000080808180000 7018000000000000 0000000000E0E000 0C04060000000000 00000020F0000000 
0000000406060000 00E0808000000000 0000705000000000 0000080808180000 7018000000000000 00000000C0C0C000 0C04060000000000 0000002030202000 
0000000406060000 00E0808000000000 0000001808180000 0000784000000000 7018000000000000 0000000000E0E000 0C04060000000000 00000020F0000000 
0000000406060000 00E0808000000000 0000001808180000 0000784000000000 7018000000000000 00000000C0C0C000 0C04060000000000 0000002030202000 
0000000406060000 00E0808000000000 00000000C080C000 0000784000000000 7018000000000000 0000003838000000 0C04060000000000 0000000000782000 
0000000406060000 00E0808000000000 00000000C080C000 0000784000000000 7018000000000000 0000001818180000 0C04060000000000 0000002020602000 
0000080C0C000000 0000101070000000 0060206000000000 00000000021E0000 7018000000000000 0000000000E0E000 0C04060000000000 0080C08080000000 
0000080C0C000000 00E0808000000000 0000000000A0E000 00000000021E0000 7018000000000000 0000707000000000 0C04060000000000 00000000F0400000 
0000080C0C000000 00E0808000000000 0000000000A0E000 00000000021E0000 7018000000000000 0000303030000000 0C04060000000000 00004040C0400000 
0000080C0C000000 00E0808000000000 0000705000000000 00000000021E0000 7018000000000000 0000000000E0E000 0C04060000000000 00000020F0000000 
0000080C0C000000 00E0808000000000 0000705000000000 00000000021E0000 7018000000000000 00000000C0C0C000 0C04060000000000 0000002030202000 
0080C0C000000000 00002020E0000000 0000060406000000 3C04000000000000 0008081810000000 0000000000E0E000 4070100000000000 00000000081E0000 
0018180800000000 000000E080800000 00A0E00000000000 7840000000000000 000000000030E000 000000000E0E0000 0000001070400000 0404060400000000 
0018180800000000 000000E080800000 00A0E00000000000 7840000000000000 0000001010302000 000000000E0E0000 000000006040C000 0404060400000000 
0000000030302000 0008083800000000 000000000A0E0000 3C20000000000000 40C0808000000000 00000000C0C0C000 0010704000000000 0004060404000000 
0000000030302000 0010107000000000 000000000A0E0000 0C08080800000000 70C0000000000000 00000000C0C0C000 0020E08000000000 0004060404000000 
0000000030302000 0010107000000000 000000000A0E0000 0C08080800000000 40C0808000000000 00000000C0C0C000 3020600000000000 0004060404000000 
00000000C0C08000 008080E000000000 0000060406000000 1810101000000000 040C080800000000 6060600000000000 0000000030206000 00000000081E0000 
00000000C0C08000 2020380000000000 0000060406000000 0000407800000000 40C0808000000000 1C1C000000000000 0000000030206000 00000000081E0000 
00000000C0C08000 0038080800000000 0000060406000000 3C04000000000000 40C0808000000000 0000707000000000 0000000030206000 00000000081E0000 
00000000C0C08000 0000001C10100000 00C080C000000000 0000002020206000 7018000000000000 000000000E0E0000 0C04060000000000 0020780000000000 
0000006060400000 0000001C10100000 0000000000A0E000 00C0808080000000 7018000000000000 000000000E0E0000 0C04060000000000 0020780000000000 
0018181000000000 00000008080E0000 0000060406000000 3C04000000000000 4060202000000000 0000000000E0E000 0000004070100000 0080C08080000000 
0C0C080000000000 00000008080E0000 0000060406000000 000000808080C000 0000004040602000 7070000000000000 0080E02000000000 0000101030100000 
0C0C080000000000 00000008080E0000 0000060406000000 3010101000000000 4060202000000000 0000000000E0E000 0000004070100000 0080C08080000000 
0C0C080000000000 008080E000000000 0000000000A0E000 00000000021E0000 0000701800000000 7070000000000000 000006040C000000 00000000F0400000 
0C0C080000000000 7010100000000000 0060206000000000 00000000021E0000 0000001870000000 0000000000E0E000 000006040C000000 0080C08080000000 
1818100000000000 000000002020E000 6020600000000000 00C0808080000000 0000081810100000 000000000E0E0000 0000006040C00000 0404060400000000 
3030200000000000 000000008080E000 000000000A0E0000 0000407800000000 40C0808000000000 0000000070700000 0C08180000000000 0004060404000000 
6060400000000000 008080E000000000 000000000A0E0000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 1010301000000000 
6060400000000000 008080E000000000 0000060406000000 00000010F0000000 040C080800000000 0000000000E0E000 1810300000000000 00000000081E0000 
