000000000060E000 000000E080800000 00A0E00000000000 7840000000000000 0404060200000000 000000000E0E0000 0018080C00000000 0000101030100000 
00000000060E0000 000000002020E000 000000C080C00000 0808080C00000000 0404060200000000 7070000000000000 0080E02000000000 0000101018100000 
00000000060E0000 000000008080E000 00A0E00000000000 7840000000000000 0000000018700000 00000E0E00000000 041C100000000000 000000F020000000 
0000000030700000 000000008080E000 0000283800000000 0000020202060000 000004040C080000 00C0C0C000000000 041C100000000000 7820000000000000 
0000000030700000 000000008080E000 00E0A00000000000 0000180808080000 7018000000000000 0000000606060000 0C04060000000000 000040F000000000 
0000000030700000 000000008080E000 0000000602060000 000010F000000000 7018000000000000 00E0E00000000000 0C04060000000000 000008080C080000 
0000000C1C000000 000000008080E000 0028380000000000 00000000021E0000 0404060200000000 00C0C0C000000000 0000003020600000 7810000000000000 
0030700000000000 000000008080E000 00C080C000000000 7808000000000000 04040C0800000000 000000001C1C0000 0000003020600000 0000020602020000 
0C1C000000000000 000000002020E000 000000C080C00000 0000020202060000 70C0000000000000 00000C0C0C000000 0000003010180000 0020F00000000000 
0C1C000000000000 000000008080E000 3020300000000000 0000020202060000 40C0808000000000 00000C0C0C000000 0000407010000000 0000000020780000 
60E0000000000000 000000002020E000 0000060206000000 0000808080C00000 0000380C00000000 1C1C000000000000 0000407010000000 00000000081E0000 
60E0000000000000 000000008080E000 0000000C040C0000 0000060202020000 0000000018700000 1C1C000000000000 000080E020000000 0000781000000000 
60E0000000000000 000000008080E000 00000C040C000000 0000020202060000 0000701800000000 1C1C000000000000 000080E020000000 0000000010780000 
0000000000C0E000 00000002020E0000 000000E0A0000000 0000101010300000 040C080800000000 00E0E00000000000 000006040C000000 7810000000000000 
0000000000C0E000 00000010101C0000 00000C080C000000 00C0808080000000 0000406020200000 1C1C000000000000 6020300000000000 0000020602020000 
0000000000C0E000 00000E0202000000 0000001C14000000 00C0808080000000 0000406020200000 1C1C000000000000 6020300000000000 00000000081E0000 
0000000000C0E000 1C04040000000000 0018081800000000 00C0808080000000 0000406020200000 000000001C1C0000 6020300000000000 0000020602020000 
0000000000C0E000 0000E08080000000 0000000C080C0000 0030101010000000 70C0000000000000 0C0C0C0000000000 0000006020300000 0000020206020000 
0000000000C0E000 7040400000000000 0038280000000000 00000000101E0000 0000103020200000 0000000E0E000000 0C04060000000000 008080C080000000 
0000000000C0E000 7040400000000000 0000000602060000 0020202030000000 000000000C380000 0018181800000000 0C04060000000000 008080C080000000 
00000000181C0000 000000002020E000 000000C080C00000 0404040C00000000 0808181000000000 7070000000000000 0080E02000000000 0000020206020000 
00000000181C0000 000000008080E000 0000006020600000 0C04040400000000 70C0000000000000 0018181800000000 0020E08000000000 0000020206020000 
00000000181C0000 000000008080E000 0000006020600000 0C04040400000000 40C0808000000000 0018181800000000 3020600000000000 0000020206020000 
0000000C0E000000 000000008080E000 0028380000000000 00000000101E0000 0404060200000000 00C0C0C000000000 0000003020600000 7810000000000000 
000C0E0000000000 000000008080E000 0000003828000000 3C20000000000000 40C0808000000000 0000000606060000 0010704000000000 0000000010780000 
00C0E00000000000 000000002020E000 000000C080C00000 00000000021E0000 000000301C000000 00000E0E00000000 041C100000000000 7820000000000000 
00C0E00000000000 000010101C000000 000000E0A0000000 00000000021E0000 0404060200000000 0000000000E0E000 0018080C00000000 7820000000000000 
3038000000000000 000000008080E000 0000003828000000 0000784000000000 40C0808000000000 0000000606060000 0C04060000000000 0000000010780000 
3038000000000000 000000008080E000 0000006020600000 00000000101E0000 40C0808000000000 0000000E0E000000 0C04060000000000 0000781000000000 
0000003818000000 000000008080E000 1C14000000000000 0000020202060000 00080C0404000000 00C0C0C000000000 6020300000000000 0000000020780000 
0000007030000000 7010100000000000 0000000602060000 000808080C000000 0000000000386000 00E0E00000000000 0C04060000000000 0000008080C08000 
0000007030000000 00000E0808000000 00A0E00000000000 7840000000000000 0000000000386000 0000000606060000 041C100000000000 0000008080C08000 
00E0600000000000 000000008080E000 0000180818000000 000080F000000000 7018000000000000 0000000606060000 0C04060000000000 0000000020780000 
7030000000000000 000000008080E000 0000000E0A000000 0000202020600000 0008181010000000 00C0C0C000000000 0C04060000000000 00000000041E0000 
7030000000000000 000000008080E000 0000001C14000000 0000202020600000 0004060202000000 00C0C0C000000000 0C08180000000000 00000000081E0000 
000000001C180000 000000008080E000 0000000602060000 0000202020600000 00000E1800000000 00C0C0C000000000 041C100000000000 7820000000000000 
000000001C180000 4040700000000000 0000000602060000 3C20000000000000 001C060000000000 0000000000E0E000 0000083820000000 008080C080000000 
0000003830000000 000000008080E000 00C080C000000000 0000000008780000 7018000000000000 0000000606060000 0C04060000000000 0020780000000000 
0000E0C000000000 000000008080E000 0030103000000000 0008080818000000 70C0000000000000 0000000606060000 0C04060000000000 0000000020780000 
00E0C00000000000 000000002020E000 000000C080C00000 00000000021E0000 0404060200000000 0000001C1C000000 0008382000000000 7810000000000000 
00E0C00000000000 00000002020E0000 000000E0A0000000 0000301010100000 040C080800000000 0000000000E0E000 000006040C000000 7810000000000000 
00E0C00000000000 00000004041C0000 000000E0A0000000 0000060202020000 040C080800000000 0000000000E0E000 0000301018000000 7810000000000000 
1C18000000000000 000000008080E000 0000181018000000 6020202000000000 0004060202000000 00C0C0C000000000 0000000C04060000 0000000020780000 
7060000000000000 0010101C00000000 000000C080C00000 0000020202060000 000000000030E000 0C0C0C0000000000 0080E02000000000 000000003C080000 
0000000206060000 000000002020E000 000000C080C00000 7808000000000000 0070180000000000 0000001818180000 0080E02000000000 0404060400000000 
0000000206060000 000000002020E000 000000C080C00000 7808000000000000 0010180808000000 00E0E00000000000 0000003010180000 0404060400000000 
0000000206060000 7010100000000000 000000C080C00000 0808081800000000 000000000030E000 00E0E00000000000 0000002038080000 0404060400000000 
40C0C00000000000 001C101000000000 00000C080C000000 3C20000000000000 00000000301C0000 0000000000E0E000 000020E080000000 0000020602020000 
40C0C00000000000 3820200000000000 00000C080C000000 000000F080000000 00000000301C0000 0000000000E0E000 041C100000000000 0000020602020000 
0000000080C0C000 008080E000000000 0000000E0A000000 0008780000000000 0000001030202000 7070000000000000 0C04060000000000 00000000041E0000 
0000000080C0C000 0000000E02020000 00C080C000000000 0000003020202000 7018000000000000 000000001C1C0000 0C04060000000000 0020780000000000 
0000000080C0C000 00E0808000000000 0000705000000000 0000080808180000 7018000000000000 0000000606060000 0C04060000000000 0000002030202000 
0000000080C0C000 00E0808000000000 0000001808180000 0000784000000000 7018000000000000 0000000606060000 0C04060000000000 0000002030202000 
0000000406060000 000000002020E000 0028380000000000 0000808080C00000 0404060200000000 0000001818180000 00C0406000000000 7810000000000000 
0000000406060000 000000008080E000 00C080C000000000 0000000008780000 0404060200000000 0018181800000000 0000602030000000 7820000000000000 
00080C0C00000000 000000008080E000 1C14000000000000 0000020202060000 000000301C000000 00C0C0C000000000 6020300000000000 0000000020780000 
0080C0C000000000 000000008080E000 0000000E0A000000 0000202020600000 0008181010000000 7070000000000000 0C04060000000000 00000000041E0000 
0080C0C000000000 000000008080E000 0000001C14000000 0000202020600000 0004060202000000 7070000000000000 0C08180000000000 00000000081E0000 
0080C0C000000000 000000008080E000 7050000000000000 0000000008780000 0008081810000000 0000000606060000 0C04060000000000 0020302020000000 
0000000606020000 000000002020E000 000000C080C00000 00000808080C0000 7018000000000000 00E0E00000000000 0C04060000000000 0000103010100000 
0000000606020000 00000010101C0000 000000E0A0000000 0018080808000000 70C0000000000000 0000000000E0E000 0C04060000000000 0020F00000000000 
0000060602000000 1C10100000000000 6020600000000000 00C0808080000000 0000006038000000 0000000000E0E000 000C081800000000 00000000041E0000 
0C0C040000000000 000000002020E000 000000C080C00000 0080F00000000000 000008080C040000 7070000000000000 0000003010180000 0000020602020000 
0C0C040000000000 000000002020E000 000000C080C00000 0000101010180000 000008080C040000 7070000000000000 0080E02000000000 0000020602020000 
0000060604000000 000000008080E000 000000000A0E0000 0000202020600000 0000081810100000 00C0C0C000000000 041C100000000000 7820000000000000 
0000060604000000 000000008080E000 0000283800000000 00000000021E0000 0000000038600000 00C0C0C000000000 041C100000000000 7820000000000000 
0000181810000000 000000008080E000 00C080C000000000 0000000008780000 7018000000000000 0000000606060000 0C04060000000000 0020602020000000 
00C0C08000000000 000000008080E000 0000006020600000 0000301010100000 0404060200000000 000000000E0E0000 0018080C00000000 7820000000000000 
0C0C080000000000 000000002020E000 000000C080C00000 0000020202060000 000004040C080000 7070000000000000 0080E02000000000 0000101810100000 
3030200000000000 000000008080E000 0000507000000000 0008080818000000 40C0808000000000 0000000606060000 0C04060000000000 0000000020780000 
