000000000060E000 1C04040000000000 00000A0E00000000 0000301010100000 6038000000000000 000000000E0E0000 00C0406000000000 00008080C0800000 
00000000060E0000 04041C0000000000 0000A0E000000000 7808000000000000 0000001010302000 00000000C0C0C000 0000020E08000000 00F0400000000000 
00000000060E0000 000000008080E000 00A0E00000000000 7840000000000000 0000000018700000 00000E0E00000000 041C100000000000 000000F040000000 
00000000060E0000 7010100000000000 00E0A00000000000 000000808080C000 0000001010302000 0C0C0C0000000000 0000020E08000000 0000406040400000 
000000000C1C0000 0000000E02020000 0000007050000000 00C0808080000000 7018000000000000 0000000000E0E000 0C04060000000000 0020780000000000 
000000060E000000 0008083800000000 0000000000A0E000 00000000101E0000 40C0808000000000 3030300000000000 0C04060000000000 00004040C0400000 
000000060E000000 0008083800000000 0000000000A0E000 00000000101E0000 00008080C0400000 3030300000000000 0C04060000000000 40C0404000000000 
000000060E000000 00E0808000000000 0000000000A0E000 00000000101E0000 7018000000000000 0000383800000000 0C04060000000000 00004040C0400000 
0000000C1C000000 0010107000000000 00000000C080C000 0000020202060000 70C0000000000000 0C0C0C0000000000 0020E08000000000 0000000000782000 
0000000C1C000000 0010107000000000 00000000C080C000 0000020202060000 40C0808000000000 0C0C0C0000000000 3020600000000000 0000000000782000 
0000000C1C000000 1C04040000000000 00000000C080C000 0000020202060000 40C0808000000000 0000707000000000 2038080000000000 0000000000782000 
0C1C000000000000 000000008080E000 0000007050000000 0000000008780000 70C0000000000000 0000000606060000 0020E08000000000 00001E0800000000 
0C1C000000000000 000000008080E000 0000007050000000 0000000008780000 40C0808000000000 0000000606060000 3020600000000000 00001E0800000000 
60E0000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 1C1C000000000000 000000C040600000 00001E0400000000 
60E0000000000000 000000008080E000 0000000A0E000000 00000000101E0000 0000E03000000000 1818180000000000 000000C040600000 0404060400000000 
60E0000000000000 000000008080E000 1C14000000000000 00000000101E0000 0000E03000000000 0000000E0E000000 000000C040600000 00081E0000000000 
60E0000000000000 000000008080E000 1C14000000000000 00000000101E0000 0000E03000000000 0000060606000000 000000C040600000 0008180808000000 
