000000000060E000 0038080800000000 0000705000000000 3C04000000000000 40C0808000000000 0000060606000000 00000020E0800000 00000000081E0000 
000000000C1C0000 000000002020E000 00A0E00000000000 7840000000000000 00000C3800000000 000000C0C0C00000 041C100000000000 0000020602020000 
000000000C1C0000 000000002020E000 00A0E00000000000 7840000000000000 04040C0800000000 000000C0C0C00000 0018103000000000 0000020602020000 
000000000C1C0000 0000000E02020000 00C080C000000000 0000003020202000 7018000000000000 00000000C0C0C000 0C04060000000000 0020780000000000 
000000000C1C0000 1C04040000000000 0018081800000000 00808080C0000000 0040406020000000 0000000000E0E000 6020300000000000 0000020602020000 
0C1C000000000000 000000008080E000 0000000E0A000000 00001E1000000000 70C0000000000000 0000006060600000 0020E08000000000 00000000041E0000 
0C1C000000000000 000000008080E000 0000000E0A000000 00001E1000000000 40C0808000000000 0000006060600000 3020600000000000 00000000041E0000 
0C1C000000000000 000000008080E000 3020300000000000 0000404040600000 40C0808000000000 0000060606000000 0000083820000000 00000000081E0000 
60E0000000000000 000000008080E000 1C14000000000000 0000F08000000000 0000001C06000000 0000006060600000 00080E0200000000 00000000081E0000 
0000000000C0E000 00000002020E0000 0030203000000000 7808000000000000 00000000E0300000 00C0C0C000000000 000018080C000000 0404060400000000 
0000000000C0E000 0004041C00000000 0000602060000000 0000020202060000 000000000C380000 7070000000000000 0C08180000000000 008080C080000000 
0000000000C0E000 0008083800000000 1C14000000000000 00C0808080000000 0000404060200000 0000060606000000 6020300000000000 00000000081E0000 
0000000000C0E000 0010107000000000 00A0E00000000000 7840000000000000 040C080800000000 0000060606000000 00000080E0200000 00000000081E0000 
0000000000C0E000 04041C0000000000 0000003828000000 00000000043C0000 70C0000000000000 0000C0C0C0000000 0838200000000000 0000020602020000 
0000000000C0E000 04041C0000000000 0000003828000000 00000000043C0000 40C0808000000000 3838000000000000 00006040C0000000 0000020602020000 
0000000000C0E000 00008080E0000000 0000000602060000 3020202000000000 000000000C380000 0018181800000000 0C04060000000000 40C0404000000000 
0000000000C0E000 008080E000000000 000000000A0E0000 0008780000000000 00000000E0300000 7070000000000000 0C04060000000000 0000001E04000000 
0000000000C0E000 3808080000000000 000000000A0E0000 0000202020300000 0404060200000000 0000C0C0C0000000 0000101C04000000 40F0000000000000 
0000000000C0E000 0000704040000000 0000003020300000 00C0808080000000 0404060200000000 000000000E0E0000 0018080C00000000 7820000000000000 
0000000000C0E000 7040400000000000 0000000602060000 0020202060000000 000000000C380000 0018181800000000 0C04060000000000 008080C080000000 
0000000000C0E000 7040400000000000 0000000602060000 000808080C000000 0000000060380000 0030303000000000 0C04060000000000 008080C080000000 
