0C1C000000000000 000000008080E000 3020300000000000 0000020202060000 40C0808000000000 00000C0C0C000000 0000003010180000 0000404060400000 
0C1C000000000000 00000E0808000000 0000000060406000 000000C080808000 70C0000000000000 0000000606060000 0000003010180000 0020F00000000000 
60E0000000000000 00000002020E0000 0000000060406000 000000C080808000 00000E1800000000 1C1C000000000000 000000041C100000 0000F02000000000 
60E0000000000000 00000002020E0000 0000000060406000 000000C080808000 0000E03000000000 1C1C000000000000 000000041C100000 00001E0800000000 
60E0000000000000 00000002020E0000 0000000060406000 000000C080808000 0000081810100000 1C1C000000000000 000006040C000000 0000F02000000000 
60E0000000000000 000000008080E000 0000000E0A000000 00001E1000000000 000080C040400000 1C1C000000000000 0000602030000000 00000000041E0000 
0000000000C0E000 00000002020E0000 6020600000000000 00C0808080000000 000000380C000000 1C1C000000000000 0000004070100000 00001E0400000000 
0000000000C0E000 00000002020E0000 6020600000000000 00C0808080000000 000000380C000000 1818180000000000 0000004070100000 0404060400000000 
0000000000C0E000 0000101070000000 0060206000000000 0000080808180000 7018000000000000 0000000606060000 0C04060000000000 0080C08080000000 
0000000000C0E000 0010107000000000 0000000C080C0000 00000000F0100000 70C0000000000000 0C0C0C0000000000 0020E08000000000 0000020206020000 
0000000000C0E000 0010107000000000 0000000C080C0000 00000000F0100000 40C0808000000000 0C0C0C0000000000 3020600000000000 0000020206020000 
0000000000C0E000 0808380000000000 000000000A0E0000 0000003C04000000 0404060200000000 7070000000000000 0000004070100000 0080C08080000000 
0000000000C0E000 00000010101C0000 00000C080C000000 00808080C0000000 0040406020000000 1C1C000000000000 6020300000000000 0000020602020000 
0000000000C0E000 00008080E0000000 0028380000000000 00000000021E0000 0404060200000000 0000001C1C000000 00C0406000000000 7810000000000000 
0000000000C0E000 0040407000000000 00000C080C000000 00808080C0000000 00000000301C0000 1C1C000000000000 6020300000000000 0000020602020000 
0000000000C0E000 0000003808080000 00C080C000000000 00000000F0100000 7018000000000000 0000000606060000 0C04060000000000 0020780000000000 
