000000000060E000 00000010101C0000 0000000A0E000000 0000784000000000 40C0808000000000 3838000000000000 00000020E0800000 0404060400000000 
000000000060E000 008080E000000000 0C040C0000000000 00000000F0800000 00000000061C0000 6060600000000000 0000020E08000000 1018101000000000 
000000000060E000 008080E000000000 0C040C0000000000 00000000F0800000 0000020206040000 6060600000000000 0000000C08180000 1018101000000000 
000000000060E000 008080E000000000 6040600000000000 00000000F0800000 00000000061C0000 0C0C0C0000000000 0000020E08000000 1030101000000000 
000000000060E000 008080E000000000 6040600000000000 00000000F0800000 0000020206040000 0C0C0C0000000000 0000000C08180000 1030101000000000 
000000000060E000 7010100000000000 00E0A00000000000 00000000F0800000 00000000061C0000 0C0C0C0000000000 0000020E08000000 000040F000000000 
000000000060E000 7010100000000000 00E0A00000000000 00000000F0800000 0000020206040000 0C0C0C0000000000 0000000C08180000 000040F000000000 
000000000060E000 000000E080800000 00A0E00000000000 7840000000000000 00000000061C0000 00000E0E00000000 041C100000000000 0000001078000000 
000000000C1C0000 00000E0202000000 0000000000A0E000 00C0808080000000 0000001C30000000 1C1C000000000000 6020300000000000 0000406040400000 
000000000C1C0000 00000E0202000000 6020600000000000 00C0808080000000 0000004040C08000 1C1C000000000000 0000000030206000 0000103C00000000 
000000060E000000 0008083800000000 3010300000000000 00808080C0000000 00000000301C0000 0000000000E0E000 0C04060000000000 4060404000000000 
000000060E000000 7010100000000000 00C080C000000000 00000000003C2000 0008081810000000 00000000C0C0C000 0C04060000000000 0020602020000000 
000000060E000000 7040400000000000 0038280000000000 00808080C0000000 00000000301C0000 0000000000E0E000 0C04060000000000 0000107800000000 
00000C1C00000000 000002020E000000 0000000000A0E000 00C0808080000000 00000000301C0000 1C1C000000000000 6020300000000000 0000406040400000 
0000307000000000 0008080E00000000 0000000000A0E000 0000000078400000 00000000061C0000 7070000000000000 0C04060000000000 0080C08080000000 
0C1C000000000000 000000008080E000 0000006040600000 00000808080C0000 70C0000000000000 0000060606000000 0020E08000000000 0000101030100000 
0C1C000000000000 000000008080E000 0000006040600000 00000808080C0000 40C0808000000000 0000060606000000 3020600000000000 0000101030100000 
0C1C000000000000 00000010101C0000 0000000A0E000000 0000006020202000 70C0000000000000 00000000C0C0C000 0020E08000000000 00001E0400000000 
0C1C000000000000 00000010101C0000 0000000A0E000000 0000006020202000 40C0808000000000 00000000C0C0C000 3020600000000000 00001E0400000000 
0C1C000000000000 00000E0202000000 0000000C040C0000 0000006020202000 70C0000000000000 00000000C0C0C000 0020E08000000000 0000101018100000 
0C1C000000000000 00000E0202000000 0000000C040C0000 0000006020202000 40C0808000000000 00000000C0C0C000 3020600000000000 0000101018100000 
60E0000000000000 000002020E000000 0000C080C0000000 0000087800000000 00000000301C0000 0000000000E0E000 1810300000000000 040C040400000000 
60E0000000000000 1010700000000000 0000000000A0E000 000080F000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
60E0000000000000 1010700000000000 0000000000A0E000 000080F000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0400000 
60E0000000000000 0000E08080000000 1C14000000000000 0000004078000000 00000000061C0000 0000000000E0E000 00080E0200000000 0000103C00000000 
0000000000C0E000 0000000808380000 0000005070000000 0C04040400000000 0000020206040000 7070000000000000 0008382000000000 0080C08080000000 
0000000000C0E000 04041C0000000000 0030203000000000 7808000000000000 00000000061C0000 00C0C0C000000000 0000020E08000000 00000000F0200000 
0000000000C0E000 04041C0000000000 0030203000000000 7808000000000000 0000020206040000 00C0C0C000000000 0000000C08180000 00000000F0200000 
0000000000C0E000 0000002020380000 0038280000000000 0000101E00000000 70C0000000000000 0000C0C0C0000000 0C04060000000000 000000001E040000 
0000000000C0E000 00000E0202000000 00000000141C0000 00C0808080000000 0000404060200000 1C1C000000000000 6020300000000000 0000003C08000000 
0000000000C0E000 00000E0202000000 0000001C14000000 00808080C0000000 0040406020000000 1C1C000000000000 6020300000000000 00000000083C0000 
0000003038000000 0008080E00000000 3010300000000000 00808080C0000000 00000000061C0000 0000000000E0E000 0C04060000000000 4060404000000000 
000000C0E0000000 00000010101C0000 0000000A0E000000 7808000000000000 0070180000000000 0000000000E0E000 0080E02000000000 0404060400000000 
0000607000000000 3808080000000000 0000000A0E000000 00808080C0000000 00000000301C0000 0000000000E0E000 4070100000000000 0404060400000000 
0000C0E000000000 3808080000000000 0000301030000000 0404040C00000000 0000020206040000 00000000C0C0C000 0000000008382000 40F0000000000000 
