000000000060E000 00E0808000000000 0000001808180000 00000000F0800000 7018000000000000 0000000606060000 0C04060000000000 0000782000000000 
00000000060E0000 000000008080E000 0000000050700000 3010101000000000 40C0808000000000 0C0C0C0000000000 0000020E08000000 0020602020000000 
00000000060E0000 0008080E00000000 0000C080C0000000 0030202020000000 70C0000000000000 0000000000E0E000 0C04060000000000 0000101018100000 
000000000C1C0000 0000000E02020000 7050000000000000 0020202060000000 0008181010000000 0000000000E0E000 0C04060000000000 0080C08080000000 
000000000C1C0000 0000000E02020000 7050000000000000 00808080C0000000 0008181010000000 0000000000E0E000 0C04060000000000 0020602020000000 
0000003070000000 7010100000000000 0000000602060000 000808080C000000 0000000000386000 00E0E00000000000 0C04060000000000 0000008080C08000 
0000003070000000 00000E0808000000 00A0E00000000000 7840000000000000 0000000000386000 0000000606060000 041C100000000000 0000008080C08000 
0030700000000000 0000001C10100000 00000000C080C000 3C04000000000000 40C0808000000000 000000000E0E0000 00080E0200000000 0000002020602000 
0C1C000000000000 00000004041C0000 00000000C080C000 0000060202020000 70C0000000000000 0000181818000000 0020E08000000000 0000002020602000 
0C1C000000000000 00000004041C0000 00000000C080C000 0000060202020000 40C0808000000000 0000181818000000 3020600000000000 0000002020602000 
0C1C000000000000 000002020E000000 00000000C080C000 00000000101E0000 70C0000000000000 00001C1C00000000 0020E08000000000 0000002020602000 
0C1C000000000000 000002020E000000 00000000C080C000 00000000101E0000 40C0808000000000 00001C1C00000000 3020600000000000 0000002020602000 
0C1C000000000000 00000008080E0000 00000000C080C000 0000181010100000 70C0000000000000 0000060606000000 0020E08000000000 0000002020602000 
0C1C000000000000 00000008080E0000 00000000C080C000 0000181010100000 40C0808000000000 0000060606000000 3020600000000000 0000002020602000 
0C1C000000000000 000010101C000000 00000000C080C000 00000000021E0000 70C0000000000000 00000E0E00000000 0020E08000000000 0000002020602000 
0C1C000000000000 000010101C000000 00000000C080C000 00000000021E0000 40C0808000000000 00000E0E00000000 3020600000000000 0000002020602000 
0C1C000000000000 0000000E02020000 00000000C080C000 00001E1000000000 70C0000000000000 000000001C1C0000 0020E08000000000 0000002020602000 
0C1C000000000000 0000000E02020000 00000000C080C000 00001E1000000000 40C0808000000000 000000001C1C0000 3020600000000000 0000002020602000 
0C1C000000000000 00000E0202000000 0000C080C0000000 0020202030000000 70C0000000000000 0000000000E0E000 0000101C04000000 00000000081E0000 
0C1C000000000000 00001C0404000000 0000001808180000 0000020202060000 70C0000000000000 0000000000E0E000 0020E08000000000 00000020F0000000 
0C1C000000000000 00001C0404000000 0000001808180000 0000020202060000 70C0000000000000 00000000C0C0C000 0020E08000000000 0000002030202000 
0C1C000000000000 00001C0404000000 0000001808180000 0000020202060000 40C0808000000000 0000000000E0E000 3020600000000000 00000020F0000000 
0C1C000000000000 00001C0404000000 0000001808180000 0000020202060000 40C0808000000000 00000000C0C0C000 3020600000000000 0000002030202000 
0C1C000000000000 00001C0404000000 00000000C080C000 0000020202060000 70C0000000000000 0000003838000000 0020E08000000000 0000000000782000 
0C1C000000000000 00001C0404000000 00000000C080C000 0000020202060000 70C0000000000000 0000001818180000 0020E08000000000 0000002020602000 
0C1C000000000000 00001C0404000000 00000000C080C000 0000020202060000 40C0808000000000 0000003838000000 3020600000000000 0000000000782000 
0C1C000000000000 00001C0404000000 00000000C080C000 0000020202060000 40C0808000000000 0000001818180000 3020600000000000 0000002020602000 
0C1C000000000000 0000001C10100000 00000000C080C000 00001E0200000000 70C0000000000000 000000000E0E0000 0020E08000000000 0000002020602000 
0C1C000000000000 0000001C10100000 00000000C080C000 00001E0200000000 40C0808000000000 000000000E0E0000 3020600000000000 0000002020602000 
0C1C000000000000 00000E0808000000 00000000C080C000 0000101010180000 70C0000000000000 0000000606060000 0020E08000000000 0000002020602000 
0C1C000000000000 00000E0808000000 00000000C080C000 0000101010180000 40C0808000000000 0000000606060000 3020600000000000 0000002020602000 
60E0000000000000 00000002020E0000 000000141C000000 0000F08000000000 1018080800000000 00000000C0C0C000 0C04060000000000 0000002020302000 
60E0000000000000 00000002020E0000 1C14000000000000 0000F08000000000 0008081810000000 00000000C0C0C000 000006040C000000 0000002020302000 
60E0000000000000 00000002020E0000 00000000C080C000 0000F08000000000 00000E1800000000 1C1C000000000000 000000041C100000 0000002020602000 
60E0000000000000 00000002020E0000 00000000C080C000 0000F08000000000 0000081810100000 1C1C000000000000 000006040C000000 0000002020602000 
60E0000000000000 0008080E00000000 0000C080C0000000 00000000021E0000 1010302000000000 0000000000E0E000 0C04060000000000 000000103C000000 
0000000000C0E000 00000002020E0000 000000A0E0000000 0000101010300000 040C080800000000 00E0E00000000000 000006040C000000 7810000000000000 
0000000000C0E000 00000002020E0000 0050700000000000 00808080C0000000 040C080800000000 0000003030300000 000006040C000000 7820000000000000 
0000000000C0E000 0000000808380000 7050000000000000 0020202060000000 0008181010000000 0000000606060000 0C04060000000000 0080C08080000000 
