000000000060E000 0000000E02020000 0028380000000000 F010000000000000 0040406020000000 000000001C1C0000 0C04060000000000 00008080C0800000 
000000060E000000 000000002020E000 C040C00000000000 00000000101E0000 1018080800000000 000000C0C0C00000 0C04060000000000 2020302000000000 
0030700000000000 000000008080E000 0000000050700000 0808080C00000000 0404060200000000 000000000E0E0000 000080E020000000 F040000000000000 
0060E00000000000 00000002020E0000 0000002838000000 F010000000000000 000000000030E000 000000C0C0C00000 0C08180000000000 0004060404000000 
0C1C000000000000 00000004041C0000 0000C080C0000000 0000060202020000 0000006038000000 0000000000E0E000 0020380800000000 F040000000000000 
0000000000C0E000 0000000E02020000 0000C080C0000000 00000000043C0000 0000006038000000 0038380000000000 0C04060000000000 F040000000000000 
00000000181C0000 000000008080E000 C040C00000000000 3C20000000000000 0010302020000000 000C0C0C00000000 000000C040600000 0000020206020000 
0000006070000000 04041C0000000000 0000000C080C0000 0000808080C00000 000000000030E000 3838000000000000 C040600000000000 0000020206020000 
0000006070000000 0008080E00000000 0050700000000000 0000808080C00000 000000000030E000 000000000E0E0000 0C04060000000000 F020000000000000 
0000006070000000 3820200000000000 C040C00000000000 0000020202060000 0000000000386000 00000C0C0C000000 041C100000000000 0000008080C08000 
0000000038180000 000000008080E000 C040C00000000000 0000060202020000 0000080C04040000 1C1C000000000000 000000C040600000 2020302000000000 
0000000038180000 00000E0202000000 0000000000A0E000 C040404000000000 00008080C0400000 1C1C000000000000 0000000C04060000 2020302000000000 
0000000038180000 00000E0202000000 C040C00000000000 000000808080C000 0000004040602000 1C1C000000000000 0000000C04060000 2020302000000000 
3818000000000000 00000002020E0000 C040C00000000000 000000203C000000 000000000030E000 000000C0C0C00000 0020380800000000 0404060400000000 
3818000000000000 00000002020E0000 C040C00000000000 0020202030000000 000000000030E000 000000C0C0C00000 000018080C000000 0404060400000000 
E060000000000000 000004041C000000 0000382800000000 0000020202060000 0000000000386000 1C1C000000000000 0000C04060000000 0000008080C08000 
E060000000000000 00000E0202000000 00000000C080C000 0000F08000000000 0000006038000000 1C1C000000000000 0000000C04060000 0000000000782000 
E060000000000000 00000E0202000000 000000C080C00000 0000000078080000 000000000030E000 1C1C000000000000 0000000C04060000 0000F02000000000 
0000000000706000 00000002020E0000 C040C00000000000 000000C080808000 0008080C04000000 3030300000000000 0C04060000000000 0000002078000000 
000000001C180000 00008080E0000000 0000000602060000 C040404000000000 1018080800000000 0000000000E0E000 0C04060000000000 2020302000000000 
1C18000000000000 2020380000000000 C040C00000000000 0000020202060000 000000000030E000 000000C0C0C00000 0000002038080000 0004040C04000000 
1C18000000000000 2020380000000000 C040C00000000000 0000020202060000 000000E030000000 00000000C0C0C000 0000000008382000 0004040C04000000 
0000000040C0C000 04041C0000000000 C040C00000000000 00000000003C2000 0000000C38000000 3838000000000000 000020E080000000 0000020206020000 
0000000206060000 000000008080E000 C040C00000000000 0000000040780000 000000E030000000 3030300000000000 0C04060000000000 0008080C08000000 
0000000206060000 000000008080E000 C040C00000000000 0000180808080000 0000202030100000 3838000000000000 000000C040600000 0404060400000000 
0000000818180000 000000008080E000 C040C00000000000 3C04000000000000 00180E0000000000 0000000606060000 000000C040600000 0020302020000000 
0040C0C000000000 1C04040000000000 0000000C080C0000 00000000F0100000 E030000000000000 0000000000E0E000 0008382000000000 0000020206020000 
0000000040606000 00000002020E0000 C040C00000000000 000000C080808000 0000202030100000 3838000000000000 000018080C000000 0404060400000000 
0000000080C0C000 0038202000000000 C040C00000000000 3C04000000000000 000000C070000000 0000000606060000 0000000008382000 00001E0800000000 
000000080C0C0000 000000008080E000 C040C00000000000 3C20000000000000 0000202030100000 001C1C0000000000 000000C040600000 0000020602020000 
000000080C0C0000 1C04040000000000 C040C00000000000 00000000F0100000 000030E000000000 0000000000E0E000 2038080000000000 0000020602020000 
0000002030300000 000000008080E000 0000000C080C0000 3C20000000000000 000080C040400000 001C1C0000000000 C040600000000000 0000020206020000 
0000080C0C000000 000000008080E000 C040C00000000000 0000060202020000 00000000301C0000 1C1C000000000000 000000C040600000 2020302000000000 
0004060600000000 000000008080E000 0000000050700000 0000780800000000 0C38000000000000 000000000E0E0000 000080E020000000 F040000000000000 
0004060600000000 000000008080E000 0000000050700000 0000780800000000 C070000000000000 000000000E0E0000 000080E020000000 3C08000000000000 
0C0C040000000000 002020E000000000 C040C00000000000 00000000003C2000 0000000C38000000 00000000C0C0C000 3010180000000000 0000020206020000 
3030100000000000 000000008080E000 0000002838000000 00000000043C0000 000080C040400000 0C0C0C0000000000 C040600000000000 0000020602020000 
0000000030302000 00000002020E0000 C040C00000000000 000000808080C000 0000206040400000 3838000000000000 000018080C000000 0404060400000000 
00000000C0C08000 0038080800000000 C040C00000000000 3C04000000000000 000030E000000000 0000060606000000 0000000030206000 00000000081E0000 
00000C0C08000000 3820200000000000 C040C00000000000 00000000003C2000 000000E030000000 00000000C0C0C000 041C100000000000 0000020206020000 
0000C0C080000000 3808080000000000 0000000A0E000000 00000000101E0000 C070000000000000 0000000000E0E000 0000302060000000 0404060400000000 
000C0C0800000000 000000008080E000 C040C00000000000 3C20000000000000 0010302020000000 000000001C1C0000 000000C040600000 0000020602020000 
3030200000000000 000000008080E000 C040C00000000000 0000000040780000 000000E030000000 0000000606060000 0C04060000000000 0008180808000000 
