000000000060E000 0000001C10100000 0028380000000000 F010000000000000 0040406020000000 000000000E0E0000 0C04060000000000 00008080C0800000 
000000000060E000 000000E080800000 C040C00000000000 00000000021E0000 0008080C04000000 3030300000000000 0C04060000000000 0000001078000000 
00000000060E0000 000000008080E000 3828000000000000 000080F000000000 0010180808000000 0000000070700000 C040600000000000 0404060400000000 
00000000060E0000 3820200000000000 C040C00000000000 000000C080808000 0000080818100000 0000000060606000 0018103000000000 0404060400000000 
0030700000000000 000000008080E000 000000000A0E0000 000080F000000000 0008080C04000000 0000000070700000 0C04060000000000 F040000000000000 
0060E00000000000 000000002020E000 000000000A0E0000 F010000000000000 0008080C04000000 000000C0C0C00000 0C04060000000000 0000103010100000 
0C1C000000000000 000000008080E000 0000000050700000 0040780000000000 0000061C00000000 000000000E0E0000 000080E020000000 F020000000000000 
0C1C000000000000 00000008080E0000 0000060406000000 0040780000000000 0000001010302000 00000000C0C0C000 000080E020000000 F020000000000000 
0C1C000000000000 00000008080E0000 0000060406000000 00000000F0100000 0000187000000000 0000000000E0E000 0020E08000000000 F040000000000000 
0000000000C0E000 E020200000000000 0000007050000000 00000000203C0000 0040C08080000000 1C1C000000000000 000000080E020000 00001E0400000000 
0000000000C0E000 E020200000000000 0000007050000000 00000000203C0000 0040C08080000000 1818180000000000 000000080E020000 0404060400000000 
0000000060700000 000000008080E000 000000000A0E0000 0030101010000000 0008080C04000000 0000E0E000000000 0C04060000000000 F040000000000000 
000000C0E0000000 3820200000000000 C040C00000000000 00000000021E0000 040C080800000000 0000000000E0E000 000006040C000000 0010103010000000 
0000C0E000000000 3808080000000000 0000301030000000 00000000003C2000 C070000000000000 00000000C0C0C000 000000080E020000 0404060400000000 
3818000000000000 000000002020E000 C040C00000000000 00000000021E0000 000000301C000000 000000C0C0C00000 0020380800000000 0404060400000000 
3818000000000000 000000002020E000 C040C00000000000 00000000021E0000 0020203010000000 000000C0C0C00000 000018080C000000 0404060400000000 
3818000000000000 002020E000000000 C040C00000000000 00000000021E0000 0000001030202000 00000000C0C0C000 000018080C000000 0404060400000000 
E060000000000000 000000002020E000 000000141C000000 00000000021E0000 1018080800000000 000000C0C0C00000 0C04060000000000 0000F02000000000 
E060000000000000 000000002020E000 1C14000000000000 00000000021E0000 0008081810000000 000000C0C0C00000 000006040C000000 0000F02000000000 
E060000000000000 1010700000000000 000000000A0E0000 0C08080800000000 0000001010302000 00000000C0C0C000 000080E020000000 0004060404000000 
0000000000706000 00000000E0808000 000000000A0E0000 0030101010000000 0008080C04000000 0000E0E000000000 0C04060000000000 F040000000000000 
0000E0C000000000 0000000038202000 0030103000000000 00000000021E0000 0008080C04000000 00000000C0C0C000 0C04060000000000 F040000000000000 
1C18000000000000 E020200000000000 000000000A0E0000 0000003C04000000 0040C08080000000 0000000000E0E000 0000004070100000 00041E0000000000 
3830000000000000 000000002020E000 C040C00000000000 00000000101E0000 000000180E000000 000000C0C0C00000 0008382000000000 0404060400000000 
0000000040606000 3808080000000000 C040C00000000000 000000C080808000 00000000301C0000 0030303000000000 000000080E020000 0404060400000000 
0000000040606000 3808080000000000 C040C00000000000 000000C080808000 0000202030100000 000000000E0E0000 0030101800000000 0404060400000000 
0000000080C0C000 3808080000000000 C040C00000000000 00000000003C2000 000000C070000000 0030303000000000 000000080E020000 0404060400000000 
0000000080C0C000 0000000038202000 C040C00000000000 00000000021E0000 0008080C04000000 3030300000000000 0C04060000000000 000000F040000000 
0000000406060000 0008083800000000 C040C00000000000 0000004078000000 0000000000386000 3030300000000000 0C04060000000000 0000008080C08000 
0000000406060000 000000008080E000 C040C00000000000 0000000040780000 000000E030000000 3030300000000000 0C04060000000000 0008081808000000 
0000000406060000 000000008080E000 C040C00000000000 3C04000000000000 00180E0000000000 0000001818180000 000000C040600000 0020302020000000 
0000000406060000 0000000070404000 C040C00000000000 000000C080808000 00000E1800000000 1C1C000000000000 0000000008382000 2020302000000000 
0000000406060000 00000E0808000000 C040C00000000000 000000C080808000 0000000000386000 1C1C000000000000 0000001070400000 2020302000000000 
0000002030300000 000000008080E000 000000000A0E0000 3C20000000000000 000080C040400000 0018181800000000 C040600000000000 0004060404000000 
000080C0C0000000 000008080E000000 3828000000000000 00000000101E0000 0010103020000000 0000000000E0E000 C040600000000000 0404060400000000 
2030300000000000 000000E080800000 C040C00000000000 1808080800000000 000000000030E000 000000000E0E0000 0000001070400000 0404060400000000 
2030300000000000 000000E080800000 C040C00000000000 1808080800000000 0000001010302000 000000000E0E0000 000000006040C000 0404060400000000 
0000000060602000 00000010101C0000 C040C00000000000 000000808080C000 0000386000000000 3838000000000000 000000080E020000 0404060400000000 
0018180800000000 000000008080E000 000000000A0E0000 3C20000000000000 000080C040400000 0000003030300000 C040600000000000 0004060404000000 
0030301000000000 3808080000000000 C040C00000000000 00000000003C2000 000000E030000000 00000000C0C0C000 000000080E020000 0404060400000000 
3030100000000000 000000008080E000 000000000A0E0000 0C08080800000000 000080C040400000 0000003030300000 C040600000000000 0004060404000000 
3030100000000000 000000008080E000 C040C00000000000 0808081800000000 0000202030100000 000000000E0E0000 000000C040600000 0404060400000000 
3030100000000000 0000000038202000 C040C00000000000 00000000021E0000 0008080C04000000 00000000C0C0C000 0C04060000000000 000020F000000000 
0000000030302000 3808080000000000 C040C00000000000 000000808080C000 0000206040400000 000000000E0E0000 0030101800000000 0404060400000000 
