00000000060E0000 000000008080E000 0050700000000000 0000021E00000000 0000000018700000 0C0C0C0000000000 000080E020000000 F020000000000000 
00000000060E0000 0000E02020000000 000000C080C00000 0030101010000000 000000000030E000 0C0C0C0000000000 0000020E08000000 F040000000000000 
0060E00000000000 00000002020E0000 000000E0A0000000 F010000000000000 0008080C04000000 0000000000E0E000 0C04060000000000 0000101018100000 
0060E00000000000 00000002020E0000 000000C080C00000 F010000000000000 000000000030E000 0000003838000000 0C08180000000000 0004060404000000 
0060E00000000000 00000010101C0000 000000E0A0000000 F010000000000000 0004040C08000000 0000000000E0E000 0C08180000000000 0000020206020000 
0000000000C0E000 000010101C000000 C040C00000000000 00000000203C0000 04040C0800000000 3838000000000000 000020E080000000 0000020602020000 
0000000000C0E000 0008080E00000000 000000E0A0000000 0000101010300000 0030E00000000000 000000000E0E0000 0C04060000000000 F040000000000000 
0000000000C0E000 0038080800000000 C040C00000000000 3C04000000000000 0000101030200000 0000060606000000 000020E080000000 00000000081E0000 
0000000000C0E000 E020200000000000 1C14000000000000 0000001E10000000 0040C08080000000 000000000E0E0000 0000006020300000 00081E0000000000 
0000181C00000000 00000002020E0000 C040C00000000000 3C20000000000000 001C060000000000 0000000000E0E000 000020E080000000 000000003C100000 
3038000000000000 00000002020E0000 C040C00000000000 000000F080000000 0000380C00000000 0000000000E0E000 0C04060000000000 000000003C100000 
000000000E060000 0008080E00000000 000000E0A0000000 0000101010180000 0030E00000000000 0000000000E0E000 0C04060000000000 F040000000000000 
0000007030000000 04041C0000000000 0000000C080C0000 0000808080C00000 000000000030E000 3838000000000000 C040600000000000 0000020206020000 
0000007030000000 0008080E00000000 0050700000000000 0000808080C00000 000000000030E000 000000000E0E0000 0C04060000000000 F020000000000000 
0000007030000000 3820200000000000 C040C00000000000 0000020202060000 0000000000386000 00000C0C0C000000 041C100000000000 0000008080C08000 
0038180000000000 000000002020E000 000000C080C00000 00000000101E0000 0000E03000000000 0000000E0E000000 0C04060000000000 F040000000000000 
0038180000000000 00000002020E0000 C040C00000000000 3C04000000000000 0000061C00000000 0000000000E0E000 000020E080000000 000000003C100000 
0038180000000000 0000E02020000000 000000C080C00000 0000001E10000000 000000000030E000 000000000E0E0000 0C04060000000000 F040000000000000 
1C0C000000000000 000000002020E000 000000C080C00000 0000020202060000 E030000000000000 00000C0C0C000000 0000003010180000 0040F00000000000 
E060000000000000 000000002020E000 0000060206000000 0000808080C00000 0000380C00000000 1C1C000000000000 0000407010000000 00000000081E0000 
E060000000000000 000000008080E000 0000000C040C0000 0000060202020000 0000000018700000 1C1C000000000000 000080E020000000 0000781000000000 
E060000000000000 000000008080E000 00000C040C000000 0000020202060000 0000701800000000 1C1C000000000000 000080E020000000 0000000010780000 
000000001C180000 0004041C00000000 000000E0A0000000 0000020202060000 0030E00000000000 0000000000E0E000 0C08180000000000 F040000000000000 
001C180000000000 00000002020E0000 C040C00000000000 3C20000000000000 0000061C00000000 0000000000E0E000 000020E080000000 000000003C100000 
0000000020606000 00000002020E0000 C040C00000000000 000000C080808000 00000E1800000000 1C1C000000000000 000000041C100000 2020302000000000 
0000000020606000 00000002020E0000 C040C00000000000 000000C080808000 0000081810100000 1C1C000000000000 000006040C000000 2020302000000000 
0000000020606000 00000002020E0000 C040C00000000000 000000C080808000 0000203010100000 3838000000000000 000018080C000000 0404060400000000 
0000000020606000 3820200000000000 C040C00000000000 000000C080808000 00000C3800000000 000000001C1C0000 041C100000000000 0000020602020000 
0000000020606000 3820200000000000 C040C00000000000 000000C080808000 04040C0800000000 000000001C1C0000 0018103000000000 0000020602020000 
0000000020606000 3820200000000000 C040C00000000000 000000C080808000 0404060200000000 000000000E0E0000 0018080C00000000 0000103010100000 
0000020606000000 000000008080E000 0000006020600000 00000000101E0000 0010101808000000 0C0C0C0000000000 0020E08000000000 F040000000000000 
0000020606000000 00000008080E0000 C040C00000000000 3C04000000000000 00380C0000000000 0000000000E0E000 000020E080000000 0000101030100000 
0818180000000000 000000008080E000 0000006020600000 00000000021E0000 0404060200000000 0000001C1C000000 0020E08000000000 F040000000000000 
0000000406060000 000000002020E000 000000C080C00000 3C04000000000000 C070000000000000 0000001818180000 00080E0200000000 0000F02000000000 
0000000406060000 000000008080E000 0000180818000000 000080F000000000 0404060200000000 3838000000000000 C040600000000000 0000000020780000 
0000080C0C000000 00000002020E0000 C040C00000000000 3C20000000000000 001C060000000000 0000000000E0E000 000020E080000000 0000101030100000 
0000181808000000 001C040400000000 C040C00000000000 3C20000000000000 00000000301C0000 0000000000E0E000 000020E080000000 0000020206020000 
00000C0C08000000 001C101000000000 C040C00000000000 3C20000000000000 00000000301C0000 0000000000E0E000 000020E080000000 0000020206020000 
00000C0C08000000 3820200000000000 C040C00000000000 000000F080000000 00000000301C0000 0000000000E0E000 041C100000000000 0000020206020000 
0C0C080000000000 000000008080E000 0000006020600000 00000000101E0000 0010101808000000 0000060606000000 0020E08000000000 F040000000000000 
