00000000060E0000 0008080E00000000 0000000000A0E000 F010000000000000 00008080C0400000 0060606000000000 0C04060000000000 0000101030100000 
00000000060E0000 0008080E00000000 0050700000000000 0000808080C00000 000000000030E000 0000007070000000 0C04060000000000 F020000000000000 
00000000060E0000 0000001C10100000 000000A0E0000000 3C04000000000000 C070000000000000 0000000000E0E000 00080E0200000000 0000F04000000000 
00000000060E0000 0000E08080000000 0030103000000000 0808080C00000000 0404060200000000 0000000000E0E000 0000004070100000 F040000000000000 
00000000060E0000 3820200000000000 C040C00000000000 000000C080808000 0404060200000000 0000000060606000 0018080C00000000 0000103010100000 
00000C1C00000000 3820200000000000 C040C00000000000 00000000003C2000 000000E030000000 00000000C0C0C000 041C100000000000 0000020206020000 
0C1C000000000000 000000008080E000 0000000C040C0000 0000060202020000 0000187000000000 0000000070700000 0020E08000000000 F040000000000000 
0C1C000000000000 000000008080E000 C040C00000000000 3020202000000000 00000000301C0000 00001C1C00000000 000000C040600000 0000020206020000 
0000000000C0E000 0000101070000000 C040C00000000000 00000000043C0000 04040C0800000000 3838000000000000 000020E080000000 0000020602020000 
0000000000C0E000 04041C0000000000 C040C00000000000 00000000043C0000 0000001870000000 3838000000000000 000020E080000000 0000020602020000 
0000000000C0E000 00000010101C0000 C040C00000000000 0404040C00000000 0000386000000000 3838000000000000 00000080E0200000 0000020206020000 
0000006070000000 00000E0202000000 C040C00000000000 000000808080C000 2020301000000000 1C1C000000000000 0000000C04060000 0000000000782000 
0000006070000000 3820200000000000 C040C00000000000 000000808080C000 00000E1800000000 0000000606060000 041C100000000000 0000000000782000 
000C0E0000000000 00000002020E0000 C040C00000000000 0020202030000000 000000000030E000 000000C0C0C00000 0000101C04000000 3C10000000000000 
3038000000000000 000000008080E000 C040C00000000000 0C04040400000000 00000000301C0000 0000383800000000 000000C040600000 0000020206020000 
00001C0C00000000 000000008080E000 C040C00000000000 2020203000000000 00000000301C0000 1C1C000000000000 000000C040600000 0000020206020000 
0038180000000000 000000002020E000 0000001810180000 0000C08080800000 0000206040400000 0000000606060000 0C04060000000000 F040000000000000 
0038180000000000 00000002020E0000 0000001C14000000 0000808080C00000 000000000030E000 0000606060000000 0C04060000000000 F040000000000000 
0038180000000000 000000008080E000 0000001810180000 0000602020200000 000080C040400000 0000000606060000 0C04060000000000 F040000000000000 
0038180000000000 0000000E02020000 00000000141C0000 000000C080808000 0000E03000000000 0000000060606000 0C04060000000000 F040000000000000 
0038180000000000 0000E02020000000 0000001810180000 000000808080C000 0000004040602000 0000000606060000 0C04060000000000 F040000000000000 
0038180000000000 0000E08080000000 0000001810180000 0000002020206000 0000004040C08000 0000000606060000 0C04060000000000 F040000000000000 
E060000000000000 000000002020E000 1C14000000000000 00000000101E0000 0000001C06000000 000000C0C0C00000 00080E0200000000 0000F02000000000 
E060000000000000 000000008080E000 0000007050000000 0000F08000000000 1018080800000000 0000000606060000 0C04060000000000 0000000020780000 
E060000000000000 00000E0202000000 00000000C080C000 0000F01000000000 000000E030000000 1C1C000000000000 0000000C04060000 0000000000782000 
E060000000000000 0000701010000000 00000000C080C000 0000060202020000 0000080C04040000 1C1C000000000000 000080E020000000 0000000000782000 
0000383000000000 000000008080E000 C040C00000000000 0404040C00000000 00000000301C0000 3838000000000000 000000C040600000 0000020206020000 
0000E0C000000000 00000002020E0000 0030103000000000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 F040000000000000 
0038300000000000 00000E0202000000 C040C00000000000 3C04000000000000 0000000000386000 0000007070000000 0000000C04060000 0000008080C08000 
1C18000000000000 2020380000000000 C040C00000000000 000000808080C000 0004060202000000 0000007070000000 0000000C04060000 0000000000782000 
0000000020606000 0038080800000000 0000E0A000000000 0000101010180000 00000040C0808000 0000000606060000 0C04060000000000 F040000000000000 
0000000040C0C000 04041C0000000000 C040C00000000000 00000000003C2000 0000001C30000000 3838000000000000 000020E080000000 0000020206020000 
0000020606000000 04041C0000000000 0000000000A0E000 00000000101E0000 00008080C0400000 3838000000000000 C040600000000000 0000007820000000 
0000020606000000 00008080E0000000 0000507000000000 00000000101E0000 04040C0800000000 0000000000E0E000 0838200000000000 F040000000000000 
0010303000000000 000000008080E000 C040C00000000000 3C20000000000000 00000000301C0000 000C0C0C00000000 000000C040600000 0000020206020000 
0040C0C000000000 000000008080E000 0028380000000000 F010000000000000 0000003860000000 0000000606060000 0C04060000000000 0000000010780000 
0040C0C000000000 E020200000000000 00000000C080C000 0000101010180000 1018080800000000 0000000606060000 0C04060000000000 0000002020602000 
0818180000000000 000000008080E000 0000001C14000000 00000000021E0000 0404060200000000 0000006060600000 0020E08000000000 F040000000000000 
0000000080C0C000 0038080800000000 0000E0A000000000 0000101010180000 0000004060202000 0000000606060000 0C04060000000000 F040000000000000 
0000000406060000 000000002020E000 0000001810180000 3C04000000000000 C070000000000000 000000C0C0C00000 00080E0200000000 0000F02000000000 
0000000406060000 00008080E0000000 3020300000000000 C040404000000000 0404060200000000 0000000000E0E000 0000003010180000 0818080800000000 
0000406060000000 00000002020E0000 0000001C14000000 0000808080C00000 000000000030E000 0038380000000000 0C04060000000000 F040000000000000 
000080C0C0000000 3808080000000000 0030103000000000 0404040C00000000 00000000301C0000 0000000000E0E000 C040600000000000 0000020206020000 
00080C0C00000000 000000008080E000 C040C00000000000 3C04000000000000 00000000301C0000 0030303000000000 000000C040600000 0000020206020000 
0000000060602000 0000000E02020000 00000000141C0000 000000808080C000 0000C07000000000 0038380000000000 0C04060000000000 F040000000000000 
0000000606020000 000000008080E000 C040C00000000000 2020203000000000 00000000301C0000 1C1C000000000000 000000C040600000 00001E0800000000 
0000000606020000 00000010101C0000 C040C00000000000 000000C080808000 1018080800000000 0000000060606000 0C04060000000000 2020302000000000 
00000C0C04000000 3820200000000000 C040C00000000000 0000020202060000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000303010000000 000000002020E000 C040C00000000000 3C20000000000000 001C060000000000 000000C0C0C00000 0000080E02000000 00000000041E0000 
0000303010000000 000000002020E000 C040C00000000000 3C20000000000000 0004060202000000 000000C0C0C00000 0018080C00000000 00000000041E0000 
0000606020000000 0038080800000000 0000000000A0E000 0000101010180000 00008080C0400000 0000000606060000 0C04060000000000 F040000000000000 
0C0C040000000000 002020E000000000 C040C00000000000 00000000003C2000 0000001C30000000 00000000C0C0C000 3010180000000000 0000020206020000 
3030100000000000 00000002020E0000 C040C00000000000 00000000F0100000 0008080C04000000 0000000000E0E000 0C04060000000000 000020F000000000 
