000000000060E000 00000002020E0000 C040C00000000000 000000F080000000 0008080C04000000 3030300000000000 0C04060000000000 0000000078100000 
000000000060E000 00008080E0000000 0000000A0E000000 00000000101E0000 0000187000000000 3838000000000000 C040600000000000 0404060400000000 
000000000060E000 00008080E0000000 0000000E0A000000 F010000000000000 0008181010000000 0060606000000000 0C04060000000000 00000000041E0000 
000000000060E000 00008080E0000000 0000001C14000000 F010000000000000 0004060202000000 0060606000000000 0C08180000000000 00000000081E0000 
000000000060E000 E020200000000000 0000000C080C0000 1010103000000000 0040C08080000000 0C0C0C0000000000 0000004070100000 0000020206020000 
000000000060E000 0000001C10100000 000000A0E0000000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000F04000000000 
000000000060E000 0000E08080000000 0030103000000000 0808080C00000000 0404060200000000 000000000E0E0000 0000004070100000 F040000000000000 
00000000060E0000 002020E000000000 C040C00000000000 3010101000000000 000000000030E000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
0C1C000000000000 00000008080E0000 00000000C040C000 0040780000000000 0000001010302000 0000060606000000 000080E020000000 F020000000000000 
000000001C180000 000000002020E000 0000000602060000 0000407800000000 00008080C0400000 0038380000000000 0C04060000000000 F040000000000000 
0000003830000000 E020200000000000 1C14000000000000 000000404040C000 0040C08080000000 0000000606060000 0000000008382000 00081E0000000000 
0040C0C000000000 0008080E00000000 00000000C040C000 F010000000000000 0000001010302000 000000000E0E0000 0C04060000000000 0020302020000000 
0040C0C000000000 0008080E00000000 00000000C040C000 F010000000000000 0020301010000000 000000000E0E0000 0C04060000000000 0000002020302000 
0040C0C000000000 0000003808080000 0028380000000000 F010000000000000 000000000030E000 0000000606060000 0C04060000000000 00000000F0400000 
0818180000000000 0000001C10100000 00000000C040C000 0000006020202000 0404060200000000 000000000E0E0000 0020E08000000000 F040000000000000 
0000000406060000 000000002020E000 1C14000000000000 C040404000000000 00008080C0400000 0000001818180000 00080E0200000000 2020302000000000 
1018180000000000 E020200000000000 0000001808180000 000000404040C000 0040C08080000000 0000000606060000 0C04060000000000 0000002030202000 
0C0C040000000000 002020E000000000 C040C00000000000 0000021E00000000 000000000030E000 000000000E0E0000 3010180000000000 00000000F0400000 
3030100000000000 000000002020E000 00000000141C0000 0000007808000000 00008080C0400000 0C0C0C0000000000 C040600000000000 0000020602020000 
3030100000000000 000000002020E000 00000000141C0000 C040404000000000 00008080C0400000 0C0C0C0000000000 0000203808000000 0000020602020000 
0000000030302000 0010107000000000 00000000C040C000 0808080C00000000 0404060200000000 000000000E0E0000 0020E08000000000 F040000000000000 
0000000030302000 0008080E00000000 00000000C040C000 000010F000000000 0030E00000000000 000000000E0E0000 0C04060000000000 F040000000000000 
0000000030302000 E020200000000000 1C14000000000000 000000404040C000 0040C08080000000 000000000E0E0000 00080E0200000000 0000103C00000000 
3030200000000000 0008080E00000000 C040C00000000000 000010F000000000 000000000030E000 000000000E0E0000 0C04060000000000 00000000F0400000 
