0030700000000000 000000008080E000 0000000602060000 000808080C000000 000080C040400000 0000003030300000 0C04060000000000 F040000000000000 
0030700000000000 000000008080E000 0000003020300000 0008080818000000 000080C040400000 0000000606060000 0C04060000000000 F040000000000000 
0000000000C0E000 00008080E0000000 0000000602060000 0000407800000000 000000001C300000 0038380000000000 0C04060000000000 F040000000000000 
0000000000C0E000 0038080800000000 0000000602060000 0000F01000000000 000000001C300000 000000E0E0000000 0C04060000000000 F040000000000000 
0000000060700000 000000008080E000 0000180818000000 000080F000000000 0038600000000000 0000000606060000 0C04060000000000 F040000000000000 
0000303800000000 1C04040000000000 C040C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 2038080000000000 0000020602020000 
000000000E060000 0008080E00000000 0000000000A0E000 F010000000000000 00008080C0400000 0060606000000000 0C04060000000000 0000101030100000 
000000000E060000 0008080E00000000 0050700000000000 0000808080C00000 000000000030E000 0000007070000000 0C04060000000000 F020000000000000 
000000000E060000 0000001C10100000 000000A0E0000000 3C04000000000000 C070000000000000 0000000000E0E000 00080E0200000000 0000F04000000000 
000000000E060000 0000E08080000000 0030103000000000 0808080C00000000 0404060200000000 0000000000E0E000 0000004070100000 F040000000000000 
000000000E060000 3820200000000000 C040C00000000000 000000C080808000 0404060200000000 0000000060606000 0018080C00000000 0000103010100000 
0038180000000000 0000000E02020000 000000001C140000 000000C080808000 0000E03000000000 0000000060606000 0C04060000000000 F040000000000000 
E060000000000000 1010700000000000 0000000000A0E000 0000020202060000 00008080C0400000 0C0C0C0000000000 000000041C100000 0000007820000000 
E060000000000000 0000404070000000 1C14000000000000 0000808080C00000 000000000030E000 0000000606060000 0000203808000000 00081E0000000000 
E060000000000000 0000000E02020000 1C14000000000000 0000808080C00000 000000000030E000 0000606060000000 000000101C040000 00081E0000000000 
E060000000000000 00000E0202000000 0000705000000000 0000808080C00000 000000000030E000 1C1C000000000000 0000000C04060000 0000002078000000 
E060000000000000 00000E0202000000 000000C080C00000 0000F01000000000 000000000030E000 1C1C000000000000 0000000C04060000 0000002078000000 
E060000000000000 1C04040000000000 0000000000A0E000 0000020202060000 00008080C0400000 0000707000000000 0018080C00000000 000000003C100000 
E060000000000000 0000E08080000000 00001C1400000000 0000020202060000 000000000030E000 1C1C000000000000 0000006040C00000 000000083C000000 
E060000000000000 0000E08080000000 0000000602060000 00001E1000000000 000000000030E000 1C1C000000000000 0000006040C00000 000000083C000000 
E060000000000000 0000E08080000000 1810180000000000 0000020202060000 000000380C000000 0000000000E0E000 0000004070100000 040C040400000000 
0000000000706000 00000E0202000000 C040C00000000000 000000C080808000 2020301000000000 1C1C000000000000 0000000C04060000 0000002078000000 
0000000000706000 00000000E0808000 0000180818000000 000080F000000000 0038600000000000 0000000606060000 0C04060000000000 F040000000000000 
0000000000706000 3820200000000000 C040C00000000000 000000C080808000 00000E1800000000 0000000606060000 041C100000000000 0000002078000000 
000000E0C0000000 1C04040000000000 C040C00000000000 0000020202060000 0000301C00000000 0000000000E0E000 2038080000000000 000000003C100000 
000000E0C0000000 1C04040000000000 C040C00000000000 0000020202060000 2020301000000000 0000000000E0E000 0018080C00000000 000000003C100000 
1C18000000000000 2020380000000000 C040C00000000000 000000F080000000 0004060202000000 0000000000E0E000 0000000C04060000 0000000078100000 
3830000000000000 000000002020E000 C040C00000000000 0000020202060000 0000203010100000 000000C0C0C00000 000018080C000000 040C040400000000 
0000000206060000 000000008080E000 3828000000000000 000080F000000000 0010180808000000 0000000070700000 C040600000000000 0404060400000000 
0000000206060000 3820200000000000 C040C00000000000 000000C080808000 0000080818100000 0000000060606000 0018103000000000 0404060400000000 
00000080C0C00000 000000002020E000 C040C00000000000 2020206000000000 0000080818100000 0000000606060000 0C04060000000000 1018101000000000 
00000080C0C00000 000000002020E000 C040C00000000000 2020206000000000 1018080800000000 0000000606060000 0C04060000000000 0000101018100000 
00000080C0C00000 0000080838000000 C040C00000000000 2020206000000000 000000000030E000 0000000606060000 0C04060000000000 1018101000000000 
00080C0C00000000 E020200000000000 1C14000000000000 0000020202060000 0040C08080000000 0000000000E0E000 0000107040000000 000000003C100000 
1018180000000000 E020200000000000 0000000602060000 0000007840000000 0040C08080000000 0000000000E0E000 0C04060000000000 000000003C100000 
0000000060602000 0000000E02020000 000000001C140000 000000808080C000 0000C07000000000 0038380000000000 0C04060000000000 F040000000000000 
0C0C040000000000 0020203800000000 C040C00000000000 000000003C040000 000000000030E000 000000C0C0C00000 3010180000000000 0000020602020000 
0000001818100000 000000008080E000 C040C00000000000 3C04000000000000 00180E0000000000 0000000606060000 000000C040600000 0020302020000000 
