0000060E00000000 E020200000000000 000000000E0A0000 0000808080C00000 000000000030E000 1C1C000000000000 0000181030000000 0040406040000000 
0018380000000000 000000002020E000 C040C00000000000 3C20000000000000 0004040C08000000 000000C0C0C00000 0000003010180000 0000020206020000 
0018380000000000 0004041C00000000 C040C00000000000 3C20000000000000 000000000030E000 000000C0C0C00000 0000002038080000 0000020206020000 
0018380000000000 0004041C00000000 C040C00000000000 3C20000000000000 000000E030000000 00000000C0C0C000 0000000008382000 0000020206020000 
0030700000000000 0008080E00000000 000000000E0A0000 0000808080C00000 000000000030E000 0000007070000000 0C04060000000000 F040000000000000 
0C1C000000000000 000000002020E000 000000000E0A0000 0000301010100000 0040C08080000000 00000E0E00000000 0000006040C00000 F020000000000000 
0000000000C0E000 0008080E00000000 000000000E0A0000 0000101010300000 0030E00000000000 000000E0E0000000 0C04060000000000 F040000000000000 
0000000000C0E000 0008080E00000000 000000000E0A0000 0030101010000000 00000000E0300000 0000E0E000000000 0C04060000000000 F040000000000000 
0000000000C0E000 0000007010100000 C040C00000000000 3C04000000000000 0000040C08080000 0038380000000000 00000080E0200000 0000020206020000 
0000000000C0E000 001C040400000000 C040C00000000000 3C20000000000000 0000386000000000 0000001818180000 00000080E0200000 0000020206020000 
0000000000C0E000 001C040400000000 C040C00000000000 3C20000000000000 0000000060380000 0000181818000000 000020E080000000 0000020206020000 
000000C0E0000000 0000001C10100000 000000000E0A0000 3C04000000000000 C070000000000000 0000000000E0E000 00080E0200000000 0000F02000000000 
0000C0E000000000 3808080000000000 0000301030000000 0404040C00000000 C070000000000000 00000000C0C0C000 0000000008382000 0000020206020000 
00181C0000000000 000000002020E000 C040C00000000000 3C04000000000000 0020203010000000 000000C0C0C00000 0000000C08180000 0000020206020000 
00181C0000000000 002020E000000000 C040C00000000000 3C04000000000000 0000001C30000000 00000000C0C0C000 0000000008382000 0000020206020000 
00181C0000000000 002020E000000000 C040C00000000000 3C04000000000000 0000001030202000 00000000C0C0C000 0000000C08180000 0000020206020000 
0000000038180000 0004041C00000000 0000000000A0E000 F010000000000000 00008080C0400000 0060606000000000 0C08180000000000 0000020206020000 
0000000038180000 0010107000000000 0000000000A0E000 3C20000000000000 00008080C0400000 000C0C0C00000000 C040600000000000 0000020206020000 
00000E0600000000 0000101070000000 C040C00000000000 2020206000000000 0000000000386000 1C1C000000000000 000000080E020000 0000008080C08000 
