00000000060E0000 000000E080800000 0000000060406000 0000101010300000 0030E00000000000 0C0C0C0000000000 0000020E08000000 F040000000000000 
00000000060E0000 3820200000000000 C040C00000000000 0000002020206000 0404060200000000 000000C0C0C00000 0018080C00000000 0000101018100000 
0000000018380000 000000E080800000 0000000060406000 0000020202060000 0030E00000000000 0C0C0C0000000000 0000101C04000000 F040000000000000 
0000000C1C000000 3808080000000000 0030103000000000 00000000021E0000 0404060200000000 0000000060606000 C040600000000000 000080C080800000 
0060E00000000000 000000E080800000 0000000E0A000000 F010000000000000 0008181010000000 0000000060606000 0C04060000000000 00000000041E0000 
0060E00000000000 000000E080800000 0000001C14000000 F010000000000000 0004060202000000 0000000060606000 0C08180000000000 00000000081E0000 
00000000181C0000 1C04040000000000 C040C00000000000 0000002020206000 0000301C00000000 000000C0C0C00000 2038080000000000 0000020206020000 
00000000181C0000 1C04040000000000 C040C00000000000 0000002020206000 2020301000000000 000000C0C0C00000 0018080C00000000 0000020206020000 
0000000C0E000000 3808080000000000 0030103000000000 00000000101E0000 0404060200000000 0000000060606000 C040600000000000 000080C080800000 
0000303800000000 1C04040000000000 C040C00000000000 000000003C040000 0000000000386000 000000C0C0C00000 2038080000000000 0000020602020000 
0000000000E06000 00000002020E0000 C040C00000000000 000000F080000000 0008080C04000000 3030300000000000 0C04060000000000 0000000078100000 
0000000000E06000 00008080E0000000 0000000A0E000000 00000000101E0000 0000187000000000 3838000000000000 C040600000000000 0404060400000000 
0000000000E06000 00008080E0000000 0000000E0A000000 F010000000000000 0008181010000000 0060606000000000 0C04060000000000 00000000041E0000 
0000000000E06000 00008080E0000000 0000001C14000000 F010000000000000 0004060202000000 0060606000000000 0C08180000000000 00000000081E0000 
0000000000E06000 E020200000000000 0000000C080C0000 1010103000000000 0040C08080000000 0C0C0C0000000000 0000004070100000 0000020206020000 
0000000000E06000 0000001C10100000 000000A0E0000000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000F04000000000 
0000000000E06000 0000E08080000000 0030103000000000 0808080C00000000 0404060200000000 000000000E0E0000 0000004070100000 F040000000000000 
000000000E060000 0008080E00000000 0050700000000000 0000808080C00000 0000000000386000 0000007070000000 0C04060000000000 F020000000000000 
E060000000000000 00000002020E0000 0000382800000000 0000C08080800000 0000001010302000 1C1C000000000000 000006040C000000 0000004060404000 
E060000000000000 00000004041C0000 1C14000000000000 0000060202020000 0000E03000000000 000000C0C0C00000 0000000030206000 0008180808000000 
E060000000000000 1010700000000000 0000001C14000000 0000020202060000 0000002060404000 0C0C0C0000000000 0000000008382000 000080C080800000 
E060000000000000 00000008080E0000 1C14000000000000 0000C08080800000 0000001010302000 0000060606000000 0008382000000000 0000004060404000 
E060000000000000 0000404070000000 1C14000000000000 0000808080C00000 0000000000386000 0000000606060000 0000203808000000 00081E0000000000 
E060000000000000 0000000E02020000 1C14000000000000 0000808080C00000 0000000000386000 0000606060000000 000000101C040000 00081E0000000000 
E060000000000000 00000E0202000000 0000705000000000 0000808080C00000 0000000000386000 1C1C000000000000 0000000C04060000 0000002078000000 
E060000000000000 00000E0202000000 000000C080C00000 0000F01000000000 0000000000386000 1C1C000000000000 0000000C04060000 0000002078000000 
E060000000000000 0000007040400000 0000060206000000 0000C08080800000 0000380C00000000 1C1C000000000000 0000000030206000 00000000081E0000 
E060000000000000 0000E08080000000 00001C1400000000 0000020202060000 0000000000386000 1C1C000000000000 0000006040C00000 000000083C000000 
E060000000000000 0000E08080000000 0000000602060000 00001E1000000000 0000000000386000 1C1C000000000000 0000006040C00000 000000083C000000 
0000000000706000 00000002020E0000 0028380000000000 F010000000000000 0040406020000000 0000001C1C000000 0C04060000000000 00008080C0800000 
0000000000706000 0038202000000000 0000005070000000 0000C08080800000 0000180E00000000 000000000E0E0000 0C04060000000000 F040000000000000 
1C18000000000000 2020380000000000 C040C00000000000 0000003C04000000 0004060202000000 000000C0C0C00000 0000000030206000 00000000081E0000 
1C18000000000000 2020380000000000 C040C00000000000 0000020202060000 0000008080C04000 0000007070000000 0000000008382000 0004040C04000000 
0000000406060000 E020200000000000 0000001808180000 0000808080C00000 0404060200000000 1818180000000000 0000000030206000 0040406040000000 
00000080C0C00000 0000080838000000 C040C00000000000 2020206000000000 0000000000386000 0000000606060000 0C04060000000000 1018101000000000 
0060602000000000 0000000808380000 0000000060406000 F010000000000000 0008181010000000 0000000606060000 0C04060000000000 000080C080800000 
0C0C040000000000 0020203800000000 C040C00000000000 000000003C040000 0000000000386000 000000C0C0C00000 3010180000000000 0000020602020000 
0000000030302000 0000003808080000 0028380000000000 F010000000000000 0040C08080000000 0000000606060000 0C04060000000000 0000004040C04000 
0000000030302000 0000003808080000 0028380000000000 F010000000000000 0000008080C04000 0000000606060000 0C04060000000000 0040C04040000000 
00000C0C08000000 3820200000000000 C040C00000000000 00000000003C2000 0000008080C04000 0000007070000000 041C100000000000 0000020206020000 
3030200000000000 00000002020E0000 C040C00000000000 0000002020206000 0008080C04000000 000000C0C0C00000 0C04060000000000 0000101018100000 
3030200000000000 00000010101C0000 C040C00000000000 0000002020206000 0004040C08000000 000000C0C0C00000 0C08180000000000 0000020206020000 
