00000000060E0000 E020200000000000 0000000000E0A000 00001E0200000000 0040C08080000000 1C1C000000000000 0000004070100000 0000003C08000000 
000000000C1C0000 0000000E02020000 0000000000E0A000 00000080F0000000 0000C07000000000 0038380000000000 0C04060000000000 F040000000000000 
000000000C1C0000 0000000E02020000 0000000000E0A000 0030202020000000 0008181010000000 0000C0C0C0000000 0C04060000000000 F040000000000000 
000000060E000000 0008083800000000 C040C00000000000 00000000101E0000 0000004060202000 3030300000000000 0C04060000000000 0000008080C08000 
0060E00000000000 00000002020E0000 0000000000E0A000 F010000000000000 0008080C04000000 000000E0E0000000 0C04060000000000 0000101018100000 
0060E00000000000 00000010101C0000 0000000000E0A000 F010000000000000 0004040C08000000 000000E0E0000000 0C08180000000000 0000020206020000 
0C1C000000000000 00000008080E0000 0000000000E0A000 00000000F0100000 0000187000000000 0000060606000000 0020E08000000000 F040000000000000 
000000000C0E0000 0000001C10100000 0000000000E0A000 0030202020000000 0004060202000000 0000C0C0C0000000 0C08180000000000 F040000000000000 
00000000181C0000 00008080E0000000 0000000000E0A000 0404040C00000000 0000187000000000 3838000000000000 C040600000000000 0000020206020000 
0000006070000000 E020200000000000 0000000000E0A000 0000080808180000 0040C08080000000 0000000606060000 0C04060000000000 1018101000000000 
000000C0E0000000 0000001C10100000 0000000000E0A000 3C04000000000000 C070000000000000 000000000E0E0000 00080E0200000000 0000F02000000000 
000C0E0000000000 1C10100000000000 C040C00000000000 2020206000000000 0000001870000000 0000000606060000 0000000008382000 0000008080C08000 
000000000E060000 0008080E00000000 0000000000E0A000 0000101010180000 0030E00000000000 000000E0E0000000 0C04060000000000 F040000000000000 
0000000038180000 0038080800000000 0000000000E0A000 0000F08000000000 00000070C0000000 0000000606060000 0C04060000000000 F040000000000000 
0000000E06000000 00008080E0000000 0000000000E0A000 F010000000000000 0008181010000000 0060606000000000 0C04060000000000 00000000081E0000 
00000E0600000000 E020200000000000 0000000000E0A000 00000000021E0000 0040C08080000000 1C1C000000000000 0000107040000000 000000083C000000 
0038180000000000 0000E08080000000 0000000000E0A000 0000007808000000 0000000070180000 0000000606060000 0C04060000000000 F040000000000000 
E060000000000000 0008080E00000000 0000000000E0A000 00000000021E0000 1010302000000000 0000C0C0C0000000 0C04060000000000 000000103C000000 
E060000000000000 0000001C10100000 1C14000000000000 0000F08000000000 00000040C0808000 000000000E0E0000 00080E0200000000 0000002020602000 
000000001C180000 0004041C00000000 0000000000E0A000 0000020202060000 0030E00000000000 000000E0E0000000 0C08180000000000 F040000000000000 
0000001C18000000 00008080E0000000 0000000000E0A000 F010000000000000 0004060202000000 0060606000000000 0C08180000000000 00000000041E0000 
0038300000000000 00000E0808000000 C040C00000000000 3C04000000000000 0000004060202000 0000000606060000 0000003010180000 0000008080C08000 
0000000206060000 0000E08080000000 0000000000E0A000 3C04000000000000 C070000000000000 0000007070000000 0000000C08180000 00081E0000000000 
0000020606000000 04041C0000000000 C040C00000000000 00000000101E0000 0000004060202000 3838000000000000 0000203808000000 0000008080C08000 
0000020606000000 00000008080E0000 0000000000E0A000 00000000F0100000 0C38000000000000 0000E0E000000000 00041C1000000000 F040000000000000 
0000020606000000 00000008080E0000 0000000000E0A000 00000000F0100000 C070000000000000 0000E0E000000000 00041C1000000000 3C08000000000000 
0000040C0C000000 2020380000000000 C040C00000000000 0000020202060000 0000004060202000 1C1C000000000000 0000003010180000 0000008080C08000 
